id,state,name,address_line1,address_line2,city,district,pin_code
33342,Madhya Pradesh,"Govt. Aranya Bharti College, Baihar, Balaghat","Principal, Govt.Aranya Bharti College Baihar",Tehsil Baihar,Baihar,Balaghat,481111
29825,Madhya Pradesh,"Govt. College, Anjad",Thikri Road Anjad,Thikri Road Anjad,Anjad,Barwani,451556
31783,Madhya Pradesh,"GOVT.COLLEGE CHURHAT,SIDHI",GOVT.COLLEGE CHURHAT,NA,SIDHI,Sidhi,486771
29892,Madhya Pradesh,"Shri Jain Shwetamber Prof. Academy, Airport Road, Indore",AERODROME PITHAMPUR BYPASS ROAD,"NEAR HINKARGIRI TEERTH, INDORE",INDORE,Indore,453112
34727,Madhya Pradesh,GOVT. MADHAV COLLEGE CHANDERI,PICHHORE ROAD CHANDERI,PICHHORE ROAD CHANDERI,CHANDERI,Guna,473446
34678,Madhya Pradesh,KS EDUCATION COLLEGE MUA.,"Plot No. 3174, 3175, 3176, 3177 Near Petrol Pump, Seohdha Road, Mau, Gohad, Bhind 477222","B-77, Govindpuri, Thatipur, Gwalior 474011",MAU,Bhind,477222
34968,Madhya Pradesh,GRANTHAM NURSING COLLEGE,"Modi Kheria, Mauh Road,","Badagaon, Morar",Gwalior,Gwalior,474011
47366,Madhya Pradesh,PARAMHANS INSTITUE OF EDUCATION,"276, NIRANJAN WARD, KHERINAKA NARSINGHPUR",NARSINGHPUR,NARSINGHPUR,Narsimhapur,487001
33430,Madhya Pradesh,"Govt. Girls College, Narsinghpur","Near Boastal Jail, Railway Satation Raod, Narsinghpur (m.p.)","Near Boastal Jail, Railway Satation Raod, Narsinghpur (m.p.)",Narsinghpur (m.p.),Narsimhapur,487001
34756,Madhya Pradesh,VEENAVADHNI TEACHER TRAINING INSTITUTE JIWAJI GUNJ,B-Block Anand Nagar,"Bhoudapur,Gwalior M.P.474012",Gwalior,Gwalior,474012
35110,Madhya Pradesh,"RAvishankar Teachers Training Inst. Near People Dental College Bhanpur, Bhopal","Near peoples' Dental College bypass Road Bhanpura, Bhopal",NA,Bhopal,Bhopal,462038
35982,Madhya Pradesh,"Modern Institute of Pharmaceutical Sciences, Gram Alwasa, Sanwer Road, Indore","Gram Alwasa, Behind Rewti Range",Sanwer Road,Indore,Indore,453111
34682,Madhya Pradesh,PRESTIGE INSTITUTE OF MANAGMENT,OPP. D. D. NAGAR,AIRPORT ROAD,GWALIOR,Gwalior,474020
33458,Madhya Pradesh,"Shri Ram Institute of Technology, Jabalpur","Near ITI, Madhotal, Jabalpur",NA,Jabalpur,Jabalpur,482002
33379,Madhya Pradesh,"Shri Ram Institute of Management, Jabalpur","Near ITI Madhotal, Jabalpur, M.P.",NA,Jabalpur,Jabalpur,482002
34795,Madhya Pradesh,"GOVERNMENT COLLEGE, ISHAGARH",PURANI KACHHRI ISAGARH,PURANI KACHHRI ISAGARH,ISAGARH,Ashoknagar,473335
35225,Madhya Pradesh,"Dr. Bhimrao Ambedkar Mahavidyalaya, Betul","Chakkar Road, Ambedkar Ward Betul 460001 (m.p.)","51,Civil Line Tagore Ward Ganj Betul 460001 (M.P.)",betul,Betul,460001
33359,Madhya Pradesh,"D.P. Chtaturvedi Science, Commerce College, Seoni",NEAR D.E.O. OFFICE C.V. RAMAN WARD,BARAPATHAR SEONI,SEONI,Seoni,480661
35197,Madhya Pradesh,"Lt. Nand Kishor Patel B.Ed. College, Betul",ITARSI ROAD,SADAR,BETUL,Betul,460001
47277,Madhya Pradesh,"Rhytham Institute of Professional Studies, Barwani",BAWANGAJA ROAD BEHIND SARASWATI SCHOOL BARWANI,451551,Barwani,Barwani,451551
36091,Madhya Pradesh,"Daksh Institute of Pharmaceutical Science, Near Vrandavanpuram, Nayapura Road, Chhatarpur",NARAYANPURA ROAD OPPOSITE TO VRINDAVANPURAM CHHATARPUR,NA,CHHATARPUR,Chhatarpur,471001
35179,Madhya Pradesh,"Pt. Bhori Lal Gyatri Memorial College, Near Jain Mandir, Jehangirabad, Bhopal","Aaradhana Nagar, Near BMHRC","Infront H.P. Petrol Pump, Karond Kala",Bhopal,Bhopal,462038
29769,Madhya Pradesh,"Vishisht School of Management. Pologround, Indore","65/5 R S SHUKLA MARG, NEAR POLO GROUND INDOE (MP)-03",-do-,INDORE,Indore,452003
34698,Madhya Pradesh,GURUKUL INSTITUTE OF MANAGEMENT,NEAR SAHARA CITY HOME'S TIGHRA ROAD ODPUR gwl,"NEAR HDFC ATM,INDERGANJ CHAURAHA GWALIOR",GWALIOR,Gwalior,474001
33491,Madhya Pradesh,"Govt. K.N.S. Girls College, Balaghat",Govt. kamla nehru girls college balaghat,Near Diet Campus balaghat,Balaghat,Balaghat,481001
35169,Madhya Pradesh,"SECT College for Prof. Education, NH-12, Hoshangabad Road, Near Misrod, Bhojpur Road, Bhopal","SCOPE CAMPUS, NH12, NEAR MISROD",HOSHANGABAD ROAD,BHOPAL 462026,Bhopal,462026
50396,Madhya Pradesh,"ADARSH KANYA COLLEGE, SIDHI",STADIUM ROAD,NORTH KARONDIYA,SIDHI,Sidhi,486661
31617,Madhya Pradesh,"Modal College, Ujjain",Sanwer Road Ujjain,Sanwer Road Ujjain,Ujjain,Ujjain,456010
33370,Madhya Pradesh,"Rajiv Gandhi Arts, Commerce College, Reethi, Katni","Shiv Nagar , Rithi",NA,Rithi,Katni,483990
34877,Madhya Pradesh,VIKRANT INSTITUTE OF INTEGRATED LEARNING &ADVANCED STUDIES,"Near Badagaon, Ratwai, Gwalior",NA,Gwalior,Gwalior,474006
47388,Madhya Pradesh,"GLOBAL NATURE CARE GROUP SANGATHAN INSTITUTION, Jabalpur","Patan BY-Pass Square, Gram-Raighawan",NA,Jabalpur,Jabalpur,482005
35372,Madhya Pradesh,"Kopal College for Excellence, Neelbad, Bhopal",BARKHEDI KALAN NEELBAD ROAD,NEAR BHADBHADA BRIDGE,BHOPAL,Bhopal,462044
32599,Madhya Pradesh,"Royal Institute of Manag.& Advance Stu., Ratlam",GRAM MANGROLE,MHOW NEEMUCH ROAD,RATLAM,Ratlam,457001
36002,Madhya Pradesh,"Royal Institute of Management and Advanced Studies, Behind Land Mark Motors, Gram Salakhedi & Kharakhedi, Ratlam - 457001",BEHIND LAND MARK MOTORS,GRAM SALAKHEDI & KHARAKHEDI,RATLAM,Ratlam,457001
19176,Madhya Pradesh,"Arts and Comm. College, Pandhurana","Pandhurna, 480334 Distt. Chhindwara (M.P.)","Pandhurna, 480334 Distt. Chhindwara (M.P.)",Pandhurna,Chhindwara,480334
29862,Madhya Pradesh,"Roshan College of Education, Shri Nagar Colony, Dhar",prakash nagar,bramha kundi road,DHAR,Dhar,454001
29717,Madhya Pradesh,"J.D. Memoral College of Physiotherapy & Paramedical, Dhar",Indore - Ahamdabad Road Dhar,Dhar,Dhar,Dhar,454001
33369,Madhya Pradesh,Varnee Digambar Jain Gurukul Mahavidyalaya,"NAGPUR ROAD, IN FRONT OF PISANHARI KI MADIYA",GARHA JABALPUR,JABALPUR,Jabalpur,482003
35196,Madhya Pradesh,"Govt. College, Silwani Raisen",GOVT.COLLEGE SILWANI,GOVT.COLLEGE SILWANI,SILWANI,Raisen,464886
35126,Madhya Pradesh,"VNS College, Multai, Betul",STATION ROAD MULTAI,Tapti ward Multai 460661,MULTAI,Betul,460661
36104,Madhya Pradesh,R.K.D.F. Instt. of Pharmacy (Polytechnic) Indore,INDORE DEWAS BYPASS ROAD ARANDIYA INDORE,NA,INDORE,Indore,452016
29889,Madhya Pradesh,"Modern Institute of Prof. Studies, Gram Alwasa, Sanwer Road, Indore","Alwasa, Behind Revati Range,","Sanwer Road,",Indore - 453111,Indore,453111
29860,Madhya Pradesh,"Modern Institute. of Prof. Science, Gram Alwasa, Sanwar Road, Indore","Alwasa, Behind Revati Range,","Sanwer Road,",Indore - 453111,Indore,453111
35283,Madhya Pradesh,"Veena Vadani College of Education, Chuna Bhati, Bhopal",akbarpur phase-ii Behind kanha kunj,kolar road,Bhopal,Bhopal,462042
50418,Madhya Pradesh,"MAHATMA GANDHI COLLEGE, ASHTA",BHUDHAWARA ROAD,HATHI KHANA ASHTA,ASHTA,Sehore,466116
29834,Madhya Pradesh,"Shri Vaishnav College of Teachers Training, Gumasta Nagar, Indore","scheme no. 71,Gumasta Nagar",-,Indore,Indore,452009
33395,Madhya Pradesh,"Swami Dwarkadas Arts & Commerce College, Dheemarkheda, Katni",Dheemarkheda,Dheemarkheda,Dheemarkheda,Katni,483332
29896,Madhya Pradesh,"Indore School of Social Work, Indore",Indore School of Social Work,"13/14, Old Sehore Road",Indore,Indore,452001
33423,Madhya Pradesh,"Swami Vivekanand Govt. College, Lakhnadon, Seoni","Swami Vivekanand Govt. College,","Ghansor Road, Post & Tehsil Lakhnadon, Distt-Seoni",Lakhnadon,Seoni,480886
36340,Madhya Pradesh,M.P.C.T. COLLEGE OF MANAGEMENT,Putlighar Road,Near Jiwaji University,Gwalior,Gwalior,474006
34746,Madhya Pradesh,GOVT. PG COLLEGE,NEAR RAILWAY STATION,NA,MORENA,Morena,476001
6611,Madhya Pradesh,"Government Abhyananda Sanskrit College, Kalyanpur","Government Abhyananda Sanskrit College, Kalyanpur, Shahdol (m.p.)","Government Abhyananda Sanskrit College, Kalyanpur, Shahdol (m.p.)",Shahdol,Shahdol,484001
6618,Madhya Pradesh,"Nagar Nigam Shri Loknath Shastri Sanskrit College, Govindgunj, Jabalpur",GOVINDGANJ,NA,JABALPUR,Jabalpur,482002
47484,Madhya Pradesh,"GOVERNMENT COLLEGE, KUSMI",VILL KUSMI,POST KUSMI,TEHSIL KUSMI,Sidhi,486661
31711,Madhya Pradesh,"Dr. Radha Krishna College, Neemuch",88 Teacher Colony,NA,Neemuch,Neemuch,458441
31724,Madhya Pradesh,"Vardhman College Of Prof.Studies, Nagda",Mahidpur Road Nagda Jn.,Near Bus Stand Nagda Jn.,Nagda jn.,Ujjain,456335
35286,Madhya Pradesh,"Takshila College, RAchana Nagar, Bhopal",VILL -JHIRNIYA POST MUGALIYA HAAT NH 12,BIORA ROAD BHOPAL,BHOPAL,Bhopal,462036
6615,Madhya Pradesh,"Government Sanskrit College, Bhitri",villege/p.o. Bhitari,tah- rampur naikin,sidhi,Sidhi,486775
31828,Madhya Pradesh,J.P.COLLEGE OF EDUCATION JP NAGAR REWA,J.P. Nagar,Naubasta,Rewa,Rewa,486450
29655,Madhya Pradesh,"Gyanodya B.Ed. College, MIG Colony, Indore",F-Sector,M.I.G. Colony,Indore,Indore,452008
33429,Madhya Pradesh,"Govt. J.M.C. Girls College, Mandla",SINGDWAHNI WARD MANDLA,SINGWAHNI WARD MANDLA,MANDLA,Mandla,481661
