id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31801,Madhya Pradesh,"GOVT.MAHARAJA MARTAND COLLEGE KOTMA, ANUPUR","GOVT.MAHARAJA MARTAND COLLEGE KOTMA, ANUPUR",POST- KOTMA,KOTMA,Anuppur,486334,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-maharaja-martand-college-kotma-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31864,Madhya Pradesh,"G.D.C. ,DHANPURI,ANUPPUR",POST - DHANPURI,DISTT. SHAHDOL,SHAHDOL,Anuppur,484114,https://gtcanuppur.ac.in/,9425078223,hegtdcano@mp.gov.in
31815,Madhya Pradesh,GOVT.PG COLLEGE PUSHPRAJGARH ANUPPUR,RAJENDRAGRAM,RAJENDRAGRAM,RAJENDRAGRAM,Anuppur,484881,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-pushparajgarh-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31761,Madhya Pradesh,"PT. R.G.T.TECHNOLOGY & SCIENCE COLLEGE,ANUPPUR",JAITHARI ROAD,ANUPPUR,ANUPPUR,Anuppur,484224,https://www.aubsp.com/colleges-in-madhya-pradesh/3/,,student@agnirva.com
53778,Madhya Pradesh,HARMILAP INSTITUTE OF EXCELLENCE,SARAF COMPLEX,NEAR RAILWAY STATION,KOTMA,Anuppur,484334,https://schools.org.in/anuppur/23470806338/govt-hss-excellence-kotma.html,,XXXX@XXXXXX.XXX
54067,Madhya Pradesh,TATA INSTITUTE OF TECHNOLOGY AND SCIENCE ANUPPUR MP,Infront of Dist. session court jaitahari Road Anuppur,Dist Anuppur m.p.,Anuppur,Anuppur,484224,https://tiss.ac.in/,0 24017702; 9270105222; 0 24017701; 02471-242061; 0361-2739500,
31550,Madhya Pradesh,DIGITAL INSTITUTE OF TECHNOLOGY & SCIENCE KOTMA,Near sardar furniture vikash nagar kotma,dist.anuppur M.P.,kotma,Anuppur,484334,https://isms.mponline.gov.in/,0755 6720200; 0755 4019000,
31552,Madhya Pradesh,PRT INSTITUTE OF TECHNOLOGY & SCIENCE ANUPPUR,NEAR CIVIL COURT,JAITHARI ROAD ANUPPUR,ANUPPUR,Anuppur,484224,https://gtcanuppur.ac.in/Content/1910_278_(27)%20MoU%20PRT%20Institute%20Group%20of%20College%20Anuppur.pdf,,
51274,Madhya Pradesh,"Pt T P Shukla Graduate College, Venkatnagar",VILLEGE & POST VENKATNAGAR,NA,VENKATNAGAR,Anuppur,484113,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-t-p-shukla-college-venkat-nagar-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
53947,Madhya Pradesh,MODREN INSTITUTE OF COMPUTER AND TECHNOLOGY,"C/O RANJEETA TOWER, KHASRA NO.248/1 KH","INFRONT OF DEGREE COLLEGE,","PUSHPRAJGARH, RAJENDRAGRAM",Anuppur,484881,https://www.moderncomputer.org/,9771165146; +91 9771165146,techfutureinfo44@gmail.com
53945,Madhya Pradesh,PT. RAMGOPAL TIWARI INSTITUTE OF TECHNOLOGY AND SCIENCES,WARD NO 10 CMPDI CAMP,BIJURI,BIJURI,Anuppur,484440,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-ramgopal-tiwari-technical-and-science-college-anuppur-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
53942,Madhya Pradesh,PT. RAMGOPAL TIWARI INSTITUTE OF PROFESSIONAL STUDIES,SARASWATI COMPLEX,NEAR CO-OPERATIVE,JAMUNA COLLIERY,Anuppur,484444,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-ramgopal-tiwari-technical-and-science-college-anuppur-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
53748,Madhya Pradesh,Mahatma Gandhi Institute,"OPP. SHIV MANDIR , NEW RAJNAGAR COLONY",P.O - RAJNAGAR COLLERY ( BANGAWA ),RAJNAGAR COLLERY,Anuppur,484446,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-rajnagar-anuppur,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
53754,Madhya Pradesh,Bijuri Institute Of technology,"NEAR SBI BANK,",TAHSHIL ROAD,BIJURI,Anuppur,484440,https://mcrpv.mponline.gov.in/Portal/Services/MAKHANLAAL/OrgUser/rptEnrollmentDtlsssrs.aspx,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
53813,Madhya Pradesh,YUVA INSTITUTE OF INFORMATION TECHNOLOGY,COLLEGE ROAD ANUPPUR,NA,ANUPPUR,Anuppur,484224,https://www.gtcanuppur.ac.in/Content/1398_390_13.Yuva%20utsav%20inter%20University%20level%20students%20list%20%202022-23.pdf,,
53812,Madhya Pradesh,YOUTH INSTITUTE OF INFORMATION TECHNOLOGY,"ADRESH MARG, MAIN ROAD,",NA,ANUPPUR,Anuppur,484224,https://study-india.org/53812-youth_institute_of_information_technology.htm,,
54695,Madhya Pradesh,HASDEO INSTITUTE OF TECHNOLOGY,NEAR MAIN CHOWK MAIN ROAD,NA,BIJURI,Anuppur,484440,,,
31852,Madhya Pradesh,GOVT.TULSHI COLLEGE ANUPPUR,Jaithari Road Anuppur,Jaithari Road Anuppur,Anuppur,Anuppur,484224,,,
31573,Madhya Pradesh,KOTMA INSTITUTE OF COMPUTER & TECHNOLOGY KOTMA,COLLEGE TIRAHA,BHALUMADA ROAD,KOTMA,Anuppur,484334,,,
31756,Madhya Pradesh,"GOVT.COLLEGE JAITPUR, ANUPPUR","Vill- Kamta, Post+Teh. - Jaitpur, Distt.- Shahdol (M.P.)",NA,SHAHDOL,Anuppur,484669,https://www.gja.com,,
31886,Madhya Pradesh,"SANSKAR LAW COLLEGE,ANUPPUR",NEAR JAIL BULDING,Amarkantak Road,ANUPPUR,Anuppur,484224,,,
54066,Madhya Pradesh,MAA BIRASANI INSTITUTE OF INFORMATION TECHNOLOGY,beside of tehsil,jaithari road,anuppur,Anuppur,484224,,,
31880,Madhya Pradesh,"PIONEER COLLEGE OF EDUCATION,MEIDARAS,ANUPPUR",Anuppur Chachai Road,Village and post: Mediaraas,Anuppur,Anuppur,484224,https://www.careers360.com/colleges/pioneer-college-of-education-anuppur,,
50372,Madhya Pradesh,"KALYANIKA KENDRIYA SHIKSHA NIKETAN, AMRKANTAK",MAIN ROAD,NA,AMARKANTAK,Anuppur,484886,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-t-p-shukla-college-of-education-venkatnagar-anuppur,+91-6267463188; 9301028891; 6267463188; +91-9301028891,regapsu@gmail.com; vcapsu@gmail.com
