id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34795,Madhya Pradesh,"GOVERNMENT COLLEGE, ISHAGARH",PURANI KACHHRI ISAGARH,PURANI KACHHRI ISAGARH,ISAGARH,Ashoknagar,473335,https://highereducation.mp.gov.in/?orgid=34,,
34873,Madhya Pradesh,YUVA COLLEGE,"Vill. Barkhedi, Guna Road Ashok Nagar - 473331",NA,Ashok Nagar,Ashoknagar,473331,https://yuvagroup.org/yuva-mv-ashoknagar.html,,
34947,Madhya Pradesh,SPS COLLEGE,INFRONT OF SP OFFICE,VIDISHA ROAD,ASHOKNAGAR,Ashoknagar,473331,https://shivpuripublicschool.org/,9926595826; +91 9926595826,spsashoknagar@gmail.com
34729,Madhya Pradesh,GOVT. NEHRU DEGREE COLLEGE,Govt. Nehru Degree College,"Near Bypass, Eshagarh Road, Ashoknagar",Ashoknagar,Ashoknagar,473331,https://ashoknagar.nic.in/en/public-utility/government-nehru-degree-college/,0588094208782; 07543-222855,hegndcash@mp.gov.in
50360,Madhya Pradesh,"GOVERNMENT LAW COLLEGE, ASHOKNAGAR","Bypass Ishagarh Road, Ashoknagar",NA,Ashoknagar,Ashoknagar,473331,https://www.highereducation.mp.gov.in/,,
53842,Madhya Pradesh,MODREN INSTITUTE OF COMPUTER AND TECHNOLOGY ASHOK NAGAR,NEAR SHANTI NATH MANDIR,INFRONT OF JAIN BHAWAN WARD NO 20,ASHOK NAGAR,Ashoknagar,473331,https://www.facebook.com/p/Modern-institute-of-computer-and-technology-61574126196350/,,dev7561@gmail.com
53826,Madhya Pradesh,BALAJI INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY,bilala mill,near bank of baroda,ashok nagar,Ashoknagar,473331,https://www.justdial.com/Ashoknagar/Balaji-Institute-Near-Tara-Sadan-School-Ashok-Nagar-Vidisha-Road/9999P7543-7543-190629162611-X9R8_BZDET,0120-4716000,dpo@jagrannewmedia.com; satish.balajiinstitute@gmail.com; compliant_gro@jagrannewmedia.com
53910,Madhya Pradesh,UNIQUE COMPUTERS,NEAR GIRLS HIGHER SECONDARY SCHOOL,PATEL MARG,ASHOKNAGAR,Ashoknagar,473331,https://study-india.org/53910-unique_computers.htm,9807829834,uniquecomputers52@gmail.com
53925,Madhya Pradesh,SHRI SHIV COMPUTER EDUCATION,"NEAR CENTRAL BANK OF INDIA,",GALLA MANDI ROAD ASHOK NAGAR,ASHOK NAGAR,Ashoknagar,473331,https://highereducation.mp.gov.in/?orgid=34,,
31313,Madhya Pradesh,RAJIV GANDHI INSTITUTE OF COMPUTER TECHNOLOGY-8358,NEAR GAUTAM MEDICAL,PURANA BAZAR,ASHOK NAGAR,Ashoknagar,473331,https://rgict.co.in/,,
53841,Madhya Pradesh,CENTRAL ACADEMY COMPUTER CENTER CHANDERI,near b.s.n.l office,mungaoli road chanderi,chanderi,Ashoknagar,473446,https://salahlo.in/university/C-53841,9639549675; +91 9639549675,
53921,Madhya Pradesh,VENUS COMPUTER INSTITUTE,KATRA ROAD,SAMAIYA BHAVAN,CHANDERI,Ashoknagar,473446,https://www.justdial.com/Ashoknagar/Venus-Computers-Chanderi/9999P7543-7543-140530101650-B1J6_BZDET,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com
34832,Madhya Pradesh,SHRI BARDHMAN GIRLS COLLEGE,vardhman girls college ashoknagar,gaushala road ashoknagar,ashok nagar,Ashoknagar,473331,https://www.collegesearch.in/colleges/shri-bardhman-girls-college-ashoknagar,+919228151258,
55358,Madhya Pradesh,SIIT CHANDERI,rajghat board colony,pichhore road,chanderi,Ashoknagar,473446,https://ashoknagar.dcourts.gov.in/,9766899899,
34928,Madhya Pradesh,"EXECELLENCE COLLEGE OF SCIECNE AND MANAGEMENT,",GORAGHAT BYPASS ROAD ASHOKNAGAR,GORAGHAT BYPASS ROAD ASHOKNAGAR,ASHOKNAGAR,Ashoknagar,473331,https://www.justdial.com/Ashoknagar/Degree-Colleges/nct-11944729,9424428786,
1556,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE ASHOKNAGAR,VIDISHA ROAD,ASHOK NAGAR,ASHOK NAGAR,Ashoknagar,473331,https://gpcashoknagar.net/,07543-222855,
