id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
29825,Madhya Pradesh,"Govt. College, Anjad",Thikri Road Anjad,Thikri Road Anjad,Anjad,Barwani,451556,https://barwani.nic.in/en/public-utility/govt-college-anjad/,07284-251102,hegcanjbad@mp.gov.in
47277,Madhya Pradesh,"Rhytham Institute of Professional Studies, Barwani",BAWANGAJA ROAD BEHIND SARASWATI SCHOOL BARWANI,451551,Barwani,Barwani,451551,https://old.dauniv.ac.in/affiliated-college-list,0731-2524863,registrar.davv@dauniv.ac.in
29703,Madhya Pradesh,"Govt. Girls College, Barwani",Dashahara Maidan,Bandhan Road,Barwani,Barwani,451551,https://barwani.nic.in/en/public-utility/govt-girls-college-barwani/,07290-222511,heggcbad@mp.gov.in
29686,Madhya Pradesh,"Govt. College, Rajpur",Barwani Road rajpur,Govt. College Rajpur,Rajpur,Barwani,451447,https://barwani.nic.in/en/public-utility/govt-college-rajpur/,07284-256311,hegcrajbad@mp.gov.in
29806,Madhya Pradesh,"Govt. College, Sendhwa",A. B. ROAD SENDHWA,NA,SENDHWA,Barwani,451666,https://mybharat.gov.in/KnowledgeInstitutions/college/19/govt-pg-college-sendhwa,002122729,
29679,Madhya Pradesh,"Govt. Arts & Commerce College, Nevali","Palsood Road ,Niwali",Distt. Barwani,Niwali,Barwani,451770,https://barwani.nic.in/en/public-utility-category/colleges/,07281-222109; 9407133526; 07284-251102; 07286-273220; 07286-241208; 07290-222035; 07284-256311; 07281-222583; 07290-222511,
29722,Madhya Pradesh,"Maa Renuka Institute of Management, Sendhwa",IN FRONT OF AGRAWAL COLONY,NIWALI ROAD,SENDHWA,Barwani,451666,https://www.india.gov.in/services/details/institute-student-management-system-maa-renuka-institute-of-management-in-sendhwa-badwani-madhya-pradesh,,
29815,Madhya Pradesh,"Govt. P.G. College, Barwani",K.B.ROAD BARWANI,K B ROAD BARWANI,BARWANI,Barwani,451551,,,
47271,Madhya Pradesh,"Govt. New College, Pansemal",Govt. Boys Higher Secondray School Campus,Niwali Road Pansemal,Pansemal,Barwani,451770,,,
29772,Madhya Pradesh,"Yogeshwar Shiksha College, 11 Rajghat, Barwani",11 Rajghat Road Bardwani,11 Rajghat Road Bardwani,Barwani,Barwani,451551,,,
29863,Madhya Pradesh,"Swami Vivekanand Shiksha Mahavidyalay, Sendhwa",91/3 and 91/4,Jogwara Road,Sendhwa,Barwani,451666,,,
52531,Madhya Pradesh,GOVT POLYTECHNIC COLLEGE SENDHWA,"A.B,, ROAD SENDHWA",SENDHWA,SENDHWA,Barwani,451666,,,
29801,Madhya Pradesh,"Sendhwa Sharirik Shiksha Sansthan, Sendhwa","NIWALI ROAD, GRAM.-CHATLI TEH. NIWALI","12, NIWALI ROAD",SENDHWA,Barwani,451669,https://www.sssss.com,,
29698,Madhya Pradesh,"Sardar Vallabh Bhai Patel Shiksha College, Sendhwa",SHIV COLONY,NIWALI ROAD,SENDHWA,Barwani,451666,,,
29839,Madhya Pradesh,"Arihant Homeopathic Medical College & Hospital, Sendhwa",A B ROAD,SENDHWA,SEDNWHA,Barwani,451666,,,
29725,Madhya Pradesh,"Sendhwa Homeopathic Chikitsa College, Sendhwa",Sevanti Nagar Niwali Road Sendhwa,Sevanti Nagar Niwali Road Sendhwa,Sendhwa,Barwani,451666,https://www.shccs.org,,
31499,Madhya Pradesh,AADINATH INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT BARWANI,"222/9, MADARASA ROAD",NEAR MOTI MATA MANDIR,BARWANI,Barwani,451551,https://www.university.youth4work.com/aiitm_aadinath-institute-of-information-technology-and-management,,student@agnirva.com
31352,Madhya Pradesh,VIVEKANAND INSTITUTE OF INFORMATION TECHNOLOGY BARWANI,"VIIT,BEHIND MAHILA HOSPITAL",RAJENDRA MARG,BARWANI,Barwani,451551,https://viitbarwani.netlify.app/,,viitbarwani2k10@gmail.com
54074,Madhya Pradesh,SAHID BHAGAT SINGH INSTITUTE OF INFORMATION TECHNOLOGY,"HOUSE NO. 10, GALI NO. 03, WARD NO. 16","SAIF TRADE CENTER, SUBHASH MARG",BARWANI,Barwani,451551,https://www.university.youth4work.com/sbsiit_sahid-bhagat-singh-institute-of-information-technology,9457035423; +91 9927637934; 9927637934; +91 9457035423,sbsramhut2@gmail.com
36221,Madhya Pradesh,"Balaji Institute of Technology, Village - Kerwan, Post Kunwa, Tehsil Thikri, District Barwani-451660",Village kerwan,Kunwan,Thikti,Barwani,451660,https://bharateducation.org/details.php?view_id=6562,09977743002; 9315946308,gobharateducation@gmail.com
1557,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE BADWANI,GOVT POLYTECHNIC COLLEGE BARWANI,NEAR GRAM KARI,BARWANI,Barwani,451551,https://barwani.nic.in/en/public-utility/govt-polytechnic-college-barwani/,9407133526,prinpoly.bdw@mp.gov.in
