id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
35225,Madhya Pradesh,"Dr. Bhimrao Ambedkar Mahavidyalaya, Betul","Chakkar Road, Ambedkar Ward Betul 460001 (m.p.)","51,Civil Line Tagore Ward Ganj Betul 460001 (M.P.)",betul,Betul,460001,,,
35197,Madhya Pradesh,"Lt. Nand Kishor Patel B.Ed. College, Betul",ITARSI ROAD,SADAR,BETUL,Betul,460001,,,
35126,Madhya Pradesh,"VNS College, Multai, Betul",STATION ROAD MULTAI,Tapti ward Multai 460661,MULTAI,Betul,460661,https://www.vcmb.org,,
35188,Madhya Pradesh,"H.L. Agrawal B.Ed. College, Betul","NH-69, VILLAGE- URHDAN, BETUL",TAHSIL - BETUL,BETUL,Betul,460001,,,
35142,Madhya Pradesh,"Govt. College, Sarni, Betul",Mahaveer Swami Ward No-36,Main Road Bagdona,Betul,Betul,460449,,,
35285,Madhya Pradesh,"Govt. College, Athner Betul","Govt. College, Athner",NA,Athner,Betul,460110,https://study-india.org/35285-govt_college_athner_betul.htm,,
35135,Madhya Pradesh,"Govt. College Shahpur, Betul",paatauva pura shahpur,SHAHPUR,SHAHPUR,Betul,460440,https://highereducation.mp.gov.in/,0755-2551698,
35240,Madhya Pradesh,"Govt. College, Amla, Betul","PRINCIPAL, GOVT. COLLEGE AMLA",PANKHA ROAD,AMLA,Betul,460553,https://betul.nic.in/en/public-utility/govt-dr-bhimrao-ambedkar-college-amla-2/,07147289444,hegdbacamlbet@mp.gov.in
35221,Madhya Pradesh,"Pt. Dwarika Prasad College, Athner, Betul",khasra no 599/14 vikas nagar athner dist betul m.p,khasra no 599/14 vikas nagar athner dist betul m.p,athner,Betul,460110,https://www.pdvm.org.in/,07144286355,
35301,Madhya Pradesh,"Govt. College, Multai, Betul","Nr. Railway Station,",AT.PO. Multai,Dist. Betul,Betul,460661,https://highereducation.mp.gov.in/?orgid=62,0755-2551698,
35180,Madhya Pradesh,"Prabhat College, Prabhat Pattan, Multai, Betul",BLP COLONY PRABHAT PATTAN,TEH.MULTAI,BETUL,Betul,460665,,,
47983,Madhya Pradesh,"AD KADWE COLLEGE, DUNAWA MULTAI",MAIN RAOD DUNAWA,DUNAWA,DUNAWA,Betul,460663,,,
