id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34678,Madhya Pradesh,KS EDUCATION COLLEGE MUA.,"Plot No. 3174, 3175, 3176, 3177 Near Petrol Pump, Seohdha Road, Mau, Gohad, Bhind 477222","B-77, Govindpuri, Thatipur, Gwalior 474011",MAU,Bhind,477222,https://kecm.org,,
34819,Madhya Pradesh,KUSUM BAI GANTS & GIRLS COLLEGE,sadar bazar bhind (M.P.),SADAR BAZAR BHIND,GWALIOR,Bhind,477001,,,
34889,Madhya Pradesh,GOVT. COLLEGE MAHGOAN,gwalior road,near bsnal office,mehgaon,Bhind,477557,,,
34883,Madhya Pradesh,CH. YADUNATH SINGH COLLEGE,CH.YADUNATH SINGH P.G. COLLEGE,DIVERSION ROAD BHIND,BHIND,Bhind,477001,,,
34806,Madhya Pradesh,CH- YADUNATH SINGH EDUCATION COLLEGE,CH. YADUNATH SINGH SHIKSHA MAHAVIDYALAY,DIVERSION ROAD BHIND M.P.,BHIND,Bhind,477001,https://www.cysec.com,,
34837,Madhya Pradesh,CH. DILIP SING LAW COLLEGE,CIRCUT HOUSE,BHIND M.P.,BHIND,Bhind,477001,,,
52265,Madhya Pradesh,UDAY EDUCATION COLLEGE,GRAM PACHERA POST PALI,TEH GORMI DISTT BHIND,BHIND,Bhind,477660,https://www.uec.ac.in,8281162777,
34707,Madhya Pradesh,CH. DILIP SINGH GIRLS COLLEGE,KILA ROAD BY PASS BAZARIYA BHIND,KILA ROAD BY PASS BAZARIYA BHIND,BHIND,Bhind,477001,,,
34739,Madhya Pradesh,CH- DILIP SINGH GIRLS COLLEGE,KILA ROAD HANUMAN BAZARIYA BHIND,KILA ROAD HANUMAN BAZARIYA BHIND,BHIND,Bhind,477001,,,
48015,Madhya Pradesh,"BHAGAT UDAY SINGH COLLEGE, PACHERA, GORMI",VILL PACHERA POST PALI TEH GORMI,DISTT BHIND,BHIND,Bhind,477660,,,
52259,Madhya Pradesh,PATIRAM SHIVHARE INSTITUTE OF TEACHER EDUCATION,GRAM PUR,GWALIOR ROAD,BHIND,Bhind,477001,,,
34843,Madhya Pradesh,PATIRAM SHIVHARE COLLEGE,GWALIOR ROAD,NA,BHIND,Bhind,477001,https://www.psc.org,,
34925,Madhya Pradesh,NAWAL KISHORE SHIVHARE NURSING COLLEGE,GWALIOR ROAD,NA,BHIND,Bhind,477001,,,
34697,Madhya Pradesh,DURGAPRASAD SARRAF COLLEGE DABHO,BHIND BHANDER ROAD,DABOH BHIND M.P.,DABOH,Bhind,477447,https://www.dscd.org,,
47923,Madhya Pradesh,"GYANWATI MAHAVIDYALAYA, BHIND",VILLLAGE PITHANPURA,POST SYAWALI BLOCK ATER,BHIND,Bhind,477111,,,
34726,Madhya Pradesh,RAMSUAROOP EDUCATION COLLEGE,MUDIA KHEDA,POST UDOTPURA,BHIND,Bhind,477001,,,
34728,Madhya Pradesh,NEELKANTH EDUCATION COLLEGE,MAHAVEER NAGAR,BTI ROAD,BHIND,Bhind,477001,https://www.nec.org,,
