id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
47382,Madhya Pradesh,"Govt. College, Burhanpur","Indrajit Nagar 1st Floor Upkar Kour Highschool, lalbag Burhanpur","Indrajit Nagar 1st Floor Upkar Kour Highschool, lalbag Burhanpur",Burhanpur,Burhanpur,450331,https://burhanpur.nic.in/en/public-utility/govt-college-burhanpur/,07325-241000,dmburhanpur@nic.in; govt.collegeburhanpur@gmail.com
29826,Madhya Pradesh,"Dr. Jakir Hussain College of Education, Burhanpur","P.O.Box No. 52, Surury Campus, Station-Dargah Road",Burhanpur,Burhanpur,Burhanpur,450331,https://www.drzakirhusain.com/,9826337408; 9406543900; 9926075652,drzakirhusaincollege@gmail.com
29738,Madhya Pradesh,"Govt. Ayurveda College, Burhanpur","SHIKAR PURA , NEAR PANI KI TANKI",NA,BURHANPUR,Burhanpur,450331,https://gaacburhanpur.co.in/,07325-241573,ayurcollegeburhanpur58@gmail.com
29782,Madhya Pradesh,"Pandit Jawaharlal Nehru Govt. College, Nepanager",BEED COLONY,NEPANAGAR,NEPANAGAR,Burhanpur,450221,https://highereducation.mp.gov.in/?orgid=95,,
29695,Madhya Pradesh,"Saifee Golden Jubilee Quaderia College, Burhanpur","Quila Road , Burhanpur",NA,Burhanpur,Burhanpur,450331,https://www.sgjqcollege.in/,,sgjq_college@yahoo.co.in
29759,Madhya Pradesh,"Vivekanand College, Burhanpur",KALUSHAH BABA KI DARGAH KE PASS INDORE ICHCHHAPUR ROAD,SHAHPUR,BURHANPUR,Burhanpur,450445,https://www.shiksha.com/college/vivekanand-college-burhanpur-114751,8602643789,
29891,Madhya Pradesh,Prof Brijmohan Mishra Institute of Medical & Technical Sciences,"""BIMTS Parisar"",","Khandwa Road, Jhiri",Burhanpur,Burhanpur,450331,https://bimts.org/,,bimtsburhanpur@gmail.com
36278,Madhya Pradesh,"Thakur Shivkumar Singh Memorial Engineering College, Navall Nagar (Ziri), Tehsil & District Burhanpur-450223","Navalnaga, Ziri","Navalnaga, Ziri",Burhanpur,Burhanpur,450331,https://in.linkedin.com/school/thakur-shivkumar-singh-memorial-engineering-colleg/,8602643789,tsec.mp@gmail.com
48787,Madhya Pradesh,"THAKUR SHIVKUMARSINGH MEMORIAL MANAGEMENT COLLEGE, NAVALNAGAR, ZIRI",NAVALNAGAR,ZIRI,BURHANPUR,Burhanpur,450331,https://www.shiksha.com/college/thakur-shivkumarsingh-memorial-management-college-burhanpur-68621,8602643789,tsec.mp@gmail.com
29664,Madhya Pradesh,"Maulana Azad Institute of Prof. Studies, Burhanpur","Educational Point,Ganpati Naka,",Khandwa Road,Burhanpur,Burhanpur,450331,https://www.shiksha.com/college/maulana-azad-institute-of-professional-studies-burhanpur-73555,,m.a.d.ed.college@gmail.com
