id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
36091,Madhya Pradesh,"Daksh Institute of Pharmaceutical Science, Near Vrandavanpuram, Nayapura Road, Chhatarpur",NARAYANPURA ROAD OPPOSITE TO VRINDAVANPURAM CHHATARPUR,NA,CHHATARPUR,Chhatarpur,471001,https://dakshcollege.com/website/,+91-9425146100; 07682-245900; 7987568743; 9893132439; 8982353354; +91-8982353354; 08982353354; 9425146100,ajaylal.nigam@rediffmail.com
19232,Madhya Pradesh,"Govt. Degree College, Bijawar",GOVT.COLLEGE BIJAWAR,BIJAWAR,BIJAWAR,Chhatarpur,471405,"https://en.wikipedia.org/wiki/Government_Degree_College,_Bijawar",,
19279,Madhya Pradesh,"R.S. College of Sc. and Tech., Nagaow",GALLA MANDI ROAD,IN FRONT OF BALBHADRA PUSTKALAYA,NOWGONG,Chhatarpur,471201,https://scholarships.gov.in/public/FAQ/Top_class_11th.pdf,,
19159,Madhya Pradesh,"Govt. Degree College, Loundi",Jail Road Lavkushnagar,Jail Road Lavkushnagar,Lavkushnagar,Chhatarpur,471515,http://www.mphighereducation.nic.in/gdclaundi,,education@oneindia.co.in; hegclaucha@mp.gov.in
19286,Madhya Pradesh,"Sunrise College, Nagaow",PIPRY ROAD,NEAR SANJAY DAL MILL,NOWGONG,Chhatarpur,471201,https://scofenwg.in/,9424345167; +91-9424345167; 9893823746,Mahendranowgong@gmail.com; id-Mahendranowgong@gmail.com
19181,Madhya Pradesh,"Ganesh Pd. Vedni College., Ghuwara",SAGAR ROAD,NEAR POLICE STATION,GHUWARA,Chhatarpur,471313,https://www.justdial.com/Chhatarpur/Ganesh-Prasad-Varni-College-Guwara-Ghuwara/9999P7682-7682-180702093442-B7G2_BZDET,,
19207,Madhya Pradesh,"Veerangna Awanti Bai Law College, Chhatarpur",ROSAN KI BAGIA IN FRONT OF GOVT MAHARAJA COLLEGE,WARD NO. 29,CHHATARPUR,Chhatarpur,471001,https://www.vabgroupedu.com/,+91 6260102534; 6260102534,vab_57@rediffmail.com
19226,Madhya Pradesh,"Vidyawati Chaturvedi College of Education, Chhatarpur","Kishor Sagar Road, Chhatarpur (m.p.)",toriya house jawahar marg chhatarpur,Chhatarpur,Chhatarpur,471001,,,
19155,Madhya Pradesh,"Govt. Chartshal Maharaja P.G. Coll., Maharajpur",Main Road,Maharajpur,Maharajpur,Chhatarpur,471501,,,
19262,Madhya Pradesh,"Govt. Degree College, Badamalhara","Govt. Degree College, Badamalhara, Chhatarpur (m.p.)","Govt. Degree College, Badamalhara, Chhatarpur (m.p.)",Badamalhara,Chhatarpur,471311,https://www.gdcb.ac.in,7018005305; 7018231786,bhumivedsite@gmail.com
