id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
19176,Madhya Pradesh,"Arts and Comm. College, Pandhurana","Pandhurna, 480334 Distt. Chhindwara (M.P.)","Pandhurna, 480334 Distt. Chhindwara (M.P.)",Pandhurna,Chhindwara,480334,https://cuc.ac.in/college-list/,07162-230266; 07162-292970,registrar.cuc@mp.gov.in; registrarchhiuni@gmail.com
19216,Madhya Pradesh,"Soni College of Management and Technology, Chhindwara","KHUNAJHIR KALA, NAGPUR ROAD",NEAR LINGA,CHHINDWARA,Chhindwara,480001,https://sonycomputer.co.in/,+91-8349107040; +91-6260900065; 6260900065; 8349107040,
19233,Madhya Pradesh,"Govt. Degree College, Damua",AT- DAMUA NEAR PETROL PUMP,POST - DAMUA,DAMUA,Chhindwara,480555,https://highereducation.mp.gov.in/?orgid=111,07162-230266; 07162-292970,registrar.cuc@mp.gov.in; registrarchhiuni@gmail.com
19126,Madhya Pradesh,"Govt. Girls College, Chhindwara",FAWARA CHOWK CHHINDWARA,FAWARA CHOWK CHHINDWARA,CHHINDWARA,Chhindwara,480001,https://cuc.ac.in/college-list/,07162-230266; 07162-292970,registrar.cuc@mp.gov.in; registrarchhiuni@gmail.com
19182,Madhya Pradesh,"Maharshi Vishwamitra Mahavidyalaya, Pandhurna, Chhindwara",SHIVSHAKTI MANGAL KARYALAYA SHANKAR NAGAR,NAGPUR ROAD,PANDHURNA,Chhindwara,480334,https://nmvcpnd.edu.in/,9479734973; 9981749558,official@nmvcpnd.in; newmvc2020@gmail.com
19165,Madhya Pradesh,"Danielson Degree College, Chhindwara",OLD NAGPUR NAKA,NA,CHHINDWARA,Chhindwara,480001,https://www.danielsoncollege.com/,07162-226330,principal.ddc.chw@gmail.com
19288,Madhya Pradesh,"Govt. Degree College, Lodhikheda",Principal Govt.College Lodhikheda,Rangari Road Lodhikheda Dist. Chhindwara 480108,Lodhikheda,Chhindwara,480108,https://hed.mponline.gov.in/,0755-6720201,
44986,Madhya Pradesh,"KEPS DEGREE COLLEGE OF SCIENCE MANAGEMENT AND I T, PANDURANA","SHANKAR NAGAR,","NAGPUR ROAD, PANDHURNA",PANDHURNA,Chhindwara,480334,https://cuc.ac.in/college-list/,07162-230266; 07162-292970,registrar.cuc@mp.gov.in; registrarchhiuni@gmail.com
19211,Madhya Pradesh,"Govt. Arts and Comm., Tamia",At.Tamia,post Tamia,Tamia,Chhindwara,480559,https://cuc.ac.in/college-list/,07162-230266; 07162-292970,registrar.cuc@mp.gov.in; registrarchhiuni@gmail.com
19244,Madhya Pradesh,"Govt. Junnerdeo College, Junnerdeo","Govt. Junnardeo College, Junnardeo",Kalimati Junnardeo,Junnardeo,Chhindwara,480551,,,
