id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
19187,Madhya Pradesh,"Govt. Degree College, Pathariya",Damoh Road,Patharia,Patharia,Damoh,470666,https://damoh.nic.in/en/public-utility/govt-college-patharia/,07601-281402,hegcpatdam-mp@mp.gov.in
19197,Madhya Pradesh,Swami Vivekanand College Hatta,GOURI SHANKAR WARD,HATTA,HATTA,Damoh,470775,https://www.svch.org,,
19157,Madhya Pradesh,"Govt. P.G. College, Damoh",Teen gulli Sagar-Jabalpur road,Civil ward no.8,Damoh,Damoh,470661,https://www.gpcd.org,,
36155,Madhya Pradesh,"Ojaswini Institute of Management & Technology, Tahsil & District Damoh-470661","OJASWINI NAGAR, SAGAR ROAD, VILL HATHNA",NA,DAMOH,Damoh,470661,,,
19218,Madhya Pradesh,"Ojaswani Inst. of Management and Technology, Damoh",OJASWINI NAGAR SAGAR ROAD VILLAGE HATHANA,DAMOH,DAMOH,Damoh,470661,,,
19240,Madhya Pradesh,"Govt. Degree College, Jabera",GOVT. COLLEGE JABERA (DAMOH),MAIN ROAD JABALPUR-DAMOH,JABERA,Damoh,470881,,,
19132,Madhya Pradesh,"Govt. K.N. Mahila Mahavidyalaya, Damoh",CIVIL WARD NO 4,DAMOH,DAMOH,Damoh,470661,,,
19205,Madhya Pradesh,Ojaswani Utkrishta Sansthan Damoh,Mailya mill campus Damoh,NA,Damoh,Damoh,470661,https://www.ousd.org,,talent@ousd.org; specialeducation@ousd.org; payroll@ousd.org; helpdesk@ousd.org; ousdfacilities@ousd.org; enroll@ousd.org
19172,Madhya Pradesh,"Ojaswini Institute of Nursing Science and Research, Damoh",Engineering Campus,Sagar Road,damoh,Damoh,470661,,,
19186,Madhya Pradesh,"Govt. ShriR.S. Hazari College, Hatta",Batiagarh road,Near Jail,Hatta,Damoh,470775,,,
19161,Madhya Pradesh,"Dr. Vijay Lal Smriti College,Damoh",Civil Ward No. 5,MICS Compound,Damoh,Damoh,470661,,,
19242,Madhya Pradesh,Bhundelkhend Carrier College Hatta,Gouri shankar ward,Hatta Damoh M.P.,Hatta,Damoh,470775,,,
31367,Madhya Pradesh,SPACE COMPUTER DAMOH,NAYA BAZAR,DHAGAT CHOURAHA,DAMOH,Damoh,470661,,,
31161,Madhya Pradesh,TIMES COLLEGE OF COMPUTER AND INFORMATION TECH. DAMOH,Professor Colony,Civil Ward,Damoh,Damoh,470661,,,
