id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34703,Madhya Pradesh,"N.S. MEMORIAL COLLEGE OF SCIENCE & STUDIES, BHADER",Chirgoan Road,Ward no-11,Bhander,Datia,475335,https://www.justdial.com/Datia/N-S-Memorial-College-Of-Life-And-Studies-Main-Road-Bhander/9999P7522-7522-140630144936-N2T9_BZDET,9329746100,
48053,Madhya Pradesh,SHRI RAWATPURA SARKAR COLLEGE OF PHYSICAL EDUCATION,KALAPURAM NH-75 JHANSI ROAD,DAGRAI,DATIA,Datia,475661,http://sridatia.in/,009000045; +91-7755001684; 009000047; +91-8009000047; 7755001684; 8009000047; 8009000045; +91-7755001685; 7755001685,
50830,Madhya Pradesh,Shri Rawatpura Sarkar Institute of Technology and Science,"Kalapuram, Dagrai","NH-75, Jhansi Road",Datia,Datia,475661,http://sridatia.in/,009000045; +91-7755001684; 009000047; +91-8009000047; 7755001684; 8009000047; 8009000045; +91-7755001685; 7755001685,
34724,Madhya Pradesh,RASS JB COLLEGE FOR PROFESSIONAL STUDIES,"JHANSI ROAD,DATIA",NA,DATIA,Datia,475661,https://www.justdial.com/Datia/Rass-Jb-Institute-For-Professional-Studies-Behind-Diet-Office-Civil-Lines-Jhansi-Road/9999P7523-7523-120720224145-T9V3_BZDET,+91-6263066207; 9826261213; 6263066207; 9826236644,rajeshmordatia@gmail.com
34951,Madhya Pradesh,COLLEGE OF NURSING RAWATPURA SARKAR,"Kalapuram,N.H - 75,Jhansi Road, Datia","Dagrai,Datia",Datia,Datia,475661,http://sridatia.in/,009000045; +91-7755001684; 009000047; +91-8009000047; 7755001684; 8009000047; 8009000045; +91-7755001685; 7755001685,
34765,Madhya Pradesh,SHRI RAWATPURA SARKAR SNATAK COLLEGE,"N.H.-75, Jhansi Road",Dagrai Datia,Datia,Datia,475661,http://sridatia.in/,009000045; +91-7755001684; 009000047; +91-8009000047; 7755001684; 8009000047; 8009000045; +91-7755001685; 7755001685,
34827,Madhya Pradesh,SHRI RAWAT PURA SARKAR COLLEGE OF MANAGEMENT & SCIENCE,"Kalapuram,NH75,Jhansi Road Datia",Dagrai Datia,Datia,Datia,475661,http://sridatia.in/,009000045; +91-7755001684; 009000047; +91-8009000047; 7755001684; 8009000047; 8009000045; +91-7755001685; 7755001685,
36056,Madhya Pradesh,"Shri Rawatpura Sarkar Institute of Pharmacy, 3 Km Stone, Dagzai NH-75, Jhansi Road, Datia-475661","NH-75 Jhansi Road, Datia","Kalapuram, Datia",Datia,Datia,475661,http://sriaari.org/,8953061833; +91-7068280627; 068280628; 7068280629; 068280629; 7068280628; 7068280627; 068280627,adm.srijhs@gmail.com
48049,Madhya Pradesh,"GOVT V R S COLLEGE, BHANDER","Krishi Upaj Mandi Ke Samne Bhander Dist. Datia, M.P.","Krishi Upaj Mandi Ke Samne Bhander Dist. Datia, M.P.",Bhander,Datia,475335,https://mybharat.gov.in/KnowledgeInstitutions/college/19/govt-vijaya-raje-sindhiya-college-bhander,002122729,
34852,Madhya Pradesh,GOVT. PG COLLEGE,Datia-475661,Madhya Pradesh,Datia,Datia,475661,https://www.govtpgcdatia.ac.in/,9424714291,
52268,Madhya Pradesh,SAI KRIPA COLLEGE OF EDUCATION,"Seondha Road Indergarh, Distric Datia (M.P.)","Seondha Road Indergarh, Distric Datia (M.P.)",Indergarh,Datia,475675,https://saikripaschool.com/,7745908030; 8964849494; +91-8964849494,7745908030saikripaschool@gmail.com
34713,Madhya Pradesh,SHRI SWAMI JI MAHARAJ COLLEGE OF EDUCATION,"survey no. 587, 588",hamirpur dagrai panchayat,datia,Datia,475661,https://www.ssmdatia.com/,8959590825; 8959590821; 9425121684,ssmdatiya@gmail.com
53307,Madhya Pradesh,S B COLLEGE,657,Village Gandhari,Datia,Datia,475661,https://collegeindia.in/college/40640-sb-college-sbc/contact,9461239339,Universitydunia7@gmail.com
53803,Madhya Pradesh,sarvodaya institute for professional studies,ward no. 7,ananya colony,seondha,Datia,475682,,,
36107,Madhya Pradesh,"Nagaji Institute of Technology and Management, Sheoda Road, Datia-475661","Nagaji Institute of Technology and Management, Sheoda Road, Datia-475661","Nagaji Institute of Technology and Management, Sheoda Road, Datia-475661",Datia,Datia,475661,,,
31434,Madhya Pradesh,RASS-JB INSTITUTE FOR PROFESSIONAL STUDIES DATIA,WARD NO 36 RAMNAGAR COLONY,BEHIND DIET OFFICE CIVIL LINES,DATIA,Datia,475661,,,
48050,Madhya Pradesh,JAI SHREE SAI COLLEGE OF COMPUTER AND MANAGEMENT,"Near Chhota post office,Rawat ji bara Bara Bazar Datia (M.P.)",NA,Datia,Datia,475661,,,
34946,Madhya Pradesh,GOVT. GOVIND DEGREE COLLEGE SEBDA,NEAR BUS STAND,SEONDHA,SEONDHA,Datia,475682,https://www.govtpgcdatia.ac.in/,9424714291,
50472,Madhya Pradesh,"GOVERNMENT COLLEGE, INDERGARH, DATIA",IN FRONT OF POLICE STATION INDERGARH,INDERGARH DIST DATIA,M.P,Datia,475675,https://www.govtpgcdatia.ac.in/,9424714291,
31489,Madhya Pradesh,BHARAT INSTITUTE OF TECHNOLOGY AND SCIENCE DATIA,Sita Sagar Road,Rajghat Tiraha,Datia,Datia,475661,https://www.facebook.com/sksawla/about/,9639549675; +91 9639549675,bharatcollegedatia@gmail.com
53962,Madhya Pradesh,Unique Computer Center,NEAR RELIANCE TOWER,"PABIA KA BAGH, RAJGARH CHOURAHA",DATIA,Datia,475661,https://www.justdial.com/Datia/Computer-Training-Institutes/nct-10124277,+91-9992333683; +91-9992333874; 9992333683; 9992333874,
34937,Madhya Pradesh,SHRI RAWATPURA SARKAR INSTITUTE OF SCIENCE & EDUCATION,NH-75 KALAPURAM,JHANSI ROAD DATIA,datia,Datia,475661,http://sridatia.in/,8009000047; 7755001685; 009000045; +91-7755001684; +91-7755001685; 009000047; 7755001684; 8009000045; +91-8009000047,
34944,Madhya Pradesh,GOVT. GIRLS COLLEGE,NEAR RAWATPURA COLLEGE DATIA,DAGRAI ROAD,DATIA,Datia,475661,https://www.govtpgcdatia.ac.in/,9424714291,
50443,Madhya Pradesh,LORD KRISHNA COLLEGE OF NURSING DATIA,HAMIRPUR TIRAHA,VILLAGE HAMIRPUR,DATIA,Datia,475661,https://bharateducation.org/details.php?view_id=2176,9315946308; 9993758481; 8989978361; +91-8989978361,gobharateducation@gmail.com; registrarlkcn@gmail.com
4691,Madhya Pradesh,N S MEMORIAL SCHOOL OF NURSING DATIA,Chirgaon Road,Ward No 11,Bhander,Datia,475335,https://www.justdial.com/Datia/N-S-Memorial-College-Of-Life-And-Studies-Main-Road-Bhander/9999P7522-7522-140630144936-N2T9_BZDET,,
4715,Madhya Pradesh,SHRI RAWATPURA SARKAR SCHOOL OF NURSING DATIA,"Kalapuram, N.H - 75, Jhansi Road,Datia","Dagrai, Datia",Datia,Datia,475661,http://sridatia.in/,8009000047; 7755001685; 009000045; +91-7755001684; +91-7755001685; 009000047; 7755001684; 8009000045; +91-8009000047,
4716,Madhya Pradesh,SHRI SWAMIJI MAHARAJ COLLEGE OF NURSING DATIA,"HAMEERPUR DAGRAI PANCHAYA,UNAO ROAD DATIA","HAMEERPUR DAGRAI PANCHAYA,UNAO ROAD DATIA",DATIA,Datia,475661,https://www.ssmdatia.com/,9425121684; 8959590825; 8959590821,ssmdatiya@gmail.com
