id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
50196,Madhya Pradesh,"PUSHPDEEP GIRLS COLLEGE, KHATEGAON",NAYAPURA AJNAS ROAD KHATEGAON,NA,KHATEGAON,Dewas,455336,https://pgckhategaon.co.in/,+91-9893637669; 9993379425; 9893637669,pushpdeephr@gmail.com
31656,Madhya Pradesh,"Govt. Arts & Comm. College, Kannod",Satwas Road Kannod,Distt. Dewas,Kannod,Dewas,455332,,,
31743,Madhya Pradesh,"Om Shanti Vigyan College, Bagli",Om Shanti College,Bagli,Bagli,Dewas,455227,,,
47238,Madhya Pradesh,"GOVERNMENT COLLEGE, TONK KHURD","DEOLI ROAD,TONKKHURD",NA,TONKKHURD,Dewas,455116,,,
31710,Madhya Pradesh,"Moulana Azad College of Prof. Studies, Dewas","pushpkunj Colony,itwa",NA,Dewas,Dewas,455001,,,
31684,Madhya Pradesh,"Govt. College, Khategaon",Nemawar Road,NA,Khategaon,Dewas,455336,https://www.gck.ac.in,04994 256027,getinfo@gck.ac.in
31630,Madhya Pradesh,"Sant Singaji Institute of Science & Management Sandalpur, Dewas",NH-59/A,GRAM SANDALPUR TEHSIL KHATEGAON DIST DEWAS,SANDALPUR,Dewas,455336,,,
31727,Madhya Pradesh,"Govt. College, Hatpipliya",Newari Bagli Marg,"Tilyakhedi, Hatpipliya",Dewas,Dewas,455223,,,
47237,Madhya Pradesh,"SOHAM INSTITUTE OF MANAGEMENT, DEWAS",Soham Institute of Management Dewas,"Gram Amarpura, Near Bhopal Road",Dewas,Dewas,455001,,,
32617,Madhya Pradesh,"Guru Vashishtha Education College, Dewas",raja bhau mahankal nagar,NA,dewas,Dewas,455001,,,
31687,Madhya Pradesh,"Prestige Institute of Management, Dewas","Ram Bagh , Vikas Nagar,A.B. Road",NA,Dewas,Dewas,455001,,,
31717,Madhya Pradesh,"Vidhya Sagar Institute of Professional Studies, Khategaon",45 TILAK MARG,KHATEGAON,KHATEGAON,Dewas,466331,,,
31732,Madhya Pradesh,"Guru Vashita College, Dewas",Awas Nagar,NA,Dewas,Dewas,455001,,,
31721,Madhya Pradesh,"Maya Devi Institute of Education, Dewas",Village Nagukhedi,Ujjain Road,Dewas,Dewas,455001,,,
31658,Madhya Pradesh,"Govt. K.P.College, Dewas",LAKSHMI BAI MARG,BHOPAL SQUARE,DEWAS,Dewas,455001,,,
31696,Madhya Pradesh,"B.C.G. Education College, Dewas","PATWARI HALKA NO.20,SURVEY NO.42/2/2","GRAM NAGUKHEDI, UJJAIN ROAD, DEWAS",Dewas,Dewas,455001,https://www.becd.org,,
31722,Madhya Pradesh,"Abdul Hamid Unani Chikitsa College, Dewas","Rajoda Road, Near Meetha Talab",Dewas,Dewas,Dewas,455001,,,
31714,Madhya Pradesh,"New Era College of Education, Dewas",199/4 AWAS NAGAR,MAXI ROAD,DEWAS,Dewas,455001,,,
31694,Madhya Pradesh,"Govt. College, Bagli",Gandhi Colony Bagli,Gandhi Colony Bagli,Bagil,Dewas,455227,https://www.gcb.com,,
31627,Madhya Pradesh,"Tribhawans College, Dewas","Shivshakti,Gourav Nagar Dewas",Dewas M.P.,Dewas,Dewas,455001,,,
31666,Madhya Pradesh,"Govt. Girls College, Dewas",itawa,ujjain road,Dewas,Dewas,455001,https://www.ggcd.org,,
50197,Madhya Pradesh,"GOVERNMENT COLLEGE, SATWAS",Govt.College Satwas,dist. Dewas,Satwas,Dewas,455459,https://www.gcs.ac.in,8222099824; +91-8222099824; 01735297554; 8222899870,gcsbilaspur@gmail.com
31735,Madhya Pradesh,"Synargy Institute of Technology, Dewas","Maxi Road, Village Rajpura, Dewas - 4555001",-,Dewas,Dewas,455001,,,
36160,Madhya Pradesh,"Synergy Institute of Technology, Village Rajapura, Maxi Road, A.B. Road, Dewas","VILLAGE RAJPURA, MAXI ROAD",-,DEWAS,Dewas,455001,,,
53735,Madhya Pradesh,ABHIRUCHI LALIT KALA AkADAMI,"87, Ganga Nagar",NA,Dewas,Dewas,455001,https://alka.in,,
53044,Madhya Pradesh,"Shri Dada ji Shaikhnik Avam Samajik Samiti, Satwas",STATE HIGHWAY,KANNOD ROAD,SATWAS,Dewas,455459,,,
31713,Madhya Pradesh,"Govt. College, Sonkach","ASRM Govt college,Sonkatch",NA,Sonkatch,Dewas,455118,https://www.gcs.ac.in,8222099824; +91-8222099824; 01735297554; 8222899870,gcsbilaspur@gmail.com
31668,Madhya Pradesh,"Saraswati Gyanpeeth Edu. College, Dewas","62, Laxman Nagar A.B. Road Dewas","62, Laxman Nagar A.B. Road Dewas",Dewas,Dewas,455001,,,
53614,Madhya Pradesh,"Govt. Law College, Dewas","Behind K.P. College, Dewas","Behind K.P. College, Dewas",Dewas,Dewas,455001,https://glcd.org,,
53043,Madhya Pradesh,"Imperial College of Fundamental Studies, Vijayaganj Mandi",vijaganjmandi,maxi road,dewas,Dewas,455001,,,
31223,Madhya Pradesh,LAKSHYA INSTITUTE OF COMPUTER TRAINING DEWAS,"1, Gomati Nagar,","A.B. Road, Dewas",Dewas,Dewas,455001,,,
