id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
29862,Madhya Pradesh,"Roshan College of Education, Shri Nagar Colony, Dhar",prakash nagar,bramha kundi road,DHAR,Dhar,454001,,,
29717,Madhya Pradesh,"J.D. Memoral College of Physiotherapy & Paramedical, Dhar",Indore - Ahamdabad Road Dhar,Dhar,Dhar,Dhar,454001,,,
51579,Madhya Pradesh,"LSA College, Dhar",Behind Mittal Farm House Vill. Jetpura Dhar M.P.,NA,Dhar,Dhar,454001,https://www.lcd.org,,
35980,Madhya Pradesh,"""Nimar Institute of Pharmacy, Maheshwar Road, Opp. ITI Dhamnod, Distt. Dhar - 454552""",OPP ITI MAHESHWAR ROAD DHAMNOD,DHAR MP 454552,DHAMNOD,Dhar,454552,,,
47280,Madhya Pradesh,"Vidyodaya College, Manawar",Gopalpura road opposite telephone exchange manawar,Gopalpura road opposite telephone exchange manawar,manawar,Dhar,454446,https://www.vcm.com,031-3203410,media@vcm.com
29659,Madhya Pradesh,"Govt. Girls College, Dhar",Mandu Road,NA,Dhar,Dhar,454001,,,
29821,Madhya Pradesh,"Govt. College, Dhamnod",MAHESHWAR ROAD,OPPOSITE I.T.I.,DHAMNOD,Dhar,454552,https://www.gcd.org,,sengoku@gcd.org
47414,Madhya Pradesh,"Govt. College, Pithampur",Govt.Higher Secondary School Campus,Daak Banglow Pithampur,Pithampur,Dhar,454775,,,
29735,Madhya Pradesh,"Govt. College, Kukshi Dist. Dhar",BARWANI ROAD,-,KUKSHI,Dhar,454331,,,
29683,Madhya Pradesh,"Govt. College Sardarpur, Dhar",Indore Ahamadabad Road,Infront of MPEB Grid,Rajgarh dhar,Dhar,454111,,,
29760,Madhya Pradesh,"Indira Gandhi Memorial Homeopathic College, Dhar","131, PRAKASH NAGAR DHAR MP",DHAR,DHAR,Dhar,454001,https://igmmedicalcollege.com/,07292-406140; 07292-354141; 07292-353131,igmdhar@gmail.com
52162,Madhya Pradesh,"GOVT. COLLEGE GANDHWANI, DIST. DHAR",GOVT. COLLEGE GANDHWANI DIST. DHAR,GOVT. COLLEGE GANDHWANI DIST. DHAR,GANDHWANI,Dhar,454350,https://dhar.nic.in/en/education/,07291-264384; 07297-244020; 07292-222547; 07295-234004; 07292252170; 07291-233572; 07292-223729; 07294-232337; 07297-277088; 07294-261283; 07296-234353,hegcgandha@mp.gov.in; hegcpitdha@mp.gov.in; hegcbaddha@mp.gov.in; hegpgcdha@mp.gov.in; heggcdha@mp.gov.in; hegcdhardha@mp.gov.in; hegckukdha@mp.gov.in; hegcdhamdha@mp.gov.in; govtcollegebagh@gmail.com; hegcmandha@mp.gov.in; hegcsardha@mp.gov.in
