id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34727,Madhya Pradesh,GOVT. MADHAV COLLEGE CHANDERI,PICHHORE ROAD CHANDERI,PICHHORE ROAD CHANDERI,CHANDERI,Guna,473446,https://services.india.gov.in/service/listing?ln=en&cat_id=68&sort=hit_count%40desc&page_no=24,,
34861,Madhya Pradesh,GANDHI VOCATIONAL COLLEGE,KUSHMODA,KUSHMODA,GUNA,Guna,473001,https://www.gvc.ac.in,0491-2576773,victoriapkd@gmail.com; websitegvc@gmail.com
34957,Madhya Pradesh,MADHAV VIDHI COLLEGE,VIVEKANAND MARG,NAI SADAK,GWALIOR,Guna,474001,,,
34899,Madhya Pradesh,"Yuva Vyavsaik Shikshan Mahavidhyalaya, Guna",Marutishowroom ke samne by pass road guna M.P.,Marutishowroom ke samne by pass road guna M.P.,Guna,Guna,473001,,,
34786,Madhya Pradesh,DIVYANSH COLLEGE,VILLAGE MADHOPURA,HARIPUR RAOD,GUNA,Guna,473001,https://www.dc.com,,dccomicsadvertising@dccomics.com; DCPress@dcentertainment.com; dcsubs@midtowncomics.com; madsubs@midtowncomics.com; privacy@wb.com
34769,Madhya Pradesh,GOVT. COLLEGE AROON,Sironj Road Aron,NA,Aron,Guna,473101,https://www.gca.org,,GCA_China@gca.org
34945,Madhya Pradesh,SONALI EDUCATION COLLEGE,saraswati vihar,nazool colony,guna,Guna,473001,https://www.sec.ac.in,9843630033; 9843490905; +91 9994031074; 9943490901; +91 9843490905; 9843490901; +91 9843630033; +91 9943490901; 9994031074; +91 9843490901,principal@sec.ac.in; ao@sec.ac.in; admission@sec.ac.in; placementsgi@sec.ac.in
34926,Madhya Pradesh,GOVT. KASTURBA GIRLS COLLEGE,choudran colony criest school ke pass,choudran colony criest school ke pass,guna,Guna,473001,,,
34825,Madhya Pradesh,GOVT. DEGREE COLLEGE RADHOGARH,Aron Road Barbatpura Raghogarh,NA,Raghogarh,Guna,473226,https://www.gdcr.ac.in,,principal@digvijaycollege.com
34695,Madhya Pradesh,GOVT. P.G. COLLEGE,MADHAV RAO SCHINDHIYA ROAD,GUNA,GUNA,Guna,473001,https://www.govtpgcollege.com,,
