id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34968,Madhya Pradesh,GRANTHAM NURSING COLLEGE,"Modi Kheria, Mauh Road,","Badagaon, Morar",Gwalior,Gwalior,474011,,,
34756,Madhya Pradesh,VEENAVADHNI TEACHER TRAINING INSTITUTE JIWAJI GUNJ,B-Block Anand Nagar,"Bhoudapur,Gwalior M.P.474012",Gwalior,Gwalior,474012,,,
34682,Madhya Pradesh,PRESTIGE INSTITUTE OF MANAGMENT,OPP. D. D. NAGAR,AIRPORT ROAD,GWALIOR,Gwalior,474020,,,
34698,Madhya Pradesh,GURUKUL INSTITUTE OF MANAGEMENT,NEAR SAHARA CITY HOME'S TIGHRA ROAD ODPUR gwl,"NEAR HDFC ATM,INDERGANJ CHAURAHA GWALIOR",GWALIOR,Gwalior,474001,,,
34877,Madhya Pradesh,VIKRANT INSTITUTE OF INTEGRATED LEARNING &ADVANCED STUDIES,"Near Badagaon, Ratwai, Gwalior",NA,Gwalior,Gwalior,474006,,,
36340,Madhya Pradesh,M.P.C.T. COLLEGE OF MANAGEMENT,Putlighar Road,Near Jiwaji University,Gwalior,Gwalior,474006,https://www.mcom.org,,
34824,Madhya Pradesh,SARDAR GYAN SINGH MEMORIAL EDUCATION COLLEGE BADAGAON MORAR,BADAGOAN,MORAR,GWALIOR,Gwalior,474006,,,
34924,Madhya Pradesh,GOVT.ARUVEDIK COLLEGE,"Amkho, Gwalior",NA,Gwalior,Gwalior,474009,,,
34927,Madhya Pradesh,MAHARANA PRATAP COLLEGE OF ALLIED SCIENCE,"PUTLIGHAR ROAD,",NEAR JIWAJI UNIVERSITY,GWALIOR,Gwalior,474006,,,
34936,Madhya Pradesh,BHAGWAN JULELAL SCIENCE COLLEGE SAMADHIYA COLONY TARAGANG,"TARAGANJ, NEAR SAMADHIYA COLONY, LASHKAR, GWALIOR","TARAGANJ, NEAR SAMADHIYA COLONY, LASHKAR, GWALIOR",GWALIOR,Gwalior,474001,,,
36277,Madhya Pradesh,"Malwa Institute of Technology & Management, Sikroda-Badori, Gwalior-475001","SIKRODA BADORI, NH 75,","JHANSI ROAD,GWALIOR",GWALIOR,Gwalior,475001,,,
34735,Madhya Pradesh,AKADAMI NURSING COLLEGE,"ARYAN 1 K.M. STONE NEAR NAI DUNIYA PRESS,SHIVPURI LINK","KEDARPUR, GWALIOR (M.P.)",GWALIOR,Gwalior,474009,,,
34962,Madhya Pradesh,P.G. COLLEGE OF NURSINGH CENTER HOSPITAL,MANDRE KI MATA CANCER HILL,GWALIOR (MP) 474009,GWALIOR,Gwalior,474009,,,
