id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
35242,Madhya Pradesh,"Vishnu Rajoriya College, Khirkiya, Harda",WARD NO. 06 SUBHASH WARD,COLLEGE ROAD,KHIRKIYA,Harda,461441,https://www.justdial.com/Harda/Vishnu-Rajoriya-Arts-And-Commerce-College-Khirkiya-Khirkiya/9999P7577-7577-221123205424-F6J6_BZDET,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com
35109,Madhya Pradesh,"Govt. College, Timarni, Harda",Rahatgaon Road,Timarni,Timarni,Harda,461228,http://gdctimarni.in/,9826742180; 9826585373,
35316,Madhya Pradesh,"Harda Adarsh College, Harda","Old Mandi Campus Harda , Dist - Harda 461331",NA,Harda,Harda,461331,http://www.aadarshcollege.com/,+919826023889,govtadarshcollegeharda@gmail.com
35326,Madhya Pradesh,"Harda Degree College, Manpura Chowk, Harda",Opp. Collector Bungalow,Indore road,Harda,Harda,461331,https://hdcharda.com/,+918120837787; 08120837787; 09039904448; 07577-225562,hardadegreecollege@gmail.com
52239,Madhya Pradesh,AMRITSHREE COLLEGE OF EXCELLENCE,Near Janpad Office,Harda Road,Timarni,Harda,461228,https://www.justdial.com/Harda/Amritshree-College-Of-Excellence-Near-Janpad-Office-Harda-Road-Timarni/9999P7577-7577-180914063346-V1A6_BZDET,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com
50430,Madhya Pradesh,"HOLY FAITH COLLEGE OF EXCELLENCE, HARDA KHURD","Holy Faith Campus, Indore Road",Harda Khurd,Harda,Harda,461331,https://www.justdial.com/Harda/Holy-Faith-College-Of-Excellence-Harda-Khurd/9999P7577-7577-230908202835-Y4E7_BZDET,,student@agnirva.com
47457,Madhya Pradesh,"SATPURA VALLEY GROUP OF SCHOOLS, HARDA","SATPURA VALLEY COLLEGE, SIRALI",OLD HARDA-SIRALI ROAD (Ghongda Road),SIRALI,Harda,461335,https://satpudavalley.org/,+91-7509001078; +91-9399823032; 9399823032; 7509001078,
53666,Madhya Pradesh,"Sai Niketan Mahvidyalaya,Rahatgaon",Ward 13 Kamaiya Mohalla,Rahatgaon,Rahatgaon,Harda,461228,https://www.careers360.com/colleges/sai-niketan-college-rahatgaon,,
35137,Madhya Pradesh,"Govt. College, Harda, Harda",Indore Road Harda,Indore Road Harda,harda,Harda,461331,https://svgpgcharda.in/,07577222048,hegaacchar@mp.gov.in
53773,Madhya Pradesh,NEA COMPUTER CENTER HARDA,"1ST FLOOR, PRATAP COLONY,","BEHIND PRATAP TALKIES, HARDA",HARDA,Harda,461331,https://www.justdial.com/Harda/Nea-Computer-Centre-Pratap-Colony-Behind-Pratap-Talkies-In-Front-Of-Coal-Depo-Harda-Golapura/9999P7577-7577-170718235018-B2K6_BZDET,9639549675; +91 9639549675,neaimrank@gmail.com
31260,Madhya Pradesh,SHEETAL COMPUTERS HARDA,AWASTHI COMPOUND,NEAR GOVT.HOSPITAL,Harda,Harda,461331,https://www.justdial.com/Harda/Sheetal-Computers/9999P7577-7577-230112132027-E3U1_BZDET,,icbse.com@gmail.com
53853,Madhya Pradesh,INSTITUTE OF COMPUTER EDUCATION,NEAR RELIANCE TOWER KRISHNA KUNJ COLONY,TIMARNI DISTT. HARDA M.P.,TIMARNI,Harda,461228,https://www.justdial.com/Harda/NICE-Computer-Education-Old-Shrikrishna-Takich-Timarni/9999P7577-7577-141202111557-F3P5_BZDET,9992333874; 9992333683; 7795744683; 6538934665; +91-9992333874; +91-9992333683; 7962792775; 0000-300000; 6386722263,dev7561@gmail.com; Franchise@emaxindia.in
35282,Madhya Pradesh,"Lal Bhadur Shashtri JProfessional Studies, Harda",LBS Campus,Handia Road,Harda,Harda,461331,https://www.justdial.com/Harda/Lal-Bahadur-Shastri-Vyavsayik-Adhyayan-Mahavidyalaya-Handia/9999P7577-7577-170925094316-W9R2_BZDET,,lbsharda@gmail.com
15349,Madhya Pradesh,"LAL BAHADUR SHASTRI VYAVSAYIK ADHYAYAN MAHAVIDYALAYA, HARDA",LBS CAMPUS,HANDIA ROAD,HARDA,Harda,461331,https://www.lbsharda.com/,,lbsharda@gmail.com
7257,Madhya Pradesh,LAL BAHADUR SHASTRI VYAVSAYIK ADHYAPAN MAHAVIDYALY HARDA,LBS CAMPUS,HANDIA ROAD,HARDA,Harda,461331,https://www.shiksha.com/college/lal-bahadur-shastri-vyavsayik-adhyapan-mahavidyaly-harda-93967,,
