id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
36197,Madhya Pradesh,"Shreejee Institute of Technology and Management , Khandwa Road, , Khargone",near gayatri mandir khandwa road Khargne(M.P.),NA,Khargone,Hoshangabad,451001,https://www.facebook.com/shreejeetech/,07282-284584; 09407155004,shreejeeneema@gmail.com
35270,Madhya Pradesh,"Vardhman College, Near Sub Post Office, Surajganj, Itarsi, Hoshangabad",Sona Sanwari Naka Suraj Ganj Itarsi,NA,Itarsi,Hoshangabad,461111,https://in.linkedin.com/school/vardhman-college-near-sub-post-office-surajganj-itarsi-hoshangabad/,7838597250,
48228,Madhya Pradesh,H L AGRAWAL COLLEGE OF EDUCATION,"WARD NO. 27, SHIVAJI NAGAR , ITARSI.",ITARSI,ITARSI,Hoshangabad,461111,http://www.hlagrawalcollegeitarsi.com/,07572-241033,
50407,Madhya Pradesh,"VIVEKANAND COLLEGE, PIPARIYA",MANGALWARA BAZAR,PIPARIYA,PIPARIYA,Hoshangabad,461775,https://vivekanandcollege.ac.in/,,
49198,Madhya Pradesh,MAA NARMADA MAHAVIDHYALAYA,TARONDA ROAD MEHRAGAON,ITARSI,ITARSI,Hoshangabad,461111,https://www.mncollegeitarsi.org/,9907928566; +91-9907928566,mncollege.itarsi@yahoo.co.in; maanarmadacollege@gmail.com
35128,Madhya Pradesh,"Ravindraanath Tagore College, Itarsi, Hoshangabad",Near Harsangat New Gurudwara,Malviyagunj Itarsi,Itarsi,Hoshangabad,461111,https://rntu.ac.in/,07552700447; 07552700401,
35328,Madhya Pradesh,"Govt. Home Science College, Hoshangabad",near SNG School hoshangabad,near civil hospital,hoshangabad,Hoshangabad,461001,https://govthomesciencecollegehbd.com/default.aspx,07574254072,heghsgpgchos@mp.gov.in
35377,Madhya Pradesh,"Govt. Kusum College, Seoni Malwa, Hoshangabad",Govt.Kusum College,Hoshangabad-Khandwa main road,Seoni Malwa,Hoshangabad,461221,https://narmadapuram.nic.in/en/public-utility/govt-kusum-college-seonimalwa/,07570-225648,hegkcseohos@mp.gov.in
35178,Madhya Pradesh,"Govt. P.G. College, Pipariya, Hoshangabad",SHOBHAPUR ROAD PIPARIYA,461775,PIPARIYA,Hoshangabad,461775,https://sbsgovtpgcollegepipariya.in/,9826585373; 07576-220112,hegpcpiphos@mp.gov.in
35254,Madhya Pradesh,"NES College, Hoshangabad",Near the govt. S.N.G. Higher secondary School,Hoshangabad M.P. Pin 461001,Hoshangabad,Hoshangabad,461001,https://www.justdial.com/Hoshangabad/NES-College-Of-Education-Near-S-N-G-School-Behind-Hero-Honda-Showroom-Rasuliya/9999P7572-7572-100812153936-V3S1_BZDET,,
53386,Madhya Pradesh,GOVERMENT NAVEEN COLLEGE BANKHEDI HOSHANGABAD M P,Govt.Naveen college Station Road Bankhadi,Govt.Naveen college Station Road Bankhadi,Bankhadi,Hoshangabad,461990,https://govaccmh.ac.in/,0755-2555326,hegaccbho@mp.gov.in
35177,Madhya Pradesh,"Govt. Makhanlal Chaturvedi, College, Babai, Hoshangabad","Govt. Makhanlal Chaturvedi, College, Babai, Hoshangabad",Babai,Babai,Hoshangabad,461661,https://narmadapuram.nic.in/en/public-utility/makhanlal-chaturvedi-govt-college/,07574251006,hegcbabhos@mp.gov.in
35229,Madhya Pradesh,"Govt. Narmada College, Hoshangabad",Sadar Bazar,Hoshangabad,Hoshangabad,Hoshangabad,461001,https://www.nmvnarmadapuram.org/,07574-254095,
35308,Madhya Pradesh,"Pt. Ram Lal Sharma Education College, Hoshangabad",NEAR DOUBLE FATAK RAILWAY CROSSING,"HARDA BYPASS ROAD, BUDHWADA",HOSHANGABAD,Hoshangabad,461001,https://www.justdial.com/Hoshangabad/Pt-Ramlal-Sharma-College-of-Education-Near-Double-Fatak-Railway-Crossing-Road-Budhwara/9999P7574-7574-210301135655-W7U3_BZDET,,
35261,Madhya Pradesh,"Govt. Girls College, Itarsi, Hoshangabad",NEAR LIC OFFICE,NAYAS COLONY,ITARSI,Hoshangabad,461111,https://narmadapuram.nic.in/en/public-utility/government-girls-college-itarsi/,07572237390,heggcitahos@mp.gov.in
35171,Madhya Pradesh,"C.V. Raman College of Education, Hoshangabad",Pahadiya-itarsi Road hoshangabad M.P.,NA,NA,Hoshangabad,461001,https://www.cvreduhbd.in/,07574-465856; +91 9713468939; 9713468939,cv_raman@gmail.com
35117,Madhya Pradesh,"Govt. College, Pachmarhi, Hoshangabad",Pipariya Road,Pachmarhi,PACHMARHI,Hoshangabad,461881,https://www.rdunijbpin.org/,,
31131,Madhya Pradesh,NEO-TECH COMPUTER INSTITUTE PIPARIYA,OPP DR. KATAKWAR,SANDIYA ROAD,PIPARIYA,Hoshangabad,461775,https://www.justdial.com/Hoshangabad/Neo-Tech-Computer-Institute-Piparia/9999P7574-7574-170928095446-B8J9_BZDET,9639549675; +91 9639549675,
35341,Madhya Pradesh,"Govt. Mahatama Gandhi College, Itarsi, Hoshangabad",Nyas Colony,Near Dubey Hospital,Itarsi,Hoshangabad,461111,https://www.careers360.com/colleges/government-mahatma-gandhi-memorial-post-graduate-college-itarsi,,student@agnirva.com
31500,Madhya Pradesh,HORIZON ACADEMY SEONI MALWA,VIVEKANAND MARG,WARD No. 9,SEONI MALWA,Hoshangabad,461223,https://study-india.org/31500-horizon_academy_seoni_malwa.htm,,
50439,Madhya Pradesh,"JP COLLEGE OF PROFESSIONAL STUDIES, HANUMAN NAGAR, RASULIYA","NH-69, HANUMAN NAGAR, RASULIYA",HOSHANGABAD,HOSHANGABAD,Hoshangabad,461001,https://services.india.gov.in/service/detail/institute-management-systemjp-college-of-professional-studies-1,,
31213,Madhya Pradesh,"ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION, HOSHANGABAD",IN FRONT OF SPM GATE NO 4,"KANCHAN NAGAR, RASULIYA",HOSHANGABAD,Hoshangabad,461001,,,
55224,Madhya Pradesh,ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION-7342,IN FRONT OF TELEPHONE EXCHANGE,SADAR BAZAR,HOSHANGABAD,Hoshangabad,461001,,,
31186,Madhya Pradesh,EXCEL INSTITUTE OF COMPUTERS HOSHANGABAD,Subhash Chandra Bose College,Near District Court Kothi Bazar,Hoshangabad,Hoshangabad,461001,,,
35114,Madhya Pradesh,"Subhash Chandra Bose College, Near Home Guard Office, Hoshangabad",Near District Court,Kothi Bazar,Hoshangabad,Hoshangabad,461001,,,
31332,Madhya Pradesh,J.M. COMPUTER ITARSI,MIG 11 (SF) NYAS COLONY,NEAR MGM COLLEGE,ITARSI,Hoshangabad,461111,https://www.jci.org,,
53877,Madhya Pradesh,PC TECH COMPUTER EDUCATION,OPPOSITE KRASHI UPAJ MANDI,I.T.I ROAD,HOSHANGABAD,Hoshangabad,461001,https://www.ptce.org,,
31108,Madhya Pradesh,VISION COMPUTER EDUCATION PIPARIYA,"BESIDE STATE BANK OF INDIA, MOHTA PLOT",TILAK WARD,PIPARIYA,Hoshangabad,461775,,,
54117,Madhya Pradesh,RITS,ASHOKA CHAMBERS,GANDHI CHOWK,SEONI MALWA,Hoshangabad,461223,https://www.rits.org,,
35358,Madhya Pradesh,"Govt. Girls College, Pipariya, Hoshangabad",Sandiya road,Sandiya road,Pipariya,Hoshangabad,461775,,,
31397,Madhya Pradesh,"COMPUTER CORNER EDUCATIONAL SOCIETY, ITARSI",10TH LINE,NAYS COLONY ROAD,ITARSI,Hoshangabad,461111,,,
35352,Madhya Pradesh,"SDAM College, Srikrishna Building, Gandhi Chowk, Sioni Malwa, Hoshangabad","Balram Patel Colony,",Near Bus Stand,Seoni Malwa,Hoshangabad,461223,,,
53646,Madhya Pradesh,RAVINDRANATH TAGORE COMPUTER INSTITUTE ITARSI,BINDRA WALI GALI,MALVIGANJ,ITARSI,Hoshangabad,461111,,,
