id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
33458,Madhya Pradesh,"Shri Ram Institute of Technology, Jabalpur","Near ITI, Madhotal, Jabalpur",NA,Jabalpur,Jabalpur,482002,,,
33379,Madhya Pradesh,"Shri Ram Institute of Management, Jabalpur","Near ITI Madhotal, Jabalpur, M.P.",NA,Jabalpur,Jabalpur,482002,,,
47388,Madhya Pradesh,"GLOBAL NATURE CARE GROUP SANGATHAN INSTITUTION, Jabalpur","Patan BY-Pass Square, Gram-Raighawan",NA,Jabalpur,Jabalpur,482005,,,
33369,Madhya Pradesh,Varnee Digambar Jain Gurukul Mahavidyalaya,"NAGPUR ROAD, IN FRONT OF PISANHARI KI MADIYA",GARHA JABALPUR,JABALPUR,Jabalpur,482003,,,
6618,Madhya Pradesh,"Nagar Nigam Shri Loknath Shastri Sanskrit College, Govindgunj, Jabalpur",GOVINDGANJ,NA,JABALPUR,Jabalpur,482002,,,
50211,Madhya Pradesh,"GOVERNMENT ARTS AND COMMERCE COLLEGE, BARELA",BARELA,BARELA,JABALPUR,Jabalpur,482001,,,
33418,Madhya Pradesh,"Govt. Degree College, Panagar, Jabalpur","Behind Tahsil Office, Footatal Panagar",Jabalpur,Jabalpur,Jabalpur,483220,,,
33421,Madhya Pradesh,"Govt. Degree College Patan, Jabalpur","Mahuwa Kheda Road, Patan, Jabalpur","Mahuwa Kheda Road, Patan, Jabalpur",Jabalpur,Jabalpur,483113,,,
33377,Madhya Pradesh,"Govt. M.H. College of Home Sc. & Science for Women, Wright Town Jabalpur",Near Shashtri Bridge,Napier Town Jabalpur,Jabalpur,Jabalpur,482002,,,
33445,Madhya Pradesh,"Regional Institute of Nursing, Jabalpur",Gram Regwan patan bypass squarer,NA,Jabalpur,Jabalpur,482004,,,
33374,Madhya Pradesh,"Mahatma Gandhi Institute of Nursing, Jabalpur","Mahatma Gandhi Institute Of Nursing, Neemkheda","Gour, Opp. Marble Rock School , Jabalpur (M.P)",Jabalpur,Jabalpur,482021,,,
47396,Madhya Pradesh,"NANDANVAN COLLEGE OF NURSING, Jabalpur","TFRI, Mandla Road, Near Babey Hospital","Gour Tiraha,",Jabalpur,Jabalpur,482021,,,
47354,Madhya Pradesh,"BABU GANGARAM NURSING COLLEGE, JABALPUR","67,mahakoshal nagar adharta jabalpur",adhartal jabalpur,jabalpur,Jabalpur,482002,,,
33337,Madhya Pradesh,"Reva B.Ed. College of Education, Jabalpur","67, mahakoshal nagar adhartal jabalpur","67, mahakoshal nagar adhartal jabalpur",jabalpur,Jabalpur,482002,,,
