id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
33370,Madhya Pradesh,"Rajiv Gandhi Arts, Commerce College, Reethi, Katni","Shiv Nagar , Rithi",NA,Rithi,Katni,483990,https://setrgc.edu.in/,,rajivgandhicollege2002@gmail.com
33395,Madhya Pradesh,"Swami Dwarkadas Arts & Commerce College, Dheemarkheda, Katni",Dheemarkheda,Dheemarkheda,Dheemarkheda,Katni,483332,https://www.justdial.com/Katni/Swami-Dwarkadas-Arts-And-Commerce-College-Dheemarkheda/9999P7622-7622-191113201514-Z4X2_BZDET,9461239339,Universitydunia7@gmail.com
33472,Madhya Pradesh,"Shramdham Arts & Commerce College, Kymore",Kymore 483880,Kymore 483880,Kymore,Katni,483880,https://www.kacckatni.org/,09770029816,james@kacckatni.org
47358,Madhya Pradesh,NALANDA SCIENCE & COMMERCE COLLEGE,NALANDA SCIENCE AND COMMERCE COLLEGE,"NEAR COLLECTORATE, NH-7, MAHARANA PRATAP WARD, JABALPUR ROAD, JHINJHARI, KATNI (M.P.)-483501",KATNI,Katni,483501,https://www.shiksha.com/college/nalanda-science-and-commerce-college-katni-122031/courses,,
33345,Madhya Pradesh,"Govt. Girls College, Katni",Near Nagar Nigam,"Mission Chowk,Katni",Katni,Katni,483501,https://highereducation.mp.gov.in/?orgid=249,,
33455,Madhya Pradesh,"Govt. Tilak College, Katni","Rafi Ahamad Kidwai Ward, Khirahni, Katni","Rafi Ahamad Kidwai Ward, Khirahni, Katni",Katni,Katni,483501,,,
33349,Madhya Pradesh,"Teabyte B.Ed. Traning College, Katni","NH7,JABALPUR ROAD,PIPRODH","NH7,JABALPUR ROAD,PIPRODH",KATNI,Katni,483501,,,
33368,Madhya Pradesh,"Shriniwas Sarawgi College, Katni",Sadhuram campus,subhash chowk,Katni,Katni,483501,,,
33388,Madhya Pradesh,"Katni Arts & Commerce College, Katni",NAI BASTI,NA,KATNI,Katni,483501,,,
6606,Madhya Pradesh,"Shri Narayan Sanskrit College, Katni",mohan takij road,mohan takji road,katni,Katni,483501,,,
