id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
48760,Madhya Pradesh,"HAJRA MEMORIAL COLLEGE MALHARGARH, KHALWA",GRAM-MALHARGARH,POST-KHALWA,TEH-KHALWA,Khandwa,450117,https://www.hajracollege.com/,8458955386; +91 8458955386,hajramc@yahoo.com
50273,Madhya Pradesh,"RAVINDRA NATH TAGORE INSTITUTE OF SCIENCE AND PROFESSIONAL STUDIES, MORGHADI",Village-Morghadi,"Mortakka, Tehsil- Punasa",Sanawad,Khandwa,450554,https://www.rntgroup.in/,+91 7895907366; 7895907366,enquiry.rntfoundation@gmail.com
47330,Madhya Pradesh,"Govt. College, Mundi",Govt. Degree College,Mundi Distt.- Khandwa (M.P.),Mundi,Khandwa,450112,https://www.justdial.com/Khandwa/Government-Colleges-in-Mundi/nct-11172516,0733-2222119; 0733-2248223; 0733-2248234; 0733-2245000; 0733-2222206; 0733-2244097; 0733-2248134,
29697,Madhya Pradesh,"Sarvapalli Radhakrishnan Vyavsaik Addhyan College, Khandwa",Law College Campus,Civil Lines,Khandwa,Khandwa,450001,https://www.shiksha.com/college/sarvapalli-radhakrishnan-vyavsaik-addhyan-college-khandwa-114759,,
29761,Madhya Pradesh,"Govt. Shiksha College, Khandwa",SIHADA ROAD,NEAR GOVERNMENT POLYTECHNIC,KHANDWA,Khandwa,450001,https://khandwa.nic.in/en/public-utility-category/colleges/,0733-2222119; 0733-2248223; 0733-2248234; 0733-2245000; 0733-2222206; 0733-2244097; 0733-2248134,
29867,Madhya Pradesh,"M.L. Nehru Law College,Khandwa",Civil Lines Khandwa,Khandwa,Khandwa,Khandwa,450001,https://www.mnlawcollegekhandwa.org/,0733-2225577,motilal.nehlaw@gmail.com
29779,Madhya Pradesh,"S. Kishorlal Verma Memorial College, Pandhana, Dist Khandwa",Sai Nagar Diwal Road,Pandhana,Pandhana,Khandwa,450661,,,
29691,Madhya Pradesh,"Poonamchand Gupta Vocational College, Khandwa",POST BOX NO 33,CIVIL LINES KHANDWA,KHANDWA,Khandwa,450001,,,
29877,Madhya Pradesh,"Makhanlal Chaturvadi Govt. Girls College, Khandwa","Padawa, Indore Road",NA,Khandwa,Khandwa,450001,,,
29829,Madhya Pradesh,Govt. College New Harsud,"Sector no.5 , Near Police Station New harsud","Sector no.5 , Near Police Station New harsud",New Harsud,Khandwa,450116,,,
53647,Madhya Pradesh,"Sri Parashuram Institute of Technology and Research, Khandwa",SRI PARASHURAM INSTITUTE OF TECHNOLOGY AND RESEARCH,IN FRONT OF MISHRA HOSPITAL JAWAHARGANJ BADABUM,KHANDWA,Khandwa,450001,,,
29833,Madhya Pradesh,"St. Paul College, Khandwa",42/01 BHANDARIA ROAD KHANDWA,OPP WARCO CITY KHANDWA,KHANDWA 450001,Khandwa,450001,,,
53867,Madhya Pradesh,Government Music And Fine Arts College,"Shadeno.09 ,NVDA Compound",Harsood Road,Khandwa,Khandwa,450001,,,
31491,Madhya Pradesh,UNIQUE INSTITUTE OF PROFESSIONAL STUDIES KHANDWA,32 LOKNAYAK JAIPRAKASH NARAYAN WARD,BHANDARIA ROAD,KHANDWA,Khandwa,450001,,,
53927,Madhya Pradesh,KHANDWA INSTITUTE OF PROFESSIONAL STUDIES KHANDWA,BEHIND S N COLLEGE,KHANDWA AMRAVATI HIGHWAY JASWADI ROAD KHANDWA,KHANDWA,Khandwa,450001,,,
53887,Madhya Pradesh,Dalal Institute of IT and Management,"PADAWA , INDORE ROAD",OPP. HANUMAN MANDIR,KHANDWA,Khandwa,450001,,,
31423,Madhya Pradesh,"HI-TECH COMPUTER ACADEMY, KHANDWA",near saraswati shishu mandir,kallanganj,khandwa,Khandwa,450001,https://www.hcak.com,,
45271,Madhya Pradesh,"BHAGWANT RAO MANDALOI, COLLEGE OF AGRICULTURE, KHANDWA",Jaswadi Road,Khandwa (M.P.) 450001,Khandwa,Khandwa,450001,,,
36266,Madhya Pradesh,"Sri Dadaji Institute of Technology & Science, Rehmapur, Khandwa Dist. East Nimar-450001",At Rehmapur,Indore Road,Khandwa,Khandwa,450001,,,
29654,Madhya Pradesh,"Shree S.N Govt. P.G. College, Khandwa","Near Railway Overbridge, Civil Lines, Khandwa (M.P.) PIN - 450001",NA,Khandwa,Khandwa,450001,,,
1604,Madhya Pradesh,M.J.P. POLYTECHNIC COLLEGE KHANDWA,"PRINCIPAL, MJP GOVT POLYTECHNIC COLLEGE,","SIHADA ROAD,",KHANDWA,Khandwa,450001,,,
7191,Madhya Pradesh,CHRISTIAN BASIC TRAINING INSTITUTE KHANDWA,MISSON COMPOUnd,Ganesh Talai,KHANDWA,Khandwa,450001,,,
7210,Madhya Pradesh,DISTRICT INSTITUTE OF EDUCATION AND TRAINING KHANDWA,GOVT COLLEGE OF EDUCATION CAMPUS,SIHADA ROAD ANAND NAGAR,KHANDWA,Khandwa,450001,,,
