id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
29713,Madhya Pradesh,"Govt. College, Kasrawad","Indore road, near to arihant colony, kasrawad dist khargone m.p.",Govt. college kasrawad,kasrawad,Khargone,451228,https://govtpgcollegekhargone.org/,002122729,hegpgckhr@mp.gov.in
29784,Madhya Pradesh,"Govt. College, Barwaha",NARMADA ROAD,NA,BARWAHA,Khargone,451115,https://mybharat.gov.in/KnowledgeInstitutions/college/19/jawaharlal-nehru-government-degree-college-barwaha,002122729,
29711,Madhya Pradesh,"Swargiya Gulabbhai Yadav Smriti Shiksha College, Borawa",vidhya vihar,borawan tehsil-kasrawad,khargone,Khargone,451228,https://www.careers360.com/colleges/swargiya-gulab-bai-yadav-smriti-shiksha-mahavidyalaya-khargone,,
29745,Madhya Pradesh,"Shri Kanwartara Science & Commerce, Mandleshwar",shrinagar colony Gram Mardaniya,Tehsil : Maheshwar Dist : Khargone,mandleshwar,Khargone,451221,https://kanwartaraclg.com/,9669696249,
29661,Madhya Pradesh,"Shri Kanwartara Institute for Teachers Training, Mandleshwar","shri nagar colony ,mandleshwar",tehsil-maheshwar district-khargone,mandleshwar,Khargone,451221,https://kanwartaraclg.com/,9669696249,
29702,Madhya Pradesh,"Devi Rukmani College, Khargone",BISTAN ROAD KHARGONE,KHARGONE,KHARGONE,Khargone,451001,http://rukmanigroupkgn.org/DRSSK/,0782-241040; 9111024616; 002740041; 0782-233250,drhsskgn@gmail.com; drcollegekgn@gmail.com
29848,Madhya Pradesh,"Jawaharlal Nehru College, Khargone",Julwania Road,Sootmill Parisar Khargone,Khargone,Khargone,451001,https://emango.global/college/colleges/jawaharlal-nehru-college-technology-khargone,090907762; +91 9090907762; 9090907762,
29719,Madhya Pradesh,"Govt. Girls College, Khargone",TILAK PATH KHARGONE,TILAK PATH KHARGONE,KHARGONE,Khargone,451001,http://www.gdckhargone.org/,,heggckhr@mp.gov.in
29870,Madhya Pradesh,"Rahat College of Nursing, Khargone",GOURIDHAM COLONY,KHARGONE,KHARGONE,Khargone,451001,https://mynursingadmission.com/college/rahat-college-of-nursing-khargone/,,
47430,Madhya Pradesh,"Abhigyan Girls College, Sanawad, Khargone",270 pandit colony sanawad,dhakalgaon road sanawad,sanawad,Khargone,451111,https://www.justdial.com/Sanawad/Abhigyan-Girls-College-Sanawad-Near-Hanuman-Mandir-Khargone-Road/9999P7282-7282-181217121501-T6W4_BZDET,,
29774,Madhya Pradesh,"Shri Rewa Gurjar Bal Niketan College, Sanawad",Khargone Road,Near laprocy center,Sanawad,Khargone,451111,https://www.srgbnc.org/,,srg.college@gmail.com
29850,Madhya Pradesh,"Govt. College, Bhikangaon",amankhedi road,amankhedi road,bhikangaon,Khargone,451331,https://highereducation.mp.gov.in/?page=FBymqZMwiGvweZ3X1crIHA%3D%3D&orgid=257,,
29708,Madhya Pradesh,"Sardar Vallabh Bhai Patel College, Mandleshwar","Barwah Road, Mandleshwar","Barwah Road, Mandleshwar",Mandleshwar,Khargone,451221,https://www.justdial.com/Khargone/Sardar-Vallabh-Bhai-Patel-College-Mandleshwar/9999P7282-7282-170612164808-T6G6_BZDET,6264290466,svpcmdl@gmail.com
29880,Madhya Pradesh,"Govt. College, Sanawad",Chaandni Pura Punasa Road West Nimar Khargone,Chandni Pura Punasa Road West Nimar Khargone,Sanawad,Khargone,451111,https://khargone.nic.in/en/public-utility/government-college-sanawad/,07280233790,hegaaccsankhr@mp.gov.in
47880,Madhya Pradesh,"NARMADAÃ‚Â VALLEYÃ‚Â INSTITUTEÃ‚Â OF PROFESSIONAL STUDIES, BARWAHA","Maheshwar Road,",Barwaha,Barwaha,Khargone,451115,http://nvisbarwaha.in/,6263296966; +91 8450064714; 8450064714; +91 9826520067; +91 6263296966; 9826520067,
31100,Madhya Pradesh,"NIMAR INSTITUTE OF INFORMATION TECHNOLOGY & SCIENCE , KHARGONE",SOOT MILL PARISAR,JULWANIA ROAD,KHARGONE,Khargone,451001,,,
31482,Madhya Pradesh,MODAK INSTITUTE OF COMPUTER & MANAGEMENT KHARGONE,"FIRST FLOOR ,BAHETI TOWER","JAWAHAR MARG ,MAIN ROAD",KHARGONE,Khargone,451001,,,
53678,Madhya Pradesh,NICE COMPUTER EDUCATION,BISTAN ROAD,FRONT OF GOVT PG COLLEGE,KHARGONE,Khargone,451001,https://www.nce.ac.in,04635 256343,nceng@mhtrust.com
53795,Madhya Pradesh,PARAKH INSTITUTE OF PROFESSIONAL STUDIES,SUKHPURI KASRAWAD ROAD,NA,KHARGONE,Khargone,451001,,,
54125,Madhya Pradesh,SEVA BHARTI COMPUTER TRAINING CENTER,22 VIVEKANAND COLONY,NA,KHARGONE,Khargone,451001,https://sbctc.com,,
53799,Madhya Pradesh,GLOBAL INSTITUTE OF INFORMATION TECHNOLOGY,PASAND PROVISION JAWAHAR MARG,SANAWAD TEH BARWAHA DIST KHARGONE,SANAWAD,Khargone,451111,,,
29690,Madhya Pradesh,"Shri Umiya Girls College, Mandleshwar",Maheshwar Road,Mandleshwar,Mandleshwar,Khargone,451221,,,
47980,Madhya Pradesh,"UMIYA KANYA SHIKSHA MAHAVIDYALYA MANDLESHWAR, KHARGONE",maheshwar road,mandleshwar,mandleshwar,Khargone,451221,,,
29885,Madhya Pradesh,"Govt. P.G. College, Khargone",Bisatan Road,Khargone,Khargone,Khargone,451001,https://www.gpck.com,,
29663,Madhya Pradesh,"Govt. College, Mandleshwar",Govt. CollegeMandaleshwer,Govt. CollegeMandaleshwer,Madhya Pradesh,Khargone,451221,,,
7194,Madhya Pradesh,DEVI RUKMANI SHIKSHA TRAINING INSTITUTE KHARGAON,BISTAN ROAD KHARGONE,KHARGONE,KHARGONE,Khargone,451001,,,
1570,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE KHARGONE,Near TV Tower,Umarkhali Road,Khargone,Khargone,451001,,,
4722,Madhya Pradesh,SUBHISHI SCHOOL OF NURSING KHARGONE,"Subhishi Hospital Campus Diversion Road,","Gouridham,",Khargone,Khargone,451001,,,
