id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
33429,Madhya Pradesh,"Govt. J.M.C. Girls College, Mandla",SINGDWAHNI WARD MANDLA,SINGWAHNI WARD MANDLA,MANDLA,Mandla,481661,https://gjmcgirlscollegemandla.in/,07642252536,hegjcgcman@mp.gov.in
33372,Madhya Pradesh,"Govt. Degree College, Bamhin Banjar, Mandla",TIKRI TOLA,WARD NO.14,BAMHNI BANJAR,Mandla,481771,https://www.justdial.com/Mandla/Bamhni-Banjar-College-Bamhni-Banjar/9999P7642-7642-171206003530-X6R6_BZDET,07649-239226,cmobamhnibanjar@mpurban.gov.in
33459,Madhya Pradesh,"Govt. R.D.P.G. College, Mandla",Badi Khairi Mandla,Badi Khairi Mandla,Mandla,Mandla,481661,https://mandla.nic.in/en/public-utility/govt-r-d-p-g-college-mandla/,07642-250600,
33339,Madhya Pradesh,"Govt. Degree College, Nainpur, Mandla",NAINPUR,NAINPUR,NAINPUR,Mandla,481776,https://www.justdial.com/Mandla/Government-Degree-College-Nainpur/9999P7642-7642-130708143633-S1X1_BZDET,9993146174; 9424310405,
33403,Madhya Pradesh,"Govt. Degree College, Bhua Bichhiya, Mandla",NEAR NH12A BHUA BICHHIYA MANDLA,-,BHUABICHHIYA,Mandla,481995,https://study-india.org/33403-govt_degree_college_bhua_bichhiya_mandla.htm,,
47363,Madhya Pradesh,"SHRI SIDDHIVINAYAK ART COMMERS AND SCIENCE COLLEGE, BEJADANDI",Village & Gram Panchayat Bijadandi,Post Bijadandi,Mandla,Mandla,481666,https://www.siddhivinayakcollege.org/,000684169; 000684141,
54404,Madhya Pradesh,MICROLINE COMPUTER,NEAR SANT NIRANKARI BHAWAN,"BEHIND VISHAL DHABA, JABALPUR ROAD BINJHIYA",MANDLA,Mandla,481661,https://www.justdial.com/Mandla/Microline-Computer-Institute-Near-Sant-Nirankari-Bhavan-Behind-Vishal-Dhaba-Mandla-Road/9999P7642-7642-190420170057-G4X8_BZDET,,
31375,Madhya Pradesh,MCS- MAHAN COMPUTER SERVICE MANDLA,140 budhimai ward maharajpur,NA,mandla,Mandla,481661,https://study-india.org/31375-mcs_mahan_computer_service_mandla.htm,,
53961,Madhya Pradesh,GLOTECH COMPUTER CENTRE,"150/1, WARD NO.11, NEAR RLY CROSSING",BEHIND SINDHEE GURUDWARA,NAINPUR,Mandla,481776,https://www.justdial.com/Mandla/Glotech-Computer-Centre-Near-Railway-Crossing-Behind-Sindhee-Gurudwara-Nainpur/9999P7642-7642-240620161119-S3X2_BZDET,,
33457,Madhya Pradesh,"Govt. Arts College, Niwas, Mandla",Goverment College Niwas Distt Mandla,Jabalpur Road Niwas,Niwas,Mandla,481885,https://collegedunia.com/college/1447-government-arts-college-niwas-mandla,07642-248971,
31259,Madhya Pradesh,"NICE INSTITUTE OF COMPUTER EDUCATION , MANDLA",TILAK WARD,CIVIL LINES,MANDLA,Mandla,481661,https://www.justdial.com/Mandla/Nice-Institute-Of-Computer-Education-Near-Civil-Lines-Mandla-Jabalpur-Road/9999P7642-7642-230908214354-J7S5_BZDET,+91 9425163666; 9425163666,
53964,Madhya Pradesh,Z TO Z IT COMPUTER CENTER,BLOCK COLONY NIWARI,NEAR GOVT. DEGREE COLLEGE,NAINPUR,Mandla,481776,https://www.justdial.com/Mandla/Z-To-Z-It-Computer-Center-Near-Block-Colony-Niwari-Nainpur/9999P7642-7642-190628142102-U6X4_BZDET,,
31081,Madhya Pradesh,LCC COMPUTER EDUCATION MANDLA,INFRONT OF UTKRIST SCHOOL,TILAK WARD MANDLA,MANDLA,Mandla,481661,https://www.justdial.com/Mandla/Lcc-Computer-Education-Near-Collectriate-Mandla-Road/9999PX761-X761-110221152725-F3L9_BZDET,,student@agnirva.com
53714,Madhya Pradesh,Krishnarao Khot Management Technical College,RLY STATION ROAD,MAHARAJPUR,MANDLA,Mandla,481661,https://www.justdial.com/Mandla/Krishna-Rao-Khot-Management-And-Technology-Maharajpur/9999P7642-7642-171204215404-G1X7_BZDET,,
