id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31715,Madhya Pradesh,"Govt. Girls College, Mandsaur",Mhow-Neemuch Road,Mandsaur,Mandsaur,Mandsaur,458001,https://highereducation.mp.gov.in/?orgid=276,,
31673,Madhya Pradesh,"Jain College of Education, Mandsaur","RAJENDRA VIHAR, MHOW NEEMUCH ROAD",MANDSAUR (M.P.),MANDSAUR,Mandsaur,458001,,,
47243,Madhya Pradesh,"SRIJI INSTITUTE OF NURSING SCIENCE, MANDSAUR","Gram guradiya deda ,near rajwaniya ware house","Mahu neemuch road ,mandsaur",Mandsaur,Mandsaur,458001,,,
31716,Madhya Pradesh,"Mandsaur Institute of Science & Technology, Mandsaur","Mhow Neemuch By pass Road,SH-37 Mandsaur",Mhow Neemuch By pass Road SH-37 Mandsaur,Mandsaur,Mandsaur,458001,,,
31693,Madhya Pradesh,"Govt. College, Pipliyamandi",Manasa Road,PipliyaMandi,PipliyaMandi,Mandsaur,458664,https://www.gcp.ac.in,01704-223357,gcpaontasahib@gmail.com
31707,Madhya Pradesh,"Savita Devi Jaiswal College, Samgarh","JAISWAL KRISHI FARM,",MIDDLE SCHOOL ROAD.,SHAMGARH,Mandsaur,458883,,,
47234,Madhya Pradesh,"AKLAVYA PRERNA MAHAVIDYLAYA, MANDSAUR",Balaganj Mohalla,Suwasra,Suwasra,Mandsaur,458888,,,
50199,Madhya Pradesh,"GOVERNMENT COLLEGE, BHANPURA",subhas high school compaund bhanpura,subhas high school compaund bhanpura,bhanpura,Mandsaur,458775,https://www.gcb.com,,
31667,Madhya Pradesh,"Govt. S.N.Udia College, Mandsaur",Bhanpura Road,Bhanpura Road,Garoth,Mandsaur,458880,https://www.gscm.org,,
47241,Madhya Pradesh,"R B S INSTITUTE OF NURSING, NEEMUCH",harkiyakhal chowraha,mandsaur highway,neemuch,Mandsaur,458336,,,
31636,Madhya Pradesh,"Shri J.N.Law College, Mandsaur",Teerthankar Bhagwan Mahaveer Marg,Mandsaur,Mandsaur,Mandsaur,458001,https://www.sjcm.org,,
31679,Madhya Pradesh,"Safal College, Suswara, Mandsaur",Maruti Nagar,Suwasra,Suwasra,Mandsaur,458888,,,
31675,Madhya Pradesh,"Saraswati Education College, Mandsaur",Sanjit Marg Jaggaked Mandsaur,Sanjit Marg Jaggaked Mandsaur,Mandsaur,Mandsaur,458001,,,
31677,Madhya Pradesh,"H.C. College, Bhanpura",lotkhedi road bhanpura distt. mandsaur,bhanpura,bhanpura,Mandsaur,458775,,,
53053,Madhya Pradesh,"Govt. College, Mallahargarh",School of Excellence Premises,Near SDM Office,Malhargarh,Mandsaur,458339,https://www.gcm.co.in,,
50198,Madhya Pradesh,"SAINATH COLLEGE OF NURSING, BHAISODAMANDI","NARAYAN DASS PRESS, NEAR CENTRAL BANK",BHANPURA ROAD,BHENSODAMANDI,Mandsaur,458778,,,
53056,Madhya Pradesh,"Govt. College, Shamgarh",govt. boys middli school shamgarh,near govt. hospital shmagarh,shamgarh,Mandsaur,458883,https://www.gcs.ac.in,+91-8222099824; 8222099824; 01735297554; 8222899870,gcsbilaspur@gmail.com
31702,Madhya Pradesh,"Mandsaur Institute of Technology, Mandsaur",Rewas Dewda Road,By Pass,Mandsaur,Mandsaur,458001,,,
47240,Madhya Pradesh,"MIRACLES, MANDSAUR",YASH NAGAR,MAIN ROAD,MANDSAUR,Mandsaur,458001,,,
31606,Madhya Pradesh,"Late R.M.S.College of Education, Bhanpura",Jhalawar Road,Neemthur,Bhnapura,Mandsaur,458775,,,
31695,Madhya Pradesh,"Mandsaur Institute of Physical Education, Mandsaur","mit campus,rewas dewda road mandsaur 458001","mit campus,rewas dewda road mandsaur 458001",mandsaur,Mandsaur,458001,,,
52987,Madhya Pradesh,"Govt. College, Suwasra",Govt Excellence Higher Secondary School Campus,runija road,suwasara,Mandsaur,458888,,,
53062,Madhya Pradesh,"Sanskar Institute of Professional Studies, Daloda",DEEPAK COLONY,NA,DALODA,Mandsaur,458001,,,
31729,Madhya Pradesh,"Bhagvan Mahavir Education College Daloda, Mandsaur","Teacher colony , Dalouda","Teacher colony , Dalouda",Dalouda,Mandsaur,458001,,,
31654,Madhya Pradesh,"Jain Arts , Commerce & Science College, Mandsaur",Rajendra Vihar,Mhow Neemuch Road,Mandsaur,Mandsaur,458001,,,
31248,Madhya Pradesh,SUNRISE INSTITUTE OF COMPUTER EDUCATION MANDSAUR,"H.NO.42, INFRONT OF SHANTIRAJ","HOSPITAL,KARJUWALA COMPOUND, STATION ROAD,",Mandsaur,Mandsaur,458001,,,
53745,Madhya Pradesh,navya computer center,"mahatma gandhi road, gandhi chouraha",NA,pipliyamandi,Mandsaur,458664,https://www.ncc.org,,
54743,Madhya Pradesh,SARDAR PATEL INSTITUTE OF PROFFESSIONAL EDUCATION,BEHIND PATIDAR COMPUTER POINT,GAROTH,GAROTH,Mandsaur,458880,,,
53775,Madhya Pradesh,SUNRISE INSTITUTE OF PROFESSIONAL STUDIES,Mhow-Neemuch Road,NA,Mandsaur,Mandsaur,458001,,,
54744,Madhya Pradesh,vivekanand insitute of science and technology,Near BANK OF INDIA,GAROTH ROAD,BHANPURA,Mandsaur,458775,,,
53897,Madhya Pradesh,Mandsaur Infotech,Near Koutons,Gol Chouraha,Mandsaur,Mandsaur,458001,,,
31602,Madhya Pradesh,"Mandsaur Institute of Education, Mandsaur",MIT Campus Mhow Neemuch By Pass Road Sh-31,MIT Campus Mhow Neemuch By Pass Road Sh-31,Mandsaur,Mandsaur,458001,,,
47239,Madhya Pradesh,"MANDSAUR INSTITUTE OF AURVED EDUCATION, MANDSAUR",BRNCOP CAMPUS,B R NAHATA MARG,MANDSAUR,Mandsaur,458001,,,
31718,Madhya Pradesh,"Rajiv Gandhi PG Govt. College, Mandsaur","Mhow-Neemuch Road,",NA,Mandsaur,Mandsaur,458001,,,
31645,Madhya Pradesh,"Royal College of Edu. Bhesodamandi, Mandsaur",BHENSODA MANDI,TEH: BHANPURA,BHENSODA MANDI,Mandsaur,458778,,,
36261,Madhya Pradesh,"Dr. Shri R.M.S. Institute of Science & Technology College of Pharmacy, Bhanpura Dist - Mandsaur-458775",Neemthur Bhanpura,Bhanpura,Bhanpura,Mandsaur,458775,,,
36176,Madhya Pradesh,"B.R.Nahta College Of Pharmacy,P.Box No.6 Mhow Neemuch Rd.Mandsour-458001","B.R.Nahta College Of Pharmacy,P.Box No.6 Mhow Neemuch Rd.Mandsour-458001",NA,Mandsaur,Mandsaur,458001,,,
45272,Madhya Pradesh,"KNK COLLEGE OF HORTICULTURE, MANDSAUR",Sitamau,Mandsaur,Mandsaur,Mandsaur,548001,,,
31731,Madhya Pradesh,"Dr. Rawatmal Dhanroupmalji Sojatia College of Education, Bhanpura",Jhalawar Road,Neemthur,Bhanpura,Mandsaur,458775,,,
47245,Madhya Pradesh,"GOVERNMENT COLLEGE, SITAMAU",mandsour raod sitamau,mandsour raod sitamau,mandsaur,Mandsaur,458990,https://www.gcs.ac.in,+91-8222099824; 8222099824; 01735297554; 8222899870,gcsbilaspur@gmail.com
