id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34746,Madhya Pradesh,GOVT. PG COLLEGE,NEAR RAILWAY STATION,NA,MORENA,Morena,476001,https://www.gpc.com,,
34720,Madhya Pradesh,"SHIV SHANKAR COLLEGE , SUMAVALI",OOP.RAILWAY STATION SUMAOLI,TH. JOURA DISTT MORENA(M.P),MORENA,Morena,476221,,,
34768,Madhya Pradesh,SWAMI VIVEKANAND COLLEGE AMBAH,KHAJURI ROAD AMBAH,DISTT. MORENA,AMBAH,Morena,476111,https://svca.com,,
48088,Madhya Pradesh,"SWAMI VIVEKANAND SHIKSHA MAHAVIDYALYA, AMBAH",KHAZURI ROAD AMBAH MORENA,AMBAH MORENA (M.P.),MORENA,Morena,476111,,,
34933,Madhya Pradesh,PT. DEEN DAYAL UPADHYAY COLLEGE PORSA,SABZI MANDI ROAD,PORSA,PORSA,Morena,476115,https://www.pdducp.com,9919332588; 8894452983; 7379389395,Bbdgdc15@gmail.com
48079,Madhya Pradesh,"S B D KALA EVAM VIGYAN MAHAVIDYALYA, NAGRA, PORSA",NAGRA,PORSA,PORSA,Morena,476115,,,
34886,Madhya Pradesh,JAI HIND BISMIL COLLEGE AMBAH,Diversion Road,Ambah,Ambah,Morena,476111,,,
34804,Madhya Pradesh,JAI HIND BISMIL COLLEGE OF EDUCATION AMBAH,Diverson Road,Vill & Post Jaloni,Ambah,Morena,476111,,,
34705,Madhya Pradesh,T.S.S COLLEGE,GANESH PURA MORENA,GANESH PURA MORENA,MORENA,Morena,476001,https://www.tsscollege.com,,
48069,Madhya Pradesh,"B L MAHAVIDYALYA, JOURA ROAD",B.L.COLLEGE CITY OFFICE KESHAV COLONY MORENA(MP),"B.L.college-joura road,Morena (M.P.)",MORENA,Morena,476001,,,
34828,Madhya Pradesh,"RVS COLLEGE JOTAI ROAD, PORSA",JOTAI ROAD PORSA,JOTAI ROAD,PORSA,Morena,476115,,,
34751,Madhya Pradesh,SHIVAM COLLEGE PORSA,AMBAH ROAD PORSA,DISTT. MORENA,PORSA,Morena,476115,https://www.scp.ac.in,9997659007,campusmathura@sksgi.com
