id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
47366,Madhya Pradesh,PARAMHANS INSTITUE OF EDUCATION,"276, NIRANJAN WARD, KHERINAKA NARSINGHPUR",NARSINGHPUR,NARSINGHPUR,Narsimhapur,487001,,,
33430,Madhya Pradesh,"Govt. Girls College, Narsinghpur","Near Boastal Jail, Railway Satation Raod, Narsinghpur (m.p.)","Near Boastal Jail, Railway Satation Raod, Narsinghpur (m.p.)",Narsinghpur (m.p.),Narsimhapur,487001,,,
33454,Madhya Pradesh,"Mahatma Gandhi College, Kareli, Narsinghpur",Mahadev Ward Kareli,NA,Kareli,Narsimhapur,487221,,,
47368,Madhya Pradesh,"VINAYAK MAHAVIDHALAYA, GADARWARA",Near Reliance Petrol Pump,"In Front of Sani Mandir, Bodari Naka",Gadarwara Pin-487551,Narsimhapur,487551,https://www.vmg.org,,
33399,Madhya Pradesh,"Jagatguru Shankaracharya Arts & Commerce College, Shrinagar, Shridham",Villge & Post Srinagar Teh. Gotegaon,Dist. Narsinghpur,Villge Shrinagar,Narsimhapur,487118,,,
33371,Madhya Pradesh,"Govt. P.G. College , Gadarwara, Narsinghpur","JAGDEESH WARD,BY PASS ROAD GADARWARA",JAGEESH WARD BY PASS ROAD GADARWARA,GADARWARA,Narsimhapur,487551,,,
47408,Madhya Pradesh,"GOVERNMENT COLLEGE, SIHORA",Sihora (Bohani),Sihora (Bohani),Sihora (Bohani),Narsimhapur,487441,,,
33333,Madhya Pradesh,"Govt. P.G. College, Narsinghpur",Itwara Bazar,Civil Line Narsinghpur,Narsinghpur,Narsimhapur,487001,,,
31218,Madhya Pradesh,ALMA COMPUTER EDUCATION CENTRE GADARWARA,HOSPITAL ROAD,NEAR SBI BANK,GADARWARA,Narsimhapur,487551,,,
31211,Madhya Pradesh,JAI NARSINGH COMPUTER INSTITUTE KARELI,Above Bikaner Sweets,barmaan chowk,kareli,Narsimhapur,487221,,,
54407,Madhya Pradesh,Bright Career Institute Of Computer Narsinghpur,BAHRI ROAD SAKAL TIRAHA,KANDELI NARSINGHPUR,NARSINGHPUR,Narsimhapur,487001,,,
31444,Madhya Pradesh,GLOBAL IT PLANET NARSINGHPUR,OOP BORSTAL JAIL,STATION ROAD,NARSINGHPUR,Narsimhapur,487001,https://www.gipn.co.in,,
31392,Madhya Pradesh,BRIJLAL PRAJAPATI INSTITUTE OF COMPUTER EDUCATION KARELI,narsinghpur road,NAEAR JAIN MANIDIR,KARELI,Narsimhapur,487221,,,
53870,Madhya Pradesh,OCEAN COMPUTER EDUCATION,"BEHIND GOVT. P.G. COLLEGE, NEAR SHANI MANDIR","VIVEKANAND WARD, SAI DHAM COLONY",GADARWARA,Narsimhapur,487551,https://www.oce.edu.in,9076036329; 8691958401; 076036329,principal@oce.edu.in; enquiry@oce.edu.in
53767,Madhya Pradesh,Advance Courses of Computer Application,chirag House Jhirna Road Nehru Ward,NA,Narsinghpur,Narsimhapur,487001,,,
53960,Madhya Pradesh,r c education narsinghpur,"near gupta iron ,dhanary colony",kandeli,narsinghpur,Narsimhapur,487001,,,
54410,Madhya Pradesh,RC EDUCATION GOTEGAON,JABALPUR ROAD GOTEGAON,NA,NARSINGHPUR,Narsimhapur,487118,,,
53766,Madhya Pradesh,DPS INSTITUTE OF TECHNOLOGY,"Pakka House, Main Road",Bijasen Ward,Gadarwara,Narsimhapur,487551,,,
53909,Madhya Pradesh,NARSINGH IT TECH COMPUTER OF COLLEGE,C/O NARSINGH PUBLIC SCHOOL,HOUSING BOARD COLONY SAI NAGAR,NARSINGHPUR,Narsimhapur,487001,,,
31467,Madhya Pradesh,SARA COMPUTER EDUCATION GADARWARA,Tilak Bhavan,"Near SBI, Hanuman Ward",Gadarwara,Narsimhapur,487551,,,
54748,Madhya Pradesh,SARASWATI ACADEMY OF COMPUTER SCIENCE AND APPLICATION NARSINGHPUR,BEHIND SADAR MADIYA SAHU KA BAGICHA,GALI NO 09 SHASTRI WARD,NARSINGHPUR,Narsimhapur,487001,,,
53924,Madhya Pradesh,SARASWATI ACADEMY OF COMPUTER SCIENCE AND TECHNOLOGY GOTEGAON,DEO MURLIDHAR WARD,MAIN ROAD GOTEGAON,NARSINGHPUR,Narsimhapur,487118,https://www.tribal.mp.gov.in/CMS/Uploaded%20Document/Schemes/Institute_Nodal%20Mapping%20by%20Line%20Department%20Dated%2028_12_2023.pdf,,
53837,Madhya Pradesh,PC COMPUTER CENTRE,"ABOVE BANK OF BARODA, BAHRI ROAD, KANDELI",NARSINGHPUR,NARSINGHPUR,Narsimhapur,487001,https://www.justdial.com/Narsinghpur/Computer-Repair-Services/nct-10890482,9992333874; +91-9992333874; 9992333683; +91-9992333683,
53892,Madhya Pradesh,GIT COMPUTERS,BARMAN CHOUCK,IMALIYA ROAD,KARELI,Narsimhapur,487221,https://www.justdial.com/Narsinghpur/Git-Computers-Center-Kareli/9999P7792-7792-171129152903-H5W5_BZDET,,
54127,Madhya Pradesh,rajradha academy,"H. NO.- 40, KOTHARI NIWAS","SATRANJ BAVAN, TILAK WARD, NARSINGHPUR",NARSINGHPUR,Narsimhapur,487001,https://chavaravidyapeeth.edu.in/,07792299349,cvp_n@rediffmail.com
33456,Madhya Pradesh,"Govt. T.N.S. College, Gotegaon, Narsinghpur",0,0,0,Narsimhapur,487118,https://narsinghpur.nic.in/en/public-utility/govt-thakur-niranjan-singh-college-gotegaon/,07794282336,hegtnscgotnar-mp@mail.nic.in
54126,Madhya Pradesh,Thakur Niranjan Singh Institute Of Computer Science and Technology,PLOT NO.5 RAM COLONY,BELAPURKAR WARD KANDELI,NARSINGHPUR,Narsimhapur,487001,https://narsinghpur.nic.in/en/public-utility/govt-thakur-niranjan-singh-college-gotegaon/,07794282336,hegtnscgotnar-mp@mail.nic.in
53819,Madhya Pradesh,BRIGHT CAREER COMPUTER CENTER,NEAR SWETAMBER JAIN MANDIR,ALKA TALKIES ROAD JAI PRAKASH WARD,KARELI,Narsimhapur,487221,https://study-india.org/54407-bright_career_institute_of_computer_narsinghpur.htm,,
31329,Madhya Pradesh,KCE INSTITUTE OF PROFESSIONALS NARSINGHPUR,"RAM WARD, SUNKA SQUARE",KANDELI,NARSINGPUR,Narsimhapur,487001,https://www.facebook.com/kcensp/,,student@agnirva.com; kcenarsinghpur@rediffmail.com
33392,Madhya Pradesh,"Sant Moni Sarvodaya Girls College, Tendukheda, Narsinghpur",Near Bus Stand,"Tendukheda, Sagoni",Dist Narsinghpur,Narsimhapur,487337,https://narsinghpur.nic.in/en/public-utility/santmoni-sarvodaya-collegetendukheda/,07791252604,santmoni.tend@gmail.com
33448,Madhya Pradesh,"S.S.N. Mushran Institute of Management & Technology, Narsinghpur",POLICE LINES,STATION ROAD,NARSINGHPUR-487001,Narsimhapur,487001,https://ssnmimteducation.org/contact_us,,mimtnarsinghpur@gmail.com
33487,Madhya Pradesh,"Shriniwas Rao N.E.S. College Barman, Narsinghpur",REST HOUSE ROAD,AT POST BARMAN,KARELI,Narsimhapur,487330,https://www.justdial.com/Narsinghpur/Shriniwasrao-Telang-N-E-S-College-Barman/9999P7792-7792-190403184442-Y4G7_BZDET,+91 9639549675; 9639549675,
