id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31711,Madhya Pradesh,"Dr. Radha Krishna College, Neemuch",88 Teacher Colony,NA,Neemuch,Neemuch,458441,https://www.justdial.com/Neemuch/Dr-Radhakrishnan-College-Teachers-Colony/9999P7423-7423-120913151506-W2P7_BZDET,,
31708,Madhya Pradesh,"Govt. R.V.College, Manasa",Manasa-Neemuch road,0,Manasa,Neemuch,458110,https://neemuch.nic.in/en/public-utility/r-v-college-manasa/,07421-242089,hegrvcmannee@mp.gov.in
31629,Madhya Pradesh,"Balkavi Bairagee Education College, Neemuch","NH-79, Mhow-Nasirabad Road","Gram Kanawati, Teh. & Distt. Neemuch (MP)",Neemuch,Neemuch,458441,https://www.shiksha.com/college/balkavi-bairagee-education-college-neemuch-202311/course-b-a-b-ed-961569,+91 9639549675; 9639549675,
31736,Madhya Pradesh,"Balkavi Bairagee College, Kanawati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh & Distt. Neemuch (MP)",Neemuch,Neemuch,458441,https://www.justdial.com/Neemuch/Balkavi-Bairagee-College-Kanawati/9999P7423-7423-170926034630-W3A5_BZDET,,
31749,Madhya Pradesh,"Gyanoday Institute of Mangt & Technology, Kanawati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh- & Distt. Neemuch (MP)",Neemuch,Neemuch,458441,https://gyanodayauniversity.ac.in/,+91 9827550959; 9827550959,gyanodayauniversity@gmail.com
35997,Madhya Pradesh,"Gyanodyaya Institute of Professional Studies, Gram Kanwati Tehsil-District Neemuch (M.P.)",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh. & Distt. Neemuch (MP)",Neemuch,Neemuch,458441,https://gyanodayanmh.in/,9993341134; 07423-297509; 9907457573; 9827550959,gyanodayanmh@gmail.com
31692,Madhya Pradesh,"Gyanoday Institute of Nursing Kanavati, Neemuch",NH-79 Mhow-Nasirabad,"Gram Kanawati, Teh.- Neemuch",Neemuch,Neemuch,458441,https://gyanodayanmh.in/,9993341134; 07423-297509; 9907457573; 9827550959,gyanodayanmh@gmail.com
31682,Madhya Pradesh,"Arawali Mang. & Computer College,Neemuch","32 , Shastri Nagar",Neemuch ( M.P.),Neemuch M.P.,Neemuch,458441,https://vksgmcmp.edu.in/,001805522,deangmcneemuch@gmail.com
31637,Madhya Pradesh,"Gyan Mandir College, Neemuch",Gyan Marg,Near Rajendra Prasad Stadiam,Neemuch,Neemuch,458441,https://gyanmandirnmh.com/,07423-403263; 07423 220274,gmcneemuch@rediffmail.com
31646,Madhya Pradesh,"Govt. Mahatma Gandhi College, Jawad","Neemuch Road, Jawad","Neemuch Road, Jawad",Jawad,Neemuch,458330,https://neemuch.nic.in/en/public-utility/mahatma-gandhi-college-jawad/,07420-232356,hegmgcjawnee@mp.gov.in
