id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
6613,Madhya Pradesh,"Government Sanskrit College, Devendra Nagar, Panna",village & post Devendra nagar,distt. panna,Devendra Nagar,Panna,488333,https://panna.nic.in/en/public-utility/govt-sanskrit-college-devendranagar/,07732-272283,hegsandevpan@mp.gov.in
19173,Madhya Pradesh,"Govt. Degree College, Devendranagar","Govt. Degree College, Devendranagar",Panna Satna Road,Devendra nagar,Panna,488333,https://www.highereducation.mp.gov.in/,,
19152,Madhya Pradesh,"Vaishnav Mata Vidhi Mahavidyalaya, Panna",Civil line road infront of old power house,agra mohalla panna (m.p.),panna,Panna,488001,http://www.vmsspanna.in/,7000687083; 000687083; +91-7000687083,ankurtrivedi99panna@gmail.com
19183,Madhya Pradesh,"Govt. Chhatarasal P.G. College, Panna",NEAR BUS STAND,NA,PANNA,Panna,488001,https://mybharat.gov.in/KnowledgeInstitutions/College/19/chhatrasal-govt-pg-college-panna,002122729,
19257,Madhya Pradesh,"Chhatrasal Edu. College, Devendranagar, Panna","socity mandi road,Devendranagar",Devendranagar,Devendranagar,Panna,488001,https://panna.nic.in/en/public-utility/chhatrasal-education-college-devendranagar/,9893992550,arifpanna@gmail.com
19237,Madhya Pradesh,"Vidyasagar College Devendranagar, Panna",SALEHA ROAD DEVENDRANAGAR,NA,DEVENDRANAGAR,Panna,488333,https://admission.collegeindia.in/41789-vidya-sagar-college-vsc-panna/courses-fees,07732-272247,
19222,Madhya Pradesh,"Govt. Degree College, Amanganj",principal govt. college amanganj,NA,amanganj,Panna,488441,https://panna.nic.in/en/public-utility/govt-college-amanganj/,07731-260276,hegamanpan@mp.gov.in
19149,Madhya Pradesh,"Govt. Girls College, Panna",BADA BAZAR PANNA,PANNA,PANNA,Panna,488001,http://www.mphighereducation.nic.in/,07732-253941; 9977903735; 07732-253115; 9425168285; 9993038621; 07732-250647; 07733-282231; 07733-299246; 07732-252538; 07732-272283,
19266,Madhya Pradesh,Govt. Degree College Ajaygarh,ajaigarh,ajaigarh,ajaigarh,Panna,488220,https://panna.nic.in/en/public-utility/govt-college-ajaygarh/,07730-278724,hegajaypan@mp.gov.in
53674,Madhya Pradesh,VAISHNAV MATA INSTITUTE PANNA (M.P.),OLD POWER HOUSE CHOWK CIVIL LINE ROAD PANNA,OLD POWER HOUSE CHOWK CIVIL LINE ROAD PANNA,PANNA,Panna,488001,https://panna.nic.in/en/public-utility-category/colleges/page/3/,07732-250001; 07732-254002; 6266230969; 07730-278786; 9826375973; 7898163612; 07731-260031; 07732-252020; 07732-252277,
53618,Madhya Pradesh,Vaishnav Mata Vidhi Mahavidhyalay Panna (M.P.),Civil line road infront of old power house,Agra Mohalla panna (M.P.),PANNA,Panna,488001,https://www.justdial.com/Panna/Vaishnav-Mata-Mahavidyalaya-Old-Power-House-Chowk-Benisagar-Mohalla/9999PXXXX-XXXX-110416221756-R5J4_BZDET,7000687083; 000687083; +91-7000687083,ankurtrivedi99panna@gmail.com
53771,Madhya Pradesh,NISHA MEMORIAL INSTITUTE FOR COMPUTER EDUCATION,NEAR REST HOUSE,WARD NO 5,AMANGANJ,Panna,488441,https://www.justdial.com/Panna/Nisha-Memorial-Institute-For-Computer-Education-Near-Rest-House-Amangang/9999P7732-7732-230908213558-S4C9_BZDET,07731-260031,nmice2011@gmail.com
