id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
35196,Madhya Pradesh,"Govt. College, Silwani Raisen",GOVT.COLLEGE SILWANI,GOVT.COLLEGE SILWANI,SILWANI,Raisen,464886,https://study-india.org/35196-govt_college_silwani_raisen.htm,,collegesilwani@yahoo.com
47992,Madhya Pradesh,RAJA BHOJ GOVERNMENT COLLEGE MANDIDEEP,Satlapur,Near P & G Factory,Mandideep,Raisen,462046,,,
35107,Madhya Pradesh,"Govt. Girls College, Raisen","Dashhera Maidan , Sagar Road Raisen",NA,Raisen,Raisen,464551,,,
48230,Madhya Pradesh,"GOVERNMENT COLLEGE, LATERI",principal govt.college gopitalai lateri dist.vidisha m.p.,principal govt.college gopitalai lateri dist.vidisha m.p.,Lateri,Raisen,464114,,,
35162,Madhya Pradesh,"D.C.A.B. College, Obdullahganj, Raisen","506/2/1 NH12 Hoshangabad Road Bishankheda, Obaidullaganj","506/2/1 NH12 Hoshangabad Road Bishankheda, Obaidullaganj",Obaidullaganj,Raisen,464993,,,
50421,Madhya Pradesh,"ACHIEVER'S COLLEGE OF MANAGEMENT & SCIENCE, BARI",N.H 12 NEAR OF BALAJI TEMPEL DAM ROAD BARI,TEHSIL-BARI,BARI,Raisen,464665,,,
35290,Madhya Pradesh,"Guru Kripa College, Bareli, Raisen",WARD NO 7,NAHAR COLONY,BARELI,Raisen,464668,,,
35336,Madhya Pradesh,"Presidency College, Raisen",near dushhera maidan,behind central school,raisen,Raisen,464551,https://pcr.org,,
35150,Madhya Pradesh,"Govt. College, Ghairatganj, Raisen","Govt. College Gairatgaj , Rasien",Bhopal Sagar Road,Gairatganj,Raisen,464884,https://www.gcgr.com,,
35281,Madhya Pradesh,"Princeton College, Bareli, Raisen",Chainpur Road,NA,Bareli,Raisen,464668,,,
47990,Madhya Pradesh,"ARYA BHATT COLLEGE OF TECHNOLOGY, UDAIPURA",J J ROAD,NH-12,UDAIPURA,Raisen,464770,,,
48001,Madhya Pradesh,"MAA SARDA COLLEGE, SELWANI",ward 15 udaypura road silwani,silwani,raisen,Raisen,464886,https://www.mscs.com,,
48002,Madhya Pradesh,PRISTEN COLLEGE SELWANI,WARD NO. 11 NEAR KGB BANK BHOPAL ROAD SILWANI,NA,SILWANI,Raisen,464886,,,
53390,Madhya Pradesh,princetoncollegeudaipura,WARD NO 05,LODHIPURA,UDAIPURA,Raisen,464770,,,
50424,Madhya Pradesh,"ADARSH COLLEGE, GAIRATGANJ","TOPA COLONY, GAHURAS RAOD GAIRATGANJ","TOPA COLONY, GAHURAS RAOD GAIRATGANJ",GAIRATGANJ,Raisen,464884,,,
