id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
35378,Madhya Pradesh,"Govt. College, Pachore, Rajgarh",Padampura Road Pachore,NA,Pachore,Rajgarh,465683,https://s302e74f10e0327ad868d138f2b4fdd6f0.s3waas.gov.in/public-utility/govt-degree-college-pachore/,,hevsgcpacraj@mp.gov.in
35353,Madhya Pradesh,"Govt. P.G. College, Biowara, Rajgarh",RAJGARH ROAD BIAORA,BIAORA,BIAORA,Rajgarh,465674,https://s302e74f10e0327ad868d138f2b4fdd6f0.s3waas.gov.in/public-utility/govt-degree-college-biaora/,,hensbgcbioraj@mp.gov.in
35250,Madhya Pradesh,"Govt. College, Sarangpur, Rajgarh",Taleni A.B. Road,sarangpur,sarangpur,Rajgarh,465697,https://rajgarh.nic.in/en/public-utility/govt-college-sarangpur/,07372-255023; 07372-255025; 07372-255067,hegsvcsarraj@mp.gov.in
35108,Madhya Pradesh,"Govt. College, Narshingarh, Rajgarh",GOVT.P.G.COLLEGE NARSINGHGARH,NA,NARSINGHGARH,Rajgarh,465669,https://www.highereducation.mp.gov.in/?page=3ReniKuyIMmDd4opO%2FkIdA%3D%3D,,
35210,Madhya Pradesh,"Govt. College, Zirapur, Rajgarh",pachor road zirapur,pachor road zirapur,zirapur,Rajgarh,465691,https://s302e74f10e0327ad868d138f2b4fdd6f0.s3waas.gov.in/public-utility/govt-college-zirapur/,,hegcjeeraj@mp.gov.in
48756,Madhya Pradesh,"PRAGYA SAGAR COLLEGE, PACHORE","Shujalpur Road, Pachore",Tehsil-Pachore,Pachore,Rajgarh,465683,https://pragyasagar.ac.in/,9303386009,pragyasagarpachore@gmail.com
53692,Madhya Pradesh,CHRIST COLLEGE (B. ED. ),"NH-12, KACHNARIYA",BHOPAL BYPASS ROAD,BIAORA,Rajgarh,465674,https://collegedunia.com/college/20059-christ-college-biaoro-rajgarh,9425021625,
35253,Madhya Pradesh,"Anand Excellence of Information Technology, Ramlala Marg Biowra, Rajgarh",Ramlala Marg,"bhanwarganj,biaora",Biaora,Rajgarh,465674,https://www.bubhopal.ac.in/Site/Upload/707f81f7-02fa-455d-9328-385823b6e1f0.pdf,0755-2764577; 0755-2551544; 0755-2512190; 0755-2441033; 0755-2578561; 0755-2551131; 0755-2441181; 0755-2512284; 9425030344; 0755-2551098; 0755-2762833; 0755-2557052; 0755-2441096,rcs.icdp@mp.gov.in; vishvassarang@gmail.com; rcs.consumer@mp.gov.in; rcs.rti@mp.gov.in; rcs.audit@mp.gov.in; rcs.legal@mp.gov.in; rcs.housing@mp.gov..in; rcs.budget@mp.gov.in; pscoop.mp@mp.gov.in; rcs.election@mp.gov.in; cs@mp.gov.in; rcs.admin@mp.gov.in; rcs.bill@mp.gov.in; rcs.ecooperatives@mp.gov.in; uscoop.mp@mp.gov.in; rca.navachar@mp.gov.in; manojk.sinha@mp.gov.in; rcs.establishment@mp.gov.in; rcs.coordination@mp.gov.in; rcs.urban@mp.gov.in; rcs.navachar@mp.gov.in; rcs.housing@mp.gov.in; rcs.marketing@mp.gov.in; rcs.administration@mp.gov.in; rcs.credit@mp.gov.in; rcs.cmhelpline@mp.gov.in; rcs.misc@mp.gov..in; rcs.liqui@mp.gov.in; rcs.mp.bhopal@mp.gov.in; rcs.edutrain@mp.gov.in
53619,Madhya Pradesh,SARDAR PATEL SHIKSHA MAHAVIDYALAYA BIGNODIPURA,"bhalla medical ,a.b. road sarangpur",NA,sarangpur,Rajgarh,465687,https://www.careers360.com/colleges/sardar-patel-shiksha-mahavidyalaya-sarangpur,,
48755,Madhya Pradesh,"SBS COLLEGE, TALEN",SHUJALPUR ROAD TALEN,NA,TALEN,Rajgarh,465680,https://www.shiksha.com/college/s-b-s-college-madhya-pradesh-other-129957,07372-255023; 07372-255025; 07372-255067,
