id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
32599,Madhya Pradesh,"Royal Institute of Manag.& Advance Stu., Ratlam",GRAM MANGROLE,MHOW NEEMUCH ROAD,RATLAM,Ratlam,457001,,,
36002,Madhya Pradesh,"Royal Institute of Management and Advanced Studies, Behind Land Mark Motors, Gram Salakhedi & Kharakhedi, Ratlam - 457001",BEHIND LAND MARK MOTORS,GRAM SALAKHEDI & KHARAKHEDI,RATLAM,Ratlam,457001,,,
32601,Madhya Pradesh,"Govt. College, Kalukheda",Amar shahid narendra shingh Chandrawat H.S School Kalukheda,Amar shahid narendra shingh Chandrawat H.S School Kalukheda,Kalukheda,Ratlam,457340,,,
52940,Madhya Pradesh,ROYAL COLLEGE OF TECHNOLOGY,Gram Mangrol,Mhow Neemuch Road,Ratlam,Ratlam,457001,,,
36038,Madhya Pradesh,"Srajan Institute of Technology Management & Science, Jaora Road, Ratlam",R.T.O OFFICE RATLAM,R.T.O OFFICE RATLAM,RATLAM,Ratlam,457001,,,
35984,Madhya Pradesh,"Shree Sai Institute of Technology, Jaora Road, Ratlam 45700",Near RTO office Jaora Road Ratlam,NA,Ratlam,Ratlam,457001,,,
32605,Madhya Pradesh,"Shri Saai Institute of Tech.New R.T.O.Office, Jaora Road, Ratlam","Jaora Road,","Near RTO Office,",Ratlam,Ratlam,457001,,,
32608,Madhya Pradesh,"Shaheed Narandra Singh College, Jaora","Banna kheda road,jaora","dist-Ratlam,M.P.",JAORA,Ratlam,457226,,,
32603,Madhya Pradesh,"Govt. College, Alot","Govt. College, Alot Distt. Ratlam",Govt. College Station Road,Alot Distt. Ratlam,Ratlam,457114,https://www.gca.org,,GCA_China@gca.org
32610,Madhya Pradesh,"Govt. Girls College, Ratlam",Do Batti,Near Police Station,Ratlam,Ratlam,457001,https://www.ggcr.org,,speleo.ggcr@gmail.com
32614,Madhya Pradesh,"Shaheed Narandra Singh Education College, Jaora","banna kheda road,jaora",dist-ratlam M.P.,jaora,Ratlam,457226,,,
32606,Madhya Pradesh,"Govt. Arts & Science College, Ratlam",College Road,NA,Ratlam,Ratlam,457001,,,
33030,Madhya Pradesh,"Sangeet Mahavidyalaya,Gujrati Samaj, Ratlam-457001",New Road,NA,RATLAM,Ratlam,457001,,,
32616,Madhya Pradesh,"Swami Vivekanand Govt. Commerce College, Ratlam",Viriya Khedi,NA,Ratlam,Ratlam,457001,,,
47235,Madhya Pradesh,"ARIHANT COLLEGE OF PROFESSIONAL EDUCATION, SAILANA","51/1/2, Barbad, Sailana Road, Near Aaro Ashram",NA,Ratlam,Ratlam,457001,,,
32613,Madhya Pradesh,"Govt. College, Sailana",Govt. college Sailana Dist.Ratlam,Dist.Ratlam m.p.,Sailana,Ratlam,457550,https://www.gcs.ac.in,+91-8222099824; 01735297554; 8222099824; 8222899870,gcsbilaspur@gmail.com
31681,Madhya Pradesh,"Guru Harkishan College of Education, Ratlam.",khasra & Plot No. 51/8 Street Sailana Road,"Vill - Barbad P.O. Banjali, Teh. + Town Ratlam",RATLAM,Ratlam,457001,,,
32598,Madhya Pradesh,"Shanti NiketanInstitute of Technology, Ratlam","16, Buddeshwar Road, Tata nagar, Ratlam","16, Buddeshwar Road, Tata nagar, Ratlam",Ratlam,Ratlam,457001,https://www.snotr.com,,team@serpnames.com
32612,Madhya Pradesh,"Yogindra Sagar Institute of Tech & Sc.Dharad, Ratlam",Campus: Mhow-Neemuch Road,Village-Dharad,Ratlam,Ratlam,457441,,,
32607,Madhya Pradesh,"Shivang College of Physiothereaphy, Ratlam",474 katju Nagar,474 katju nagar,Ratlam,Ratlam,457001,https://www.scopr.com,,
53076,Madhya Pradesh,"Maruti College of Professional Studies, Ratlam",VILLAGE LOCHITARA,SATRUNDA,RATLAM,Ratlam,457001,,,
48290,Madhya Pradesh,Dr M B SHARMA NURSING COLLEGE,"BANJALI, SAILANA ROAD RATLAM","BANJALI, SAILANA ROAD RATLAM",RATLAM,Ratlam,457001,,,
