id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31828,Madhya Pradesh,J.P.COLLEGE OF EDUCATION JP NAGAR REWA,J.P. Nagar,Naubasta,Rewa,Rewa,486450,,,
31892,Madhya Pradesh,PANTIUM POINT TACHQUNICAL COLLEG REWA,"BESIDES SHRAK IN RESTAURANT, SEMARIYA ROAD, KARAHIYA REWA","IN FRONT OF RADIO COLONY, HEDGEWAR NAGAR, REWA",REWA,Rewa,486001,,,
50376,Madhya Pradesh,"TATA B.ED. COLLEGE, SAGRA, REWA","Vill-Sagra, post-Sagra",Teh-Hujur,Rewa,Rewa,486001,https://www.tbcsr.org,,
31827,Madhya Pradesh,"REWA INSTITUT OF TECNOLOGY RATAHARA,REWA",NH-7 ALLAHABAD ROAD RATAHARA REWA M.P. REWA,NH-7 ALLAHABAD RAOD RATAHARA REWA M.P. REWA,REWA,Rewa,486001,,,
31848,Madhya Pradesh,T.D. STUDY COLLEGE CHAKGHAT DISST. REWA,"BAGHEDI CHAURAHA, SATPURA ROAD",CHAKGHAT,REWA,Rewa,486226,,,
31859,Madhya Pradesh,"REWA COLLEGE OF EDUCATION RATAHRA, REWA",NH-7 Allahabad Road Ratahara Rewa (M.P.),NH-7 Allahabad Road Ratahara Rewa (M.P.),Rewa,Rewa,486001,,,
50386,Madhya Pradesh,"MAHARANA PRATAP COLLEGE, URRAHAT, REWA",BEHIND VISHAL COMPUTER URRHAT REWA,NA,Rewa,Rewa,486001,,,
6605,Madhya Pradesh,"Government Venkat Sanskrit College, Rewa",JAGANNATH MANDIR,CAMPUS BICHHIYA,REWA,Rewa,486001,,,
36178,Madhya Pradesh,"""Rewa College of Pharmacy, NH 7, Allahabad Road, Rathiri, Rewa-486001""","NH - 7 Allahabad Road Ratahara, Rewa M.P.","NH - 7 Allahabad Road Ratahara, Rewa M.P",Rewa,Rewa,486001,,,
31855,Madhya Pradesh,T.D.SHIKSHA COLLEGE INDRANAGAR REWA,SIRMAUR ROAD LAKSHAMANPUR REWA M.P.,LAKSHAMANPUR,REWA,Rewa,486440,,,
