id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
19156,Madhya Pradesh,"Govt. Girls Degree College., Bina","khimlasha road,","near Tehsil Office,",BINA,Sagar,470113,https://highereducation.mp.gov.in/?page=3ReniKuyIMmDd4opO%2FkIdA%3D%3D,,
19168,Madhya Pradesh,"Infinity Mgt. and Engg. College, Sagar",Pathariya Jat,University Road,Sagar,Sagar,470028,http://infinitycollege.in/,,
19121,Madhya Pradesh,"Gynodaya Mahavidyalaya, Jaisinagar",Main Road,NA,"Jaisinagar,Sagar",Sagar,470125,https://www.gyanodayacollege.com/,07584-290388,gyanodayacollegeofeducation.college@gmail.com
19283,Madhya Pradesh,Mahadeo Coll. Kashle,Main Road,Kesli,Kesli,Sagar,470235,https://www.justdial.com/Sagar/Mahadeo-College-Kashle-Kesli/9999P7582-7582-230908215251-Q8C8_BZDET,,pt.mahadevcollegekesli@rediffmail.com
19271,Madhya Pradesh,"Govt. Degree College, Rahatgarh",WARD NO. 1 NEAR BLOCK COLONY RAHATGARH,WARD NO. 1 NEAR BLOCK COLONY RAHATGARH,RAHATGARH,Sagar,470119,https://mphighereducation.nic.in/InstitutePortal/Public/Institute_Notices.aspx?InstId=NTI0,+91 9639549675; 9639549675,
19136,Madhya Pradesh,"Govt. P.G College, Deori","CIVIL LINE,",NEAR POLICE STATION,DEORI,Sagar,470226,http://www.mphighereducation.nic.in/npgdeori,,
19194,Madhya Pradesh,"Shri V.D.M. College, Khurai",Killa College Pathar Khurai,Killa College Pathar Khurai,Khurai,Sagar,470117,https://www.careerindia.com/colleges/shri-v-d-m-college-khurai-sagar-madhya-pradesh-cp1916/,7838597250,student@agnirva.com; education@oneindia.co.in
19220,Madhya Pradesh,S.S.H.C. Jain Inst. of Mgt. and Research Centre Sagar,NEAR M.P.E.B. COLONY,N.H.26 NARSINGHPUR ROAD MAKRONIYA SAGAR,SAGAR,Sagar,470004,https://www.justdial.com/Sagar/SSHC-Jain-Institute-Of-Management-Research-Centre-Behind-Mpeb-Colony-Sagar-Makronia-Camp/9999P7582-7582-140418161619-B5D5_BZDET,,sshcimr@gmail.com
35943,Madhya Pradesh,"Gyan Sagar College of Engineering, Village Seronja, Tehsil & District Sagar",NH 26 Narsinghpur Road,Vill Sironja Tehsil & District Sagar,Sagar,Sagar,470028,http://gsce.edu.in/,9752498471; 9752425537; +91 9752425537; +91 9425171258; 7582281336; +91 9752498471; 9425171258,
19174,Madhya Pradesh,"Govt. College, Dhana","Govt.College,Dhana",As above,Dhana,Sagar,470228,https://www.gcd.org,,sengoku@gcd.org
6620,Madhya Pradesh,"Shri Ganesh Digembar Jain Sanskrit College, Varni Bhawan, Sagar",shri varni bhawan,laxmi pura,sagar,Sagar,470002,,,
36130,Madhya Pradesh,"Sagar Institute of Pharmaceutical Sciences, Sironja, Infront of Jubilee Petrol Pump, NH-26, Narsinghpur Road, Sagar-470004",Infront of Jubilee Petrol Pump,NH- 26 Narsinghpur Road Sironja Sagar,SAGAR,Sagar,470228,,,
19192,Madhya Pradesh,"Govt. Rajeev Gandhi College, Banda",Ward Number 11,Bandri Road,Banda,Sagar,470335,,,
36128,Madhya Pradesh,"Vedic Institute of Pharmaceutical Education and Research, University Bamhori, Tigadda, Link Road, Bahupura, Sagar - 470003",NEAR BAMHORI TIRAHA REHLI ROAD,BABUPURA,SAGAR,Sagar,470228,,,
54143,Madhya Pradesh,DEEPAK MUSIC and ARTS COLLEGE,ANAND NAGAR GALI NO 3,RAJAKHEDI MACRONIYA,SAGAR,Sagar,470004,https://www.dmaac.com,,
31178,Madhya Pradesh,COMPUTER.NET SAGAR,ADARSH NAGAR BEHIND MANJEET DABHA,RAJAKHEDI MAKRONIYA,SAGAR,Sagar,470004,https://www.cs.org,,
53931,Madhya Pradesh,AGRABHAN INSTITUTE OF EXCELLENCE,"BANGALI KALI TIRAHA, M.L.B. SCHOOL ROAD",GOPAL GANJ,SAGAR,Sagar,470001,,,
19285,Madhya Pradesh,"Thakur Feran Singh Arts and Comm. Degree College, Shahpur",shahpur,shahpur,sagar,Sagar,470669,,,
36224,Madhya Pradesh,"Indira Gandhi Engineering College, Bahera, Sagar Jabalpur Road, Sagar-470004",BAHERIYA,JABALPUR ROAD,SAGAR,Sagar,470004,,,
