id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31814,Madhya Pradesh,"NISAD COLLEGE OF NARSING & ALLIED SCIENCE'S, SATNA",GRAM BACHBAI RAIGAON ROAD SATNA,OFFICE NISHAD BHAWAN PANNA ROAD PATERI SATNA,SATNA,Satna,485001,,,
31794,Madhya Pradesh,"M.J M C NURSING & REASEARCH,SHERGANJ,SATNA",Sherganj,Mahadeva Road,Satna,Satna,485001,,,
6609,Madhya Pradesh,"Shri Ram Sanskrit College, Chitrakoot, Satna",jankikund,NA,chitrakoot,Satna,485334,https://mpsvv.ac.in/,9555995309; 9875366501,regpsvvmp@rediffmail.com; utdpanini@gmail.com
6604,Madhya Pradesh,"Government Purushottam Sanskrit College, Khajurital, Satna",Khajurital,NA,Khajurital,Satna,485775,,,
31840,Madhya Pradesh,SINDHU GIRL COLLEGE SATNA,"In-front of Park Hotel, Rewa Road, Satna","In-front of Park Hotel, Rewa Road, Satna",Satna,Satna,485001,https://www.sgcs.org,,
31891,Madhya Pradesh,"SHRI R C E BHARHUT NAGAR , SATNA",BHARHUT NAGAR,BHARHUT NAGAR,SATNA,Satna,485001,https://srkgi.co.in/contact,+91 9522270330; 9522270330,srkcesm@gmail.com
31872,Madhya Pradesh,"GOVT.INDIRA GANDHI GIRLS COLLEGE,SATNA",Govt Girls College,Infornt of Dist. Hospital,SATNA,Satna,485001,https://www.gggc.org,,
50455,Madhya Pradesh,"GOVERNMENT COLLEGE, UCHEHARA",GOVT H S SCHOOL CAMPUS,NEAR BUS STAND,UNCHEHRA,Satna,485661,,,
31853,Madhya Pradesh,SHRI R C COMMERCE AND SCINCE SATNA,"NEAR BJP OFFICE, BHARHUT NAGAR","NER BJP OFFICE, BHARHUT NAGAR",SATNA,Satna,485001,,,
31817,Madhya Pradesh,"RAJIV GANDHI COLLEGE OF COMP. & TECH. , SATNA",Panna Rewa Road,Sherganj,Satna,Satna,485001,https://www.apsurewa.ac.in/en/college-affiliation-notification/rajiv-gandhi-college-of-computer-application-and-technology-satna,+91-6267463188; 9301028891; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
31809,Madhya Pradesh,"SHRI R.K COLLEGE OF LAW, BHARHUT NAGAR SATNA","BHARHUT NAGAR, NEAR BJP OFFICE","BHARHUT NAGAR, NEAR BJP OFFICE",SATNA,Satna,485001,,,
31787,Madhya Pradesh,KAMLA NEHRU MAHILA COLLEGE SATNA,Prem nagar,1,Satna,Satna,485001,,,
31842,Madhya Pradesh,"GOVT.COLLEGE, JAITWARA,SATNA","GOVT.COLLEGE,",JAITWARA,JAITWARA,Satna,485221,,,
31879,Madhya Pradesh,LAW COLLEGE SATNA,Prem Nagar Satna M.P.,Prem Nagar Satna M.P.,Satna,Satna,485001,https://www.lcs.org,,
31887,Madhya Pradesh,"GOVT.COLLEGE, SATNA",NIRALA PARISHAR,REWA ROAD,SATNA,Satna,485001,https://gmcsatna.mp.gov.in/,07672-299660,gmcsatna150@gmail.com
31255,Madhya Pradesh,DATACARE INSTITUTE OF INFORMATION TECHNOLOGY SATNA,PALKAM BUILDING REWA ROAD,OPPOSITE MAHESHWARI SHWEETS,SATNA,Satna,485001,,,
50392,Madhya Pradesh,"MANOJ JAIN MEMORIAL COLLEGE, SHERGANJ, SATNA",plot No-280/1AA/1B village sherganj,thesil.raghuraj nagar,satna,Satna,485001,,,
31868,Madhya Pradesh,"GOVT.COLLEGE,NAGOD,SATNA",Maihar Road Nagod,Nagod,Satna,Satna,485446,https://apsurewa.ac.in/,+91-6267463188; 9301028891; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
