id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
50418,Madhya Pradesh,"MAHATMA GANDHI COLLEGE, ASHTA",BHUDHAWARA ROAD,HATHI KHANA ASHTA,ASHTA,Sehore,466116,https://mgmashta.com/,,
35104,Madhya Pradesh,"Swami Vivekanand College of Prof. Studies, H.N.15, Near Bhopal Naka, Sehore",Awadh puri Colony bhopal naka sehore 466001,NA,sehore,Sehore,466001,,,
52536,Madhya Pradesh,MANTHAN POLYTECHNIC COLLEGE,Near Police Check Post,Indore Bhopal Highway,Amlaha,Sehore,466113,,,
35258,Madhya Pradesh,"Rai Sahab Bhanwar Singh College, Nasrullaganj, Sehore",Rai Saheb bhanwar Singh College,"Village Rala, Post Nandgaon, Tehsil Nasrullaganj, District Sehore M.P.",Nasrullaganj,Sehore,466331,,,
45270,Madhya Pradesh,"R A K COLLEGE OF AGRICULTURE, SEHORE",Echhawar Road,Sehore,Sehore,Sehore,466001,,,
52504,Madhya Pradesh,"Govt womens polytechnic college,sehore","Govt womens polytechnic college,",Bhopal Naka Sehore,sehore,Sehore,466001,,,
35280,Madhya Pradesh,"Kalawati Smriti College, AShatha, Sehore",OLD DUSSHEHRA MAIDAN,NEAR GOKULDHAM GARDEN,ASHTA,Sehore,466116,https://kscas.org,,ksca2017@kscas.org
48003,Madhya Pradesh,"GOVERNMENT COLLEGE, DOBI",GOVERNMENT COLLEGE DOBI TEHSIL BUDHNI DISTRICT SEHORE,GOVERNMENT HIGHER SECONDARY SCHOOL CAMPUS DOBI,BUDHNI,Sehore,466554,,,
48004,Madhya Pradesh,GREEN FIELD COLLEGE OF VOCATIONAL STUDIES,Rishabh Vihar Colony Ashta,Rishabh Vihar Colony Ashta,Ashta,Sehore,466116,,,
35230,Madhya Pradesh,"Govt. Girls College, Sehore",BHOPAL NAKA SEHORE,BHOPAL NAKA SEHORE,SEHORE,Sehore,466001,https://www.ggcs.org,,sec@ggcs.org; membership@ggcs.org; pres@ggcs.org; schoolsupport@ggcs.org; review@ggcs.org; kstagg@ggcs.org; treas@ggcs.org
35374,Madhya Pradesh,Sehore College English Pada Sehore,NEAR BHOPAL NAKA SEHORE,NEAR BHOPAL NAKA SEHORE,SEHORE,Sehore,466001,,,
50712,Madhya Pradesh,"RAJSHREE COLLEGE OF PROFESSIONAL STUDIES, ASHTA",BAJRANG COLONY,ASHTA,ASHTA,Sehore,466116,,,
48284,Madhya Pradesh,"SAMRAT ASHOK COLLEGE OF PROFESSIONAL STUDIES, SEHORE",Dev nagar colony jhagariya road,NA,Sehore,Sehore,466001,,,
31077,Madhya Pradesh,IDEAL INSTITUTE OF INFORMATION TECHNOLOGY SEHORE,NEAR NEW BUS STAND,INFRONT OF PATEL PETROL PUMP,SEHORE,Sehore,466001,,,
35299,Madhya Pradesh,"Mahatama Gandhi College, Sehore",PETER'S COMPOUND TEHSEELCHAOURAHA SEHORE,PETER'S COMPOUND TEHSEELCHAOURAHA SEHORE,SEHORE,Sehore,466001,https://www.mgcs.org,,office@mgcs.org
54146,Madhya Pradesh,JYOTI COLLEGE OF EDUCATION,"Khasra No 190/7, P.H.No 45, Village Dodi","Post Khamaliya, Tehsil & Dist. Sehore",NA,Sehore,466001,,,
50411,Madhya Pradesh,"IDEAL COLLEGE OF PROFESSIONAL STUDIES, SEHORE",DUSHHARA WALA BAG,INDORE NAKA,SEHORE,Sehore,466001,,,
35120,Madhya Pradesh,SKI-HI Institute of Education,Village: Thuna kalan,PO: Pachama,SEHORE,Sehore,466001,https://www.sioe.org,,editor@sioe.org
50449,Madhya Pradesh,"SAHEED BHAGAT SINGH COLLEGE, ICHHAWAR",YADAV PURA ICHHAWAR,DIST. SEHORE M.P.,ICHHAWAR,Sehore,466115,,,
31540,Madhya Pradesh,GURUKUL INSTITUTION OF SCIENCE & TECHNOLOGY,A3 MANDI ROAD,ASHTA,ASHTA,Sehore,466001,https://www.giost.org,,
51010,Madhya Pradesh,"Government College, Jawarnagar",Main Road Jawar Nagar,Jawar Nagar,SEHORE,Sehore,466221,https://www.gcj.com,,
50422,Madhya Pradesh,"ALPHA COLLEGE, SHYAMPUR",NH 12 Bairagarh Khuman,NA,Shyampur,Sehore,466651,https://www.acs.ac.in,099 098259,principal@acs.ac.in
53890,Madhya Pradesh,sai shraddha institute of computer education,BEHIND BUS STAND,PAN CHOURAHA NADAR ROAD,ICHHAWAR,Sehore,466115,,,
35133,Madhya Pradesh,"Govt. College, Nasrullaganj, Sehore","Neelkanth Road, Nasrullaganj",NA,Nasrullaganj,Sehore,466331,https://www.gcns.org,,office@gcns.org
53916,Madhya Pradesh,Narmda vision it academy,pratima gour,shahganj teh budhni distt sehore,shahganj,Sehore,466554,https://www.nvia.in,038500058; 7038500058; +91-9423262198; 9423262198; +91-7038500058,nvia.satara@gmail.com
