id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
33359,Madhya Pradesh,"D.P. Chtaturvedi Science, Commerce College, Seoni",NEAR D.E.O. OFFICE C.V. RAMAN WARD,BARAPATHAR SEONI,SEONI,Seoni,480661,https://www.dpccollege.com/,07692226635,dpccollegeseoni@gmail.com
33423,Madhya Pradesh,"Swami Vivekanand Govt. College, Lakhnadon, Seoni","Swami Vivekanand Govt. College,","Ghansor Road, Post & Tehsil Lakhnadon, Distt-Seoni",Lakhnadon,Seoni,480886,https://mybharat.gov.in/KnowledgeInstitutions/college/19/swami-vivekanand-govt-college-lakhnadon-seoni,002122729,
33381,Madhya Pradesh,"Govt. Degree College, Barghat, Seoni",Salaih Road Barghat,Salaih Road Barghat,Barghat,Seoni,480667,https://study-india.org/33381-govt_degree_college_barghat_seoni.htm,,
33475,Madhya Pradesh,"Govt. P.G. College, Seoni",Mungvani Road,Bhairoganj,Seoni,Seoni,480661,http://www.mphighereducation.nic.in/pgcseoni,07692220543,hegpgcseo@mp.gov.in
33382,Madhya Pradesh,"Mahakoushal College of Science, Chhapara, Seoni",At Lalmati Chhapara,At Lalmati Chhapara,Chhapara,Seoni,480884,https://www.justdial.com/Seoni/Mahakoshal-College-Of-Science-Chhapara/9999P7695-7695-170928000045-X3J8_BZDET,,
53497,Madhya Pradesh,GOVT. COLLEGE GHANSOR,GHANSOR,NEAR ITI,GHANSOR,Seoni,480997,https://study-india.org/53497-govt_college_ghansor.htm,,
33468,Madhya Pradesh,"Govt. Arts Commerce College, Keolari, Seoni",Ugli road keolari,keolari,keolari,Seoni,480994,,,
47372,Madhya Pradesh,"NARMADA PRASAD PANDEY COLLEGE, GOPAL GANJ","KIDWAI WARD,CHHINDWARA ROAD,","GANGA NAGR,",SEONI,Seoni,480661,,,
47401,Madhya Pradesh,"A C M COLLEGE, Seoni",Balaghat road seoni,balaghat road seoni,seoni,Seoni,480661,,,
53118,Madhya Pradesh,GLOBAL LAW COLLEGE,OPPOSITE R.T.O.OFFICE,N.H.7 JAALPUR ROAD,SEONI,Seoni,480661,https://www.globallawcollege.in,,inquiry@globallawcollege.in; globallawcollegeseoni@gmail.com
33386,Madhya Pradesh,"Netaji Subhash Chandra Bose Govt. Girls College, seoni",Near Bus Stand,Behind Police Station,Seoni,Seoni,480661,,,
31472,Madhya Pradesh,UNIVERSAL COMPUTER ACADEMY SEONI,"NEW BUILDING, NEAR S P BUNGALOW",BARAPATTHAR,SEONI,Seoni,480661,https://www.ucas.ac.in,,infoucas@uit.ac.in
33470,Madhya Pradesh,"Govt. Degree College, Chhapara, Seoni","lalmati, behind chouksey petrol pump, chhapara, distt- seoni","lalmati, behind chouksey petrol pump, chhapara, distt- seoni",Chhapara,Seoni,480884,,,
53685,Madhya Pradesh,COMPUTER VEDAS,LANE - 03,HOUSING BOARD COLONY BARAPATHAR,SEONI,Seoni,480661,,,
53675,Madhya Pradesh,CEREBRAL HEIGHTS COMPUTER CENTER,50/10 PH NO66 SETT NO 441,CHHINDWARA CHOUK MATH ROAD,SEONI,Seoni,480661,,,
31220,Madhya Pradesh,LOGICAL CONCEPTS COMPUTER EDUCATION SEONI,I/O DR SALIL TRIVEDI,NEAR LIC OFFICE HOME GURAD OFFICE ROAD,SEONI,Seoni,480661,,,
53772,Madhya Pradesh,ASCENT COMPUTER INSTITUTE,NEAR CHAMARI TIGADDA,TAKIYA WARD,CHHAPARA,Seoni,480884,,,
47373,Madhya Pradesh,NIRMILA DEVI GRADUATE COLLEGE,VILL - JAAM,POST - JAAM,SEONI,Seoni,480661,,,
53857,Madhya Pradesh,IPS ACADEMY,JABALPUR ROAD,LUGHARWRA,SEONI,Seoni,480661,https://www.ipsacademy.ac.in,9977511161; +91-9977511161; 0731 4014863,admission.ind@ipsacademy.org
31575,Madhya Pradesh,"SECT COMPUTERS, SEONI","JABALPUR ROAD , NEAR DIST HOSPIAL",AVTAR SINGH COLONY SEONI,SEONI,Seoni,480661,,,
33390,Madhya Pradesh,"Yashoda Bai Patel College, Khurai, Seoni",NH- 7 ROAD,KURAI,SEONI,Seoni,480880,,,
47376,Madhya Pradesh,"VIVEKANAND KANYA MAHAVIDHALAYA, KHURSARA",AT- POST - KHURSARA,BLOCK- KEOLARI,SEONI,Seoni,480996,,,
47370,Madhya Pradesh,"F J COLLEGE, SEONI",teachers colony binjhawada,seoni,seoni,Seoni,480661,https://www.fjcs.org,,
47371,Madhya Pradesh,"MAHAJAN ARTS AND COMMERS COLLEGE, ARANDIY",AT ARANDIYA,POST SAKRI BLOCK KEOLARI,SEONI,Seoni,480996,,,
1583,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE SEONI,GOVT POLYTECHNIC COLLEGE SEONI MP,NA,SEONI,Seoni,480661,https://www.gcs.ac.in,01735297554; 8222099824; +91-8222099824; 8222899870,gcsbilaspur@gmail.com
15480,Madhya Pradesh,"MARUTI INSTITUTE OF NURSING, SEONI",Kalbodi,NA,Kurai,Seoni,480661,,,
