id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
6611,Madhya Pradesh,"Government Abhyananda Sanskrit College, Kalyanpur","Government Abhyananda Sanskrit College, Kalyanpur, Shahdol (m.p.)","Government Abhyananda Sanskrit College, Kalyanpur, Shahdol (m.p.)",Shahdol,Shahdol,484001,"https://highereducation.mp.gov.in/Uploaded%20Document%20New/admin_hecms/Government%20Abhayanand%20Sanskrit%20College,%20Kalyanpur,%20Shahdol.pdf",,
50454,Madhya Pradesh,"GOVERNMENT COLLEGE, JAITAHARI",Near of Tahseel office Jaithari,Near of Tahseel office Jaithari,Jaithari (Anuppur)484330,Shahdol,484330,http://gcjaithari.ac.in/,9926850405; 9584863946,hegcjaianu@mp.gov.in; govt.collegejaithari@gmail.com
31867,Madhya Pradesh,"GOVT.INDIRA GANDHI HOMESCIENCE COLLEGE, SHAHDOL",Beside Polytechnique Institute,Pandav Nagar,Shahdol,Shahdol,484001,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-indira-gandhi-home-science-girls-pg-college-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31874,Madhya Pradesh,"COLLEGE OF LAW & LEGAL AID,SHAHDOL","LAW COLLEGE , WARD NO. 7 SHAHDOL (M.P.) 484001",NA,SHAHDOL,Shahdol,484001,https://www.apsurewa.ac.in/en/college-affiliation-notification/the-college-of-law-and-legal-aid-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
50394,Madhya Pradesh,"PT. RAMGOPAL TIWARI COLLEGE, SOHAGPUR",KOTMA TIRAHA BAN GANG BY PASS ROAD,SOHAGPUR,SHAHDOL,Shahdol,484001,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-ramgopal-tiwari-technical-and-science-college-anuppur-anuppur,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31070,Madhya Pradesh,RAJIV GANDHI INSTITUTE OF COMPUTER & INFORMATION TECHNOLOGY BURHAR,Near Nehru Degree College,Amarkantak Road,Burhar,Shahdol,484110,https://www.justdial.com/Shahdol/Rajiv-Gandhi-College-Of-Institute-Near-Rajendra-Talkies-Bsnl-Office-Burhar-Road/9999P7652-7652-140609162633-N1R7_BZDET,,student@agnirva.com
31779,Madhya Pradesh,"JANTA LAW COLLEGE,GOHPARU,SHAHDOL",GRAM POST - GOHPARU,DISTRICT - SHAHDOL,SHAHDOL,Shahdol,484770,https://www.apsurewa.ac.in/en/college-affiliation-notification/janta-college-gohpaaru-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31806,Madhya Pradesh,"JANTA COLLEGE,GOHPARU,SHAHDOL",GRAM POST - GOHPARU,DISTT. SHAHDOL,SHAHDOL,Shahdol,484770,https://www.apsurewa.ac.in/en/college-affiliation-notification/janta-college-gohpaaru-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31091,Madhya Pradesh,HARMILAP INSTITUTE OF COMPUTER & TECHNOLOGY BURHAR,"amarkantak road, near govt. degree college",NA,burhar,Shahdol,484110,https://www.justdial.com/Shahdol/Harmilap-Institute-Of-Computer-and-Technology-Indra-Chowk-New-Bus-Stand-Road/9999P7652-7652-140516185126-G3S4_BZDET,,
31297,Madhya Pradesh,INDIRA GANDHI COMPUTER TECHNOLOGY BEOHARI,"NEAR NAV DURGA TRANSPORT, MAIN ROAD,",Tehsil Beohari,Beohari,Shahdol,484774,https://www.apsurewa.ac.in/en/college-affiliation-notification/indra-gandhi-college-of-technology-and-science-beohari-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
50393,Madhya Pradesh,"INDRA GANDHI COLLEGE OF TECHNOLOGY & SCIENCE, BEOHARI",Near Panchayati Mandir Road Beohari,Beohari,Beohari,Shahdol,484774,https://www.apsurewa.ac.in/en/college-affiliation-notification/indra-gandhi-college-of-technology-and-science-beohari-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31841,Madhya Pradesh,"GOVT.COLLEGE JAYSHINGNAGAR,SHAHDOL",Gopalpur Road,NA,Jiasinghnagar,Shahdol,484771,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-jaishingh-nagar-shahdol,+91-9301028891; +91-6267463188; 6267463188; 9301028891,regapsu@gmail.com; vcapsu@gmail.com
31542,Madhya Pradesh,"HARMILAP INSTITUTE OF COMPUTER & TECHNOLOGY, SHAHDOL",NEAR INDIRA CHOWK,NEW BUS STAND ROAD,SHAHDOL,Shahdol,484001,https://www.justdial.com/Shahdol/Harmilap-Institute-Of-Computer-and-Technology-Indra-Chowk-New-Bus-Stand-Road/9999P7652-7652-140516185126-G3S4_BZDET,,
31294,Madhya Pradesh,INNERTECH INSTITUTE OF COMPUTER SCIENCE & TECHNOLOGY AMLAI,"BAPU CHOUK ,AMLAI",NA,ANUPPUR,Shahdol,484116,https://www.justdial.com/Shahdol/IT-Training-Institutes/nct-10124740,+91-9992333683; +91-9992333874; 9992333683; 9992333874,
31354,Madhya Pradesh,SIDDHARTH INSTITUTE OF INFORMATION TECHNOLOGY DHANPURI,dhanpuri ward no 01amarkantak road near govt. nehru college burhar,Distt- Shahdol mp,dhanpuri,Shahdol,484114,https://collegelok.com/SIDDHARTH-INSTITUTE-OF-INFORMATION-TECHNOLOGY-DHANPURI/680b26e0307d9/scholarship,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com
31366,Madhya Pradesh,UNIVERSAL INSTITUTE OF COMPUTER AND TECHNOLOGY BURHAR,NEAR NEHRU DEGREE COLLEGE,BURHAR,BURHAR,Shahdol,484110,https://www.justdial.com/Shahdol/Universal-Institute-Of-Computer-Technology-Near-Reliance-Petrol-Pump-Burhar/0731PX731-X731-180423110336-G5K9_BZDET,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com
53792,Madhya Pradesh,IGM INSTITUE OF IT AND MANAGMENT,NEAR GAYETRI MANDIR ROAD,JHULLA PULL,SHAHDOL,Shahdol,484001,,,
