id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31741,Madhya Pradesh,"Shanti Niketan College, Akodiya Mandi",Vaidya gali,Ward 12,Akodia mandi,Shajapur,465223,http://www.mphighereducation.nic.in/InstitutePortal/Public/Institute_Profile.aspx?InstId=MTE2OA==,,sncollege_akd@rediffmail.com
31624,Madhya Pradesh,"Govt.College, Maksi",gram jhonkar,JHONKAR MAKSI,Maksi,Shajapur,465106,https://shajapur.nic.in/en/public-utility/govt-college-maksi/,07363-233746,hegcmaksha@mp.gov.in
31746,Madhya Pradesh,"Govt.Girls College, Shajapur",KILA PARISAR,SHAJAPUR,SHAJAPUR,Shajapur,465001,https://shajapur.nic.in/en/public-utility/govt-girls-college-shajapur/,07364-229130,heggcshg@mp.gov.in
31676,Madhya Pradesh,"Govt. College, Nalkheda",bheshoda road,nalkheda,nalkheda,Shajapur,465445,https://www.india.gov.in/services/details/institute-student-management-system-jagannath-gomthi-ambavatiya-college-of-education-nalkheda-in-shajapur-madhya-pradesh,,
31643,Madhya Pradesh,"Govt. College, Susner",Near Tehsil Office Susner,NA,Susner,Shajapur,465447,https://agarmalwa.nic.in/en/public-utility/govt-college-susner/,9752792976,
31657,Madhya Pradesh,"B.S.N. Govt College, Shajapur",A.B.ROAD Shajapur M.P. 465001,A.B.ROAD Shajapur M.P. 465001,SHAJAPUR,Shajapur,465001,https://shajapur.nic.in/en/public-utility/govt-balkrishna-sharma-navin-p-g-college/,07364-227727,hegbsnpgcshg@mp.gov.in
31691,Madhya Pradesh,"Govt. College, Polaykala",Govt. College Polaykala,Akodiya Road,Polaykala,Shajapur,465116,https://www.gpcshajapur.ac.in/,07364-226888,prinpoly.sjp@mp.gov.in
31683,Madhya Pradesh,"Jagannath Gomthi Ambavatiya College of Edu.Nalkheda, Shajapur",maa bagula mukhi main road nalkheda,same as above,nalkheda,Shajapur,465445,https://www.india.gov.in/services/details/institute-student-management-system-jagannath-gomthi-ambavatiya-college-of-education-nalkheda-in-shajapur-madhya-pradesh,,
31655,Madhya Pradesh,"J.N.S.Govt.College, Shujalpur",City-Mandi Road,Shujalpur,Shujalpur,Shajapur,465333,https://jnspgcollegeshujalpur.org/,07360244358,hegjnscshushg@mp.gov.in
31652,Madhya Pradesh,"S.L.V.College, Saraswati College, Shujalpur Mandi",BEHIND POL FACTORY,CITY MANDI ROAD,SHUJALPUR MANDI,Shajapur,465333,https://collegelok.com/SLVCollege-Saraswati-College-Shujalpur-Mandi/680b26e139952/faculty,0824 2474000; +91 8081601761; 081601761; 8081601761,cto@oceonicitsolution.com
