id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
36341,Madhya Pradesh,GOVT. COLLEGE VIJAYPUR,kila campus vijaypur,Dist. sheopur -(mp),vijaypur,Sheopur,476332,https://hed.mponline.gov.in/Portal/Services/HED/HCInstitutemapping.aspx?cmid=BED,0755-6720201,
34942,Madhya Pradesh,GOVT. P.G. COLLEGE SHEOPURKLA,Pail road sheopur,Distt. sheopur,sheopur,Sheopur,476337,https://sheopur.nic.in/en/public-utility-category/colleges/,07530-222142; 07530-222148,
34892,Madhya Pradesh,SHEOPUR INSTITUTE OF PROFESSIONAL STUDIES,change name Sheopur institute of professional studies sheopur near new anaj mandi link road sheopur,near new anaj mandi link road sheopur,sheopur,Sheopur,476337,https://www.careers360.com/colleges/sheopur-institute-of-professional-studies-sheopur,,
34699,Madhya Pradesh,RAJIV GANDHI MEMORIAL COLLEGE BARODA,kuhanjapur road,baroda,sheopur,Sheopur,476339,http://mpedu.in/college/search_college.php?pg=4,07492-221922; 9826971008; 9926238172; 07656-266296; 07652-245110; 07364-220038; 7389028552; 07652-242529; 9826237650; 07656-266224; 07530-222142; 07652-231702; 8989409322; 9992623817; 07364-227727; 07530-280201; 07492-234825; 07364-268499; 9425794733; 9425869919; 9424984477,
34798,Madhya Pradesh,OM SHIV COLLEGE KARAHAL,SHIVPURI ROAD KARAHAL,SHEOPUR,SHEOPUR,Sheopur,476355,https://www.justdial.com/Sheopur/Om-Shiv-College-Near-Petrol-Pump-Karhal/9999P7530-7530-140630145854-S3J4_BZDET,+91 9639549675; 9639549675,
48089,Madhya Pradesh,ADARSH COLLEGE,KESHAV NAGAR,KALYAN PURAM,SHEOPUR,Sheopur,476337,https://www.instagram.com/adarshcollegepage/,,ACSHEOPUR@gmail.com
34972,Madhya Pradesh,"SHRI GANESH SHANKAR COLLEGE , VIJAYPUR","SHRI GANESH SHANKAR COLLEGE , VIJAYPUR",VIJAYPUR,VIJAYPUR,Sheopur,476332,https://www.shiksha.com/college/shri-ganesh-shankar-college-sheopur-127065,,
48090,Madhya Pradesh,DR AMBEDKAR MAHAVIDHLAYA,birpur,NA,vijaypur,Sheopur,476335,http://web.ncte.gov.in/page-regional-committee-institution-lists/21/www.ambition-college.com?page=24,7662258860; 9827365765; 7682241650; 011-20893266; 9406556786; 7512451301,cterewa@gmail.com; gce_gwl80@yahoo.com; CTDEWAS@GMAIL.COM; sanjeevbhalerao50@gmail.com; anilsvn@gmail.com; cte.chhatarpur@gmail.com; gsvmbed@gmail.com; ANURAGTOMAR14@YAHOO.COM
53815,Madhya Pradesh,Global Institute Sheopur,Pali road,pali road,NA,Sheopur,476337,http://web.ncte.gov.in/page-regional-committee-institution-lists-hindi/21/www.gimssagar.com?page=21,9630451402; 9826337408; 7682247477; 07812-223144; 7812223011; 9424450329; 011-20893266; 8989877000; 9630451401,director@aektacollege.org; drzakirhusaincollege@gmail.com; dhrubdhana@gmail.com; rmscollege2005@gmail.com; evescs21@gmail.com
54775,Madhya Pradesh,BITS AND BYTES INSTITUTE OF INFO. TECH.,PALI ROAD,SHEOPUR,SHEOPUR,Sheopur,476337,https://www.justdial.com/Sheopur/Engineering-Colleges/nct-10188852,+91 9639549675; 9639549675,
31421,Madhya Pradesh,BIIT (BRILLIANT INSTITUTE OF INFORMATION TECHNOLOGY) SHEOPUR,IN FRONT OF KABIR ASHRAM,BARODA ROAD,SHEOPUR,Sheopur,476337,https://www.university.youth4work.com/biit_brilliant-institute-of-information-technology,,dev7561@gmail.com
4725,Madhya Pradesh,T M S SCHOOL OF NURSING SHEOPUR,ICCHAPURA NEAR NEW ANAJ MANDI LINK ROAD SHEOPUR,NA,SHEOPUR,Sheopur,476337,https://www.studyguideindia.com/Colleges/Medical/t-m-s-school-of-nursing-sheopur.html,,customercare@indiamart.com
