id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
34710,Madhya Pradesh,SWAMI VEVEKANAND COLLEGE OF EDUCATION,Villege Kankar,Gwalior Road,Shivpuri,Shivpuri,473551,http://www.svcps.org/,"0474
08989409; 09407219522; 8889071339; 07492-220322; 08989409322; 7240901714; 07492-221922; 08989409321; 09425136522",-dhirajs147@gmail.com; tsharma369@rediffmail.com
48035,Madhya Pradesh,"MAHAMANDLESHWAR SWAMI PARMANAND JI MAHARAJ MAHAVIDYALYA, KARERA",tehseel karera,NA,karera,Shivpuri,473660,https://www.justdial.com/Shivpuri/Mahamandleshwar-Swami-Parmanand-Ji-Maharaj-Mahavidyalya-Main-Road-Karera/9999P7492-7492-140630165212-H1F2_BZDET,9452119667,sriynmcollege@rediffmail.com
34904,Madhya Pradesh,KESHAV EDUCATION COLLEGE,keshav mahavidhyalaya,shanti nagar,shivpuri,Shivpuri,473551,http://web.ncte.gov.in/page-regional-committee-institution-lists/21/JOHRIPROFESSIONALCOLLLEGE.COM?page=37,009148063; 9826230341; 9039056510; 011-20893266; 9009148063; 7772834444; 7822253327; 8103911220; 039056510; 9926273624,kamtanathdabra@gmail.com; Klcollege2012@gmail.com; dilipsinghyadav007@gmail.com; karahalcollege.gwalior@gmail.com; nksidhi@rediffmail.com; Mishra.meera6@gmail.com
34959,Madhya Pradesh,SPS ACADEMY,FATEHPUR ROAD,SHIVPURI,SHIVPURI,Shivpuri,473551,https://www.justdial.com/Shivpuri/S-P-S-Academy-College-Of-Education-Tongara/9999P7492-7492-180819124914-P2X4_BZDET,07492-220002,
52505,Madhya Pradesh,RATAN SHIKSHA MAHAVIDYALAYA,"Village and Post- Amol(Patha), Tehe.- Karera, Distt.- Shivpuri (M.P.)",NA,NA,Shivpuri,473880,https://www.facebook.com/rsmv.org/,,rsmv2014@gmail.com
50873,Madhya Pradesh,"Government Navin College, Narwar",near govt. hr. secondary school,near bus stand,narwar,Shivpuri,473880,https://www.shiksha.com/college/government-navin-college-narwar-shivpuri-131939,9639549675; +91 9639549675,
34833,Madhya Pradesh,GOVT. COLLEGE KARERA,Teela Road,karera dist shivpuri,Karera,Shivpuri,473660,https://www.justdial.com/Shivpuri/Govt-Degree-College-Karera-Karera/9999P7492-7492-230201205205-J3C6_BZDET,,gdckarera@gmail.com
52506,Madhya Pradesh,vedanta degree college nanora pohari Shivpuri,bairad road pohari,NA,pohari,Shivpuri,473775,https://colleges-india.com/college/vedanta-degree-college-nanora-pohari-shivpuri/,+91 8081601761; 8081601761; 081601761,web.collegedirectory@gmail.com; cto@oceonicitsolution.com
29534,Madhya Pradesh,"Tirupati kala evam Sangeet Mahavidhyalaya, shivpuri",rajeswari road,mahal coloni,shivpuri,Shivpuri,473551,https://www.justdial.com/Shivpuri/Shri-Tirupati-Music-And-Arts-College-Near-Rajeshwari-Temple-Ab-Road/9999P7492-7492-171207185011-N9P4_BZDET,+91 8081601761; 8081601761; 081601761,cto@oceonicitsolution.com; acharya108jaimini@gmail.com
53871,Madhya Pradesh,EXCELLENCE MANAGEMENT PROFESSIONAL INSTITUTE,SHIVPURI ROAD WARD NO 10,SHREEMATI VIDYA DEVI HOUSE KARERA,KARERA,Shivpuri,473660,https://pkuniversity.edu.in/,"081
72411150; 7241115083; 7241115082; 008900478; +91-7241115082; 7241115081; 7241115901; +91-7241115083; +91-7241115081",
53763,Madhya Pradesh,B.M.M INSTITUTE OF PROFESSIONAL STUDIES,Rathore Plaza,Kamlaganj,Shivpuri,Shivpuri,473551,https://mcrpv.mponline.gov.in/Portal/Services/MAKHANLAAL/OrgUser/rptEnrollmentDtlsssrs.aspx,"0474
08989409; 09407219522; 8889071339; 07492-220322; 08989409322; 7240901714; 07492-221922; 08989409321; 09425136522",-dhirajs147@gmail.com; tsharma369@rediffmail.com
