id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31783,Madhya Pradesh,"GOVT.COLLEGE CHURHAT,SIDHI",GOVT.COLLEGE CHURHAT,NA,SIDHI,Sidhi,486771,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-churahat-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
50396,Madhya Pradesh,"ADARSH KANYA COLLEGE, SIDHI",STADIUM ROAD,NORTH KARONDIYA,SIDHI,Sidhi,486661,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-girls-college-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
47484,Madhya Pradesh,"GOVERNMENT COLLEGE, KUSMI",VILL KUSMI,POST KUSMI,TEHSIL KUSMI,Sidhi,486661,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-kusmi-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
6615,Madhya Pradesh,"Government Sanskrit College, Bhitri",villege/p.o. Bhitari,tah- rampur naikin,sidhi,Sidhi,486775,https://mpsvv.ac.in/,9875366501; 9555995309,utdpanini@gmail.com; regpsvvmp@rediffmail.com
31819,Madhya Pradesh,"GOVT.ART&COMM. COLLEGE MAJHAULI, SIDHI","GOVT.ART&COMM. COLLEGE MAJHAULI, SIDHI","GOVT.ART&COMM. COLLEGE MAJHAULI, SIDHI",SIDHI,Sidhi,486661,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-art-and-commerce-majhauli-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
31780,Madhya Pradesh,"TATA COLLEGE,JAMOUDI KHURDA,,SIDHI",Behind Kamal Filling Station,"Ward No.8 Jamodi Khurd,Sidhi",Sidhi,Sidhi,486661,https://www.titsidhi.in/,+91-7354993403; 7354993403,tatacollegesidhimp@gmail.com
31885,Madhya Pradesh,"GOVT.COLLEGE SIHAWAL, SIDHI",VILL BAMURI SIHAWAL,SIDHI,SIDHI,Sidhi,486670,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-sihawal-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
31893,Madhya Pradesh,GOVT.GIRLS COLLEGESIDHI,VIJAY FILLING STATION NEAR NORTH KARONDIA SIDHI (M.P.),NA,SIDHI,Sidhi,486661,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-girls-college-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
50398,Madhya Pradesh,"SAKSHI B.ED. COLLEGE, BARAURA, SIDHI","plot no.-1328/277, village-badhaura, tahsil-gopad banas",NA,sidhi,Sidhi,486661,https://www.apsurewa.ac.in/en/college-affiliation-notification/shakshi-b-ed-college-badhaura-sidhi,9301028891; +91-6267463188; +91-9301028891; 6267463188,vcapsu@gmail.com; regapsu@gmail.com
31427,Madhya Pradesh,"TATA INSTITUTE OF TECHNOLOGY, SIDHI","IICE HOUSE, NORTH KARAUNDIYA","REWA ROAD, SIDHI",SIDHI,Sidhi,486661,https://www.titsidhi.in/,+91-7354993403; 7354993403,tatacollegesidhimp@gmail.com
50400,Madhya Pradesh,"EKLAVYA COLLEGE, SINGRAULI ROAD, SIDHI","SINGRAULI ROAD, DAINIHA","SINGRAULI ROAD, DAINIHA",SIDHI,Sidhi,486661,,,
31578,Madhya Pradesh,CENTRE FOR MANAGEMENT & INFORMATION TECHNOLOGY SIDHI,"""SMRITI VILLA""","STADIUM ROAD, NORTH KARONDIYA",SIDHI,Sidhi,486661,,,
50399,Madhya Pradesh,"S.I.T. COLLEGE OF EDUCATION, JAMORI, SIDHI",Jamodi Sengran,Rewa Road,Sidhi,Sidhi,486661,,,
31758,Madhya Pradesh,"S.I.T COLLEGE,SIDHI","SIT COLLEGE, REWA ROAD JAMODI SIDHI","SIT COLLEGE, REWA ROAD JAMODI SIDHI",SIDHI M.P.,Sidhi,486661,https://www.sc.com,,
31822,Madhya Pradesh,"EDUCATION COLLEGE,,SIDHI",VILLAGE PANWAR SENGRAN,DISTT SIDHI,SIDHI,Sidhi,486661,,,
31069,Madhya Pradesh,RAJEEV GANDHI INSTITUTE OF COMPUTER TECHNOLOGY SINGRAULI,college road bilounji waidhan,NA,waidhan,Sidhi,486886,,,
31546,Madhya Pradesh,SINGRAULI INSTITUTE OF COMPUTER TECHNOLOGY SINGRAULI,college road bilounij waidhan,NA,waidhan,Sidhi,486886,,,
31497,Madhya Pradesh,NICT COMPUTER ACADEMY SINGRAULI,bilouji college road,waidhan,singrauli,Sidhi,486886,,,
31442,Madhya Pradesh,URJANCHAL COMPUTER ACADEMY SINGRAULI,main raod tali puliya,bilouji po waidhan,singrauli,Sidhi,486886,,,
31820,Madhya Pradesh,"GOVT.ART&COMM. COLLEGE RAMPUR NAIKIN, SIDHI","GOVT.ART&COMM. COLLEGE RAMPUR NAIKIN, SIDHI","GOVT.ART&COMM. COLLEGE RAMPUR NAIKIN, SIDHI",Sidhi,Sidhi,486775,,,
54157,Madhya Pradesh,Sidhi Institute of Professional Studies 8267,South Karondiya,North Karondiya,Sidhi,Sidhi,486661,,,
47496,Madhya Pradesh,"SHRI SAI COLLEGE, SIDHI",REWA ROAD NORTH KARAUDIYA SIDHI,REWA ROAD NORTH KARAUDIYA SIDHI,SIDHI,Sidhi,486661,https://www.sscs.co.in,9560256600; 9818821494; 7217777513; +91 7217777513; +91 9818821494; +91 9560256600,sales@sscs.co.in; pb@sscs.co.in
