id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31846,Madhya Pradesh,"SAI COLLEGE,VINDHYA NAGAR,SINGRAULI",Shri Sai Mahavidyalaya,NA,Vindhyanagar,Singrauli,486885,https://www.apsurewa.ac.in/en/college-affiliation-notification/sai-college-vindhyanagar-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
50453,Madhya Pradesh,"GOVERNMENT GIRLS COLLEGE, WAIDHAN",MAIN ROAD,NA,WAIDHAN,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-girls-college-waidhan-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
50401,Madhya Pradesh,"N.I.C.T. KANYA COLLEGE, VAIDHAN",BILOUJI,PO- WAIDHAN,SINGRAULI,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-girls-college-waidhan-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31765,Madhya Pradesh,"GOVT. RAJNARAYAN SMARTI COLLEGE WAIDHAN,SINGROLI",GOVT.RAJNARYAN SMARITI COLLEGE,WAIDHAN,WAIDHAN,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-rajnarayan-smriti-college-waidhan-singrauli-2,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31791,Madhya Pradesh,"MAYARAM MAHAVIDYALAYA,MEDHOLI MORWA,,SINGRAULI",SHUKLA MORE,NA,SINGRAULI,Singrauli,486889,https://www.apsurewa.ac.in/en/college-affiliation-notification/maya-ram-college-medhauli-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
50402,Madhya Pradesh,"AMRIT SHIKSHA COLLEGE, BARGAWAN, SINGRAULI",bargwan,bargwan,singrauli,Singrauli,486885,https://www.apsurewa.ac.in/en/college-affiliation-notification/amrit-shiksha-college-bargavaa-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31863,Madhya Pradesh,"A.V.B.ED COLLEGE,GAHILGARH,VINDHYA NAGAR,SINGRAULI",vindhyanager,waidhan,simgrauli,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/amrit-vidhyapeeth-b-ed-college-gahilgarh-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
31774,Madhya Pradesh,"A.V.S.S COLLEGE.BANULI ,SINGRAULI","BANOULI SHAHPUR, NIGAHI",SINGRAULI,SINGRAULI,Singrauli,486884,https://www.apsurewa.ac.in/en/,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
54779,Madhya Pradesh,MAHATMA GANDHI COMPUTER INSTITUTE,"goverment degree college billounji,waidhan",waidhan,waidhan,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/rajeev-gandhi-college-waidhan-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
47490,Madhya Pradesh,"SAINATH SCHOOL OF NURSING, VAIDHAN","waidhan,singrauli","waidhan,singrauli",waidhan,Singrauli,486886,https://www.justdial.com/Singrauli/Sai-Nath-School-Of-Nursing-Near-Podni-Nogai-Waidhan/9999P7805-7805-191113191532-A4L9_BZDET,,principal@sainathschoolofnursing.com
31881,Madhya Pradesh,"RAJIV GANDHI COLLEGE,WAISDHAN,SINGRAULI",college road bilounji waidhan,"RAJIV GANDHI COLLEGE,WAISDHAN,distt-SINGRAULI (MP)",waidhan,Singrauli,486886,https://www.apsurewa.ac.in/en/college-affiliation-notification/rajeev-gandhi-college-waidhan-singrauli,+91-9301028891; 9301028891; 6267463188; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
54780,Madhya Pradesh,SHRI SAI INSTITUTE OF COMPUTER AND TECHNOLOGY,DHONTI SHAPUR ROAD,VINDHYANAGAR,SINGRAULI,Singrauli,486885,,,
47487,Madhya Pradesh,"GOVERNMENT COLLEGE, SARAI",sarai,sarai,singrauli,Singrauli,486881,https://www.gcs.ac.in,01735297554; 8222099824; +91-8222099824; 8222899870,gcsbilaspur@gmail.com
53808,Madhya Pradesh,rajeev gandhi computer college,sarai po sarai,singrauli,singrauli,Singrauli,486881,,,
47488,Madhya Pradesh,"GOVERNMENT GIRLS COLLEGE, SINGRAULI",OLD ITI BHAVAN SINGRAULI DISTT-SINGRAULI MP,OLD ITI BHAVAN SINGRAULI DISTT SINGRAULI MP,SINGRAULI,Singrauli,486886,,,
47482,Madhya Pradesh,"GOVERNMENT COLLEGE, CHITRANGI",village chitrangi post chitrangi distt-singrauli m.p.,village chitrangi post chitrangi distt-singrauli m.p.,singrauli,Singrauli,486882,,,
31768,Madhya Pradesh,"GOVT.COLLEGE DEVSAR, SINGROLI",Jiyawan,NA,Deosar,Singrauli,486881,,,
31833,Madhya Pradesh,"S.I.T.E ,SINGRAULI",Circuit House Road,PO-Singrauli Colliery,Singrauli,Singrauli,486889,,,
31831,Madhya Pradesh,"SRI SAI MANAGLAM COLLEGE,,SINGRAULI",BHAGAT SINGH COLONY,SINGRAULI,SINGRAULI,Singrauli,486889,https://www.ssmc.ac.in,8111882281; 08111882281; +91 8111882281; 08113882304,ssmc@santhigiriashram.org
53794,Madhya Pradesh,"Sarai Institute of Technology, Sarai",Sarai-Banjari Road Sarai,Teh.-Sarai,Sarai,Singrauli,486889,https://www.siots.in,9360877479; 9360377479,
1591,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE WAIDHAN,Govt Polytechnic College Waidhan Campus,"Gram - Pachor,Waidhan",Singrauli,Singrauli,486886,https://www.gcw.com,,
