id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
19180,Madhya Pradesh,"Govt. P.G. College, Tikamgarh",0,0,0,Tikamgarh,472001,https://www.india.gov.in/services/details/institute-student-management-system-govt-pg-college-in-tikamgarh-madhya-pradesh,,
19209,Madhya Pradesh,"Govt. Degree College, Jatara",Govt. Degree College,Tehsil Jatara,Jatara,Tikamgarh,472118,https://tikamgarh.nic.in/en/public-utility/govt-college-jatara/,039021615; 9039021615,hegcjattik@mp.gov.in
47459,Madhya Pradesh,"SANT RAMDAS INSTITUTE OF SCIENCE AND MANAGEMENT, TIKAMGARH",BHAGAT NAGAR COLONY NEAR DIST.COURT,JHANSI ROAD,TIKAMGARH,Tikamgarh,472001,https://www.getedunext.com/college/sant-ramdas-institute-of-science-and-management-tikamgarh,,edunextweb@gmail.com
19206,Madhya Pradesh,Gurukul College of Education. Tikamgarh,JHIRKI BAGIYA,BRINDAWAN TALAB TIKAMGARH,TIKAMGARH,Tikamgarh,472001,https://gcedut.com/,9893353242; 9425815285,gurukulcollegetkg@gmail.com
29471,Madhya Pradesh,"College of Agriculture, Tikamgarh",Madhuban Colony Kundeshwar Road,NA,Tikamgarh,Tikamgarh,472001,https://jnkvv.org/faculty-staff/college-of-agriculture-tikamgarh/2,,
19217,Madhya Pradesh,"Govt. Degree College, Palera",KHARGAPUR ROAD PALERA,WARD NO 13 PALERA,PALERA,Tikamgarh,472221,https://tikamgarh.nic.in/en/public-utility/govt-college-palera/,9425339595; 9039021615; 039021615; 9893675700; 9826351087; 7683242485; 9425880589,hegcpaltik@mp.gov.in
31439,Madhya Pradesh,UNIQUE COMPUTER CENTRE TIKAMGARH,INFRONT OF PUSHPA SCHOOL,NEW CIVIL LINE,TIKAMGARH,Tikamgarh,472001,https://www.justdial.com/Tikamgarh/Unique-Computer-Centre-Opposite-Pushpa-School-Brahmin-Colony/9999P7683-7683-171230023120-M7S4_BZDET,+91-9992333683; 9992333683; +91-9992333874; 9992333874,
31267,Madhya Pradesh,SHARP COMPUTER CENTRE TIKAMGARH,IN FRONT OF PUSHPA SCHOOL,JHANSI ROAD,TIKAMGARH,Tikamgarh,472001,https://study-india.org/31267-sharp_computer_centre_tikamgarh.htm,,
53720,Madhya Pradesh,Takshshila ComputerAcademy,Mukesh Sadan,Nandishwar Colony,Tikamgarh,Tikamgarh,472001,https://mvmtikamgarh.org/facilities/computer-lab,9424573881; 9301920162,mvmtikamgarh@mssmail.org
19196,Madhya Pradesh,Infotech Coll. of Education Badagaon (Dhasan),Mata Beti Bai Campus,Badagoan(Dhasan),Tikamgarh,Tikamgarh,472001,https://tikamgarh.nic.in/en/public-utility-category/colleges/,9425339595; 9039021615; 039021615; 9893675700; 9826351087; 7683242485; 9425880589,
19147,Madhya Pradesh,"Govt. Degree College, Niwari","Govt. Degree College, Niwari",Niwari,Niwari,Tikamgarh,472442,https://www.justdial.com/Tikamgarh/Govt-Degree-College-Niwari/9999P7683-7683-230201205205-W7M6_BZDET,7680232338,hegcniwtik@mp.gov.in
54781,Madhya Pradesh,Govt Degree College Prithvipur,Orchha Road,Bihand Bhed Form,Prithvipur,Tikamgarh,472336,https://niwari.nic.in/en/public-utility/govt-college-prithvipur/,0768023337,hegcpritik@mp.gov.in
19251,Madhya Pradesh,"Govt. Degree College, Prathvipur",Govt. College Prithvipur,Govt. College Prithvipur,Prithvipur,Tikamgarh,472336,https://hed.mponline.gov.in/,0755-6720201,
19189,Madhya Pradesh,"Hope Inst. of Tech. Teachers Tranning, Tikamgarh","villege-Alampura , Post Heeranagar",8 K.M. JHANSI ROAD,TIKAMGARH,Tikamgarh,472001,https://www.hopeitttikamgarh.in/,9993971809,hopeitttkg@gmail.com
54160,Madhya Pradesh,R-TECH COLLEGE PRITHVIPUR,ORCHHA ROAD PRITHVIPUR,DISTT TIKAMGARH (MP)-472336,PRITHVIPUR,Tikamgarh,472336,https://www.justdial.com/Tikamgarh/R-Tech-College-Prithvipur/9999P7683-7683-180813163522-S5Q9_BZDET,0768023337,hegcpritik@mp.gov.in
1589,Madhya Pradesh,GOVT.POLYTECHNIC COLLEGE TIKAMGARH,DHONGA ROAD,TIKAMGARH,TIKAMGARH,Tikamgarh,472001,https://tikamgarh.nic.in/en/public-utility/polytechnic-college-tikamgarh/,9755155795,polytechnic.college.tikamgarh@gmail.com
