id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
54423,Madhya Pradesh,"Miracle Paramedical college, 69, New Road, Ratlam","69, New Road",NA,Ratlam,Ujjain,457001,,,
a jn.,Ujjain,456335,,,,,,,,
31617,Madhya Pradesh,"Modal College, Ujjain",Sanwer Road Ujjain,Sanwer Road Ujjain,Ujjain,Ujjain,456010,https://www.mcu.ac.in,,
6614,Madhya Pradesh,"Government Manmal Mimraj Ruyia Sanskrit College, Ujjain",JAISING PURA ROAD,NEAR CHAR DHAM MANDIR,UJJAIN,Ujjain,456001,,,
31720,Madhya Pradesh,"Govt.Girls college,ujjain",Dashhara Maidan,Ujjain,Ujjain,Ujjain,456010,https://www.gc.org,,www.gc.org.YYYY@gc.org
31605,Madhya Pradesh,"Govt.College, Badanagar",AMLA ROAD,BADNAWAR ROAD BADNAGAR,BADNAGAR,Ujjain,456771,https://gcnagda.org/,,
31626,Madhya Pradesh,"Future Vision College, Ujjain","64/2, University Road","Mungi Teereha, Ujjain (M.P.)",Ujjain,Ujjain,456010,,,
31618,Madhya Pradesh,"Nav Samvat Vidhi College, Ujjain","22/2 Village Lalpur, Near Nagziri",Dewas Road,Ujjain,Ujjain,456664,https://www.navsamvatlawcollege.in/,8989900225; 7415969000; +91-7415969000; 9893407299; 9425917577,
31701,Madhya Pradesh,"Govt. College,Nagda",Mahidpur road,Nagda,Nagda,Ujjain,456335,https://www.gc.org,,www.gc.org.YYYY@gc.org
31742,Madhya Pradesh,"Helioj College, Ujjain",C-6/14Mahakal Vanijya Kendra,Ujjain,Ujjain,Ujjain,456010,https://www.hcu.in,,
31659,Madhya Pradesh,"Bhratiya College, Madhav Nagar Front Of Railway Station, Ujjain","Bhratiya College, Madhav Nagar Front Of Railway Station, Ujjain","Bhratiya College, Madhav Nagar Front Of Railway Station, Ujjain",Ujjain,Ujjain,456001,,,
31664,Madhya Pradesh,"Govt.Kalidas Girls College,Ujjain",Bada Teliwada,Budhawaria,Ujjain,Ujjain,456006,https://ggc.org,,
31688,Madhya Pradesh,"V.S.Institute of Prof.Studies, Ujjain","Mananda Nagar Sector - A, Opposite Govt. Polytechnic Collage,","Near Circuit House, Dewas Road",Ujjain,Ujjain,456001,https://ekalyan.cgg.gov.in/downloads/Outside_State_Colleges_Email_Details.pdf,,
31647,Madhya Pradesh,"Saraswati Edu.College,Ujjain","Saraswati Edu. College, Ujjain",Rushinagar,Ujjain,Ujjain,456010,,,
31619,Madhya Pradesh,"Madhav Science College,Kothi Road,Ujjain",Dewas Road Ujjain M.P.,Dewas Road Ujjain M.P.,Ujjain,Ujjain,456010,https://www.mvmujjain.org/,,
31604,Madhya Pradesh,"Govt. College,Ghatiya","Govt Excellence H.S. School Campus Navodaya Vidyalaya Road, Ghattiya","Ghattiya, Dist. Ujjain (Madhya Pradesh) 456550",Ujjain,Ujjain,456550,https://www.gc.org,,www.gc.org.YYYY@gc.org
31603,Madhya Pradesh,"Madhav College,Dewas Gate, Ujjain","GOVT. Madhav Arts & Commerce College,Dewas Gate, Ujjain","GOVT. Madhav Arts & Commerce College,Dewas Gate, Ujjain",UJJAIN,Ujjain,456006,,,
31653,Madhya Pradesh,"Navyug College, Badnagar","Opposite Tehsil Jail , Ujjain Road",Village Moulana,Barnagar,Ujjain,456771,https://www.ncb.org,,
31660,Madhya Pradesh,"Mahakal Institute of Management, Ujjain","Behind Air Strip Datana, Dewas Road, Ujjain","Behind Air Strip Datana, Dewas Road, Ujjain",Ujjain,Ujjain,456664,https://mitujjain.ac.in/,,
31633,Madhya Pradesh,"Jai Jawan College,Tarana",Hospital Road Tarana,Hospital Road Tarana,Tarana,Ujjain,456665,https://www.justdial.com/Ujjain/Jai-Jawan-College-Tarana/9999PX734-X734-250403201454-T7W2_BZDET,,
31620,Madhya Pradesh,"Govt. Vikram College, Khachraud","Nagda Road,",Khachrod,Khachrod,Ujjain,456224,https://highereducation.mp.gov.in/?orgid=489,0755-2551698,
31678,Madhya Pradesh,"Awantika College City Plaza, Front of Gopal Mandir, Freegunj, Ujjain","AWANTIKA COLLEGE, CITY PLAZA",FREEGANJ,UJJAIN,Ujjain,456010,,,
31611,Madhya Pradesh,"Govt. College, Mahidpur","Government College ,",Mehidpur PIN 456443,Mehidpur,Ujjain,456443,https://www.justdial.com/Ujjain/Mahidpur-Government-College-Mehidpur/9999PMULMUMSTD10707_BZDET,,
31644,Madhya Pradesh,"Rashtra Bharti Education College, Ujjain.",rashtra bharti shiksha mahavidyalaya,"opposite madhav nagar railway station, freeganj",ujjain,Ujjain,456001,https://www.rashtrabharti.org/,,
31680,Madhya Pradesh,"Sandipani Arts & Com. College, Ujjain",DASHEHARA MAIDAN ANUPURAK YOJANA,BEHIND BANK OF INDIA DASHEHARA MAIDAN,UJJAIN,Ujjain,456010,https://www.sandipanicollege.com/,+91-9424878630; 9424878630; +91-9399151271; 9826233200; 9399151271; +91-9826233200,sandipanividhiujjain@gmail.com; sandipaniujjain@yahoo.in
31712,Madhya Pradesh,"Career Vision College, Mahidpur","96,shalini bhaven m.g.road Mahidpur",NA,Mahipur,Ujjain,456443,https://www.cvcm.org,,
31728,Madhya Pradesh,"Prashanti College Of Prof.Studies, Ujjain","GRAM GANGEDI, NEAR MAHAVEER TAPOBHUMI, INDORE ROAD, UJJA","GRAM GANGEDI, NEAR MAHAVEER TAPOBHUMI, INDORE ROAD",UJJAIN,Ujjain,456010,https://prashantiinstitute.com/,,
31747,Madhya Pradesh,"Jai Bharti College,Chand ka kuan Abdalpura, Ujjain",28/5 Chand Ka Kuwa Nayapura,28/5 Chand Ka Kuwa Nayapura,Ujjain,Ujjain,456006,https://portal.mphc.gov.in/php/hc/footer/get_records.php?str=name,,
31615,Madhya Pradesh,"Sandipani Low College, Ujjain",Kshapank Marg,Dashera Maidan,Ujjain,Ujjain,456010,https://www.sandipanicollege.com/,+91-9424878630; 9424878630; +91-9399151271; 9826233200; 9399151271; +91-9826233200,sandipanividhiujjain@gmail.com; sandipaniujjain@yahoo.in
47246,Madhya Pradesh,"GOVERNMENT GIRLS COLLEGE, NAGDA",Jawahar Marg,Near Civil Hospital,Nagda,Ujjain,456335,https://gcnagda.org/,+917533989432; +917366238238,
31639,Madhya Pradesh,"Seshshayee College of Prof. Studies, Nagda","218, Jawahar Marg,",Station Road,NAGDA Junction,Ujjain,456335,https://www.shiksha.com/college/sheshshayee-college-of-professional-studies-ujjain-131985,+91 9639549675; 9639549675,
31709,Madhya Pradesh,"Gov.College, Tarana",Bajrang Colony Tarana,Behind Vtenary Hospital,Tarana,Ujjain,456665,https://www.gt.org,,
31730,Madhya Pradesh,"Advance Science & Commerce College, Ujjain","83/18, Madhav club road",Teen batti chauraha freeganj,Ujjain,Ujjain,456010,,,
