id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
31897,Madhya Pradesh,"GOVT.R.V.P SINGH COLLEGE, UMARIA,",SHAHPURA ROAD,INFRONT OF COLLECTORATE UMARIA,UMARIA,Umaria,484661,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-rajnarayan-smriti-college-waidhan-singrauli,6267463188; +91-6267463188; +91-9301028891; 9301028891,vcapsu@gmail.com; regapsu@gmail.com
31865,Madhya Pradesh,"GOVT.COLLEGE, BIRSINGHPUR PALI,UMARIA",MANGTHAR ROAD NEAR PALI PROJECT BIRSINGHPUR PALI,MANGTHAR ROAD NEAR PALI PROJECT BIRSINGHPUR PALI,BIRSINGHPUR PALI,Umaria,484551,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-birsinghpur-pali-umaria,6267463188; +91-6267463188; +91-9301028891; 9301028891,vcapsu@gmail.com; regapsu@gmail.com
53671,Madhya Pradesh,HARMILAP INSTITUTE OF COMPUTER AND MANAGEMENT,PALI ROAD,NA,UMARIA,Umaria,484661,https://gpcumaria.ac.in/,07653-299055,prinpolyumr@mp.gov.in; polyumariya@gmail.com
31090,Madhya Pradesh,SHITLA PRATAP SINGH COMPUTER TECHNOLOGY UMARIA,Sagra Mandir road Shubash Ganj,Ward No 11 Umaria Madhya Pradesh,Umaria,Umaria,484661,https://study-india.org/31090-shitla_pratap_singh_computer_technology_umaria.htm,,
31216,Madhya Pradesh,MICROSYS INSTITUTE OF COMPUTER TECHNOLOGY UMARIA,"Ward No 13, Singal Tola",Shahpura Road,UMARIA,Umaria,484661,https://www.justdial.com/Umariya/Microsys-Institute-Of-Computer-Technology-Manpur-Umariya/9999P7653-7653-230908200559-L9R3_BZDET,,dev7561@gmail.com
54167,Madhya Pradesh,PALI INSTITUTE IF COMPUTER AND TECHNOLOGY,C/O KASHI PRASAD AGRAWAL,"NO.135WARD NO.11,MAIN MARKET,PRAKASH CHOUK",BIRSINGHPUR PALI,Umaria,484551,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-birsinghpur-pali-umaria,6267463188; +91-6267463188; +91-9301028891; 9301028891,vcapsu@gmail.com; regapsu@gmail.com
53946,Madhya Pradesh,PT. RAMGOPAL TIWARI INSTITUTE OF TECHNOLOGY,NEAR RAMJANKI GARHI ROAD,CHANDIA,CHANDIA,Umaria,484660,https://www.apsurewa.ac.in/en/college-affiliation-notification/pdt-ramgopal-tiwari-technical-and-science-college-anuppur-anuppur,6267463188; +91-6267463188; +91-9301028891; 9301028891,vcapsu@gmail.com; regapsu@gmail.com
53940,Madhya Pradesh,NPCC COMPUTER INSTITUTE,"NEAR BUS STAND, INFRONT OF SHIV PRRESS",MAIN ROAD,MANPUR,Umaria,484665,https://www.shiksha.com/college/npcc-computer-institute-umaria-115797,7962792775; 7795744683; 6538934665; 0000-300000; +91-9992333683; +91-9992333874; 6386722263; 9992333683; 9992333874,Franchise@emaxindia.in
54168,Madhya Pradesh,NICTEC INSTITUTE OF COMPUTER AND EXCELLENCE,NEAR GANDHI CHOWK,MAIN ROAD,UMARIA,Umaria,484661,https://gpcumaria.ac.in/,07653-299055,prinpolyumr@mp.gov.in; polyumariya@gmail.com
50891,Madhya Pradesh,"Sai Nath Paramedical College, Umaria",near rc school umaria,near r c school umaria,umaria,Umaria,484661,https://sainathparamedicalumaria.com/,+91 8839946717; 9425999077; +91 9425999077; 8839946717; 8719070888,snpc2013@rediffmail.com
55488,Madhya Pradesh,"GOVT. COLLEGE MANPUR, DISTT-UMARIYA",behind janpad panchayat office,manpur district-umaria,manpur,Umaria,484665,https://www.apsurewa.ac.in/en/college-affiliation-notification/govt-college-chandia-umaria-2,9301028891; 6267463188; +91-9301028891; +91-6267463188,regapsu@gmail.com; vcapsu@gmail.com
