id,state,name,address_line1,address_line2,city,district,pin_code,website,phone_numbers,emails
35313,Madhya Pradesh,"Govt. Girls College, Ganjbasoda, Vidisha",Sironj By Pass Road,Near Tiranga Chowk,Ganj Basoda,Vidisha,464221,,,
35241,Madhya Pradesh,"Shanti Niketan Education College, Vidisha",SOTHIYA ROAD HARIPURA VIDISHA M.P.,SOTHIYA ROAD HARIPURA VIDISHA M. P.,VIDISHA,Vidisha,464001,,,
35145,Madhya Pradesh,"I.I.H.R.D. College, Vidisha","Infront of Pole Factory, Ahmadpur Road,","Ahar Vihar Parisar, Vidisha",Vidisha,Vidisha,464001,https://www.icv.org,,
35119,Madhya Pradesh,"SAnjay Gandhi College, Vidisha",GRAM -CHIRODIYA VIDISHA,NA,NA,Vidisha,464001,https://www.sgcv.com,,
35292,Madhya Pradesh,"Jawaharlal College, Vidisha",RAMDWARA VIDISHA,NA,NA,Vidisha,464001,,,
35105,Madhya Pradesh,"Shaheed Bhagat Singh Mahavidyalaya, Shamshabad, Vidisha",0,shamshabad,vidisha,Vidisha,464111,,,
35256,Madhya Pradesh,"K.M.L. Vatsalya College, Haripura, Vidisha",Haripura,NA,Vidisha,Vidisha,464001,,,
35327,Madhya Pradesh,"Kushabhaou Thakre College, Gyraspur Lokkalyan Samiti, Vidisha",vill - Suankhedi,Near Atari Khejra Sub division Gyaraspur,Vidisha,Vidisha,464001,,,
48867,Madhya Pradesh,CIST College,Arihant Vihar,Near Water Tank,Vidisha,Vidisha,464001,https://cc.org,,
35214,Madhya Pradesh,"Govt. Sanjay Gandhi Smriti College, Ganjbasoda, Vidisha",KALA BAGH BARETH ROAD,GANJ BASODA,GANJ BASODA,Vidisha,464221,,,
35354,Madhya Pradesh,"Saint Mary College, Vidisha","NH-86, SAGAR ROAD, VIDISHA",Near Vimala Church,VIDISHA,Vidisha,464001,https://www.smcv.org,,
47413,Madhya Pradesh,MAHARANA PRATAP COLLEGE OF SCIENCE AND TECHNOLOGY,"DURGA NAGAR MAIN ROAD, L.B.S.NAGAR",(OPPOSITE FOREST DIPO OFFICE),VIDISHA,Vidisha,464002,,,
35266,Madhya Pradesh,"BM College, Sangh Mitra Compound, Vidisha",KHAI ROAD VIDISHA,NA,VIDISHA,Vidisha,464001,,,
35153,Madhya Pradesh,"Sunries College of Excellence, Vidisha",Haripura,"Main Road, Haripura",Vidisha,Vidisha,464001,,,
35127,Madhya Pradesh,"Saket M.G.M. College, Vidisha",Lal dhau puranpura vidisha,Pin 464001,Vidisha,Vidisha,464001,,,
35190,Madhya Pradesh,"LBS College, Sironj, Vidisha",MANDI BAMORA ROAD,NA,SIRONJ,Vidisha,464228,https://www.lcsv.org,,
53621,Madhya Pradesh,shaheed bhagat singh college vidisha,DHANORA HAWELI,TEELA KHEDI ROAD,VIDISHA,Vidisha,464001,,,
35206,Madhya Pradesh,"SSL Jjain College, Vidisha",HIRAPURA VIDISHA,HIRAPURA VIDISHA,VIDISHA,Vidisha,464001,,,
48236,Madhya Pradesh,SHAHID CHANDRA SHAKHAR AZAD MAHAVIDHALAYA,behind gayatri mandir,bareth road,ganj basoda,Vidisha,464221,https://www.scsam.org,,oswald@yoursite.com
35157,Madhya Pradesh,"Shri Dwarika Prasad Yadav College, Sironj, Vidisha",brij colony near bus stand,sironj distt. vidisha(m.p),sironj,Vidisha,464228,,,
29469,Madhya Pradesh,"College of Agriculture, Ganjbasoda","Near New Sub-jail, Gurod road",NA,Ganj Basoda,Vidisha,464221,,,
35220,Madhya Pradesh,"Govt. Girls College, Vidisha",sanchi road,idgaha chauraha,Vidisha,Vidisha,464001,https://www.govtgirlscollegevidisha.com,07592234553,heggcvid@mp.gov.in
35191,Madhya Pradesh,"LBS College, Ganjbasoda, Vidisha",Ward No. 13,Tyonda Road,Ganj Basoda,Vidisha,464221,,,
